,when,did,abc,first,start,?
abc,0.13294127583503723,0.13353709876537323,1.0000001192092896,0.2403600513935089,0.1987123340368271,0.19065172970294952
originally,0.3108700215816498,0.23196664452552795,0.20778657495975494,0.44981807470321655,0.16365955770015717,0.07821967452764511
launched,0.20492124557495117,0.1794346421957016,0.2561926543712616,0.30769190192222595,0.18330560624599457,0.1803835779428482
on,0.37706470489501953,0.2670976221561432,0.2862928807735443,0.3120559751987457,0.2699633240699768,0.2714994251728058
october,0.273419588804245,0.2746104896068573,0.1661696434020996,0.2989882230758667,0.17801375687122345,0.29706719517707825
12,0.24838608503341675,0.11160892248153687,-0.04694901779294014,0.08027823269367218,0.09698112308979034,0.10021790862083435
",",0.36674630641937256,0.3015086054801941,0.2097204476594925,0.34503069519996643,0.2934366464614868,0.31091248989105225
1943,-0.037551648914813995,0.0630604550242424,0.10603184998035431,0.08185140043497086,-0.0557565912604332,-0.08025530725717545
as,0.4437963366508484,0.3596470057964325,0.2286096066236496,0.33842000365257263,0.26252481341362,0.27043893933296204
a,0.44397395849227905,0.2552328109741211,0.21331243216991425,0.4287874400615692,0.29672953486442566,0.23916715383529663
radio,0.13374444842338562,0.16486462950706482,0.35354745388031006,0.2260897308588028,0.11484908312559128,0.08763375133275986
network,0.19011130928993225,0.08572790026664734,0.4295894205570221,0.2069581300020218,0.15995709598064423,0.17853789031505585
",",0.36674630641937256,0.3015086054801941,0.2097204476594925,0.34503069519996643,0.2934366464614868,0.31091248989105225
separated,0.3112059235572815,0.16108454763889313,0.10197462886571884,0.20906057953834534,0.1980935037136078,0.0923643484711647
from,0.405669629573822,0.20248863101005554,0.12159302085638046,0.23348960280418396,0.27236250042915344,0.19969791173934937
and,0.4716290831565857,0.34479495882987976,0.16453155875205994,0.3167642652988434,0.2890162169933319,0.20544172823429108
serving,0.20997285842895508,0.10483568906784058,0.1750020533800125,0.2841949164867401,0.09785429388284683,0.13876403868198395
as,0.4437963366508484,0.3596470057964325,0.2286096066236496,0.33842000365257263,0.26252481341362,0.27043893933296204
the,0.5091903209686279,0.34736719727516174,0.2068762183189392,0.49448907375335693,0.3656389117240906,0.22068053483963013
successor,0.1862170696258545,0.2361486852169037,0.11063230037689209,0.281963974237442,0.11145564168691635,0.0913006067276001
to,0.5423505902290344,0.4452643394470215,0.1762417107820511,0.3792489171028137,0.33345553278923035,0.29463258385658264
the,0.5091903209686279,0.34736719727516174,0.2068762183189392,0.49448907375335693,0.3656389117240906,0.22068053483963013
nbc,0.17437143623828888,0.1728760302066803,0.63486248254776,0.2653513252735138,0.15427765250205994,0.1680917739868164
blue,0.26652413606643677,0.10842680186033249,0.20072442293167114,0.18507882952690125,0.0969042032957077,0.15668673813343048
network,0.19011130928993225,0.08572790026664734,0.4295894205570221,0.2069581300020218,0.15995709598064423,0.17853789031505585
",",0.36674630641937256,0.3015086054801941,0.2097204476594925,0.34503069519996643,0.2934366464614868,0.31091248989105225
which,0.572554349899292,0.2750149369239807,0.1991286277770996,0.3828166127204895,0.2669599950313568,0.25814583897590637
had,0.37526828050613403,0.540525496006012,0.18355661630630493,0.3379828929901123,0.23754534125328064,0.20728366076946259
been,0.3339833617210388,0.2835664749145508,0.19288167357444763,0.32745984196662903,0.2125440537929535,0.24354910850524902
purchased,0.17914487421512604,0.19566655158996582,0.22144027054309845,0.23936277627944946,0.09667444974184036,0.04121813923120499
by,0.4376842677593231,0.18574509024620056,0.17600902915000916,0.3877052962779999,0.19754154980182648,0.17966607213020325
edward,0.22842739522457123,0.18433494865894318,0.17142440378665924,0.2081546038389206,0.15900489687919617,0.1439376026391983
j.,-0.06834172457456589,-0.042055558413267136,-0.06509540975093842,0.08811032772064209,-0.02580268681049347,0.004272869788110256
noble,0.11239586770534515,0.1576092541217804,0.10893116146326065,0.1385507881641388,0.04392361268401146,0.11942308396100998
.,0.475719153881073,0.35288307070732117,0.2567209303379059,0.4345304071903229,0.3501981496810913,0.4130953550338745
