,what,company,did,the,abc,network,'s,parent,company,merge,with,in,the,1980s,?
in,0.30808621644973755,0.22141718864440918,0.2593238651752472,0.6662389636039734,0.1697147786617279,0.19496823847293854,-0.037580832839012146,0.15339559316635132,0.22141718864440918,0.2031615823507309,0.4080928862094879,1.0,0.6662389636039734,0.03401865437626839,0.20430970191955566
the,0.42745697498321533,0.26591673493385315,0.34736719727516174,1.0,0.2068762183189392,0.27187061309814453,-0.01540423184633255,0.2354632169008255,0.26591673493385315,0.26616451144218445,0.4223487675189972,0.6662389636039734,1.0,0.07890266180038452,0.22068053483963013
1980s,-0.06585196405649185,0.29527461528778076,-0.09640773385763168,0.07890266180038452,0.07557179033756256,0.14011655747890472,0.1363120675086975,0.09684117138385773,0.29527461528778076,0.09297933429479599,0.04422835260629654,0.03401865437626839,0.07890266180038452,1.0,-0.0718669518828392
",",0.3087472915649414,0.2697763442993164,0.3015086054801941,0.4933079481124878,0.2097204476594925,0.1932937651872635,-0.0016132977325469255,0.23819732666015625,0.2697763442993164,0.24273967742919922,0.4120737314224243,0.5201468467712402,0.4933079481124878,0.012025163508951664,0.31091248989105225
after,0.21973377466201782,0.21655593812465668,0.30330467224121094,0.4565047025680542,0.20314010977745056,0.12417551875114441,-0.055672239512205124,0.21027357876300812,0.21655593812465668,0.15500211715698242,0.33843478560447693,0.44050168991088867,0.4565047025680542,-0.07435359060764313,0.16608688235282898
purchasing,0.23366789519786835,0.38468822836875916,0.20166154205799103,0.2221633493900299,0.24353715777397156,0.19937670230865479,0.0937308818101883,0.2661645710468292,0.38468822836875916,0.15969255566596985,0.22385987639427185,0.1874041110277176,0.2221633493900299,0.29870501160621643,0.13069698214530945
an,0.2821882665157318,0.13791987299919128,0.22598257660865784,0.4207492768764496,0.16561369597911835,0.22587502002716064,0.025255560874938965,0.15421949326992035,0.13791987299919128,0.12640318274497986,0.2730048894882202,0.2605783939361572,0.4207492768764496,-0.006446592044085264,0.19793890416622162
80,0.04945533350110054,-0.11364467442035675,0.012174745090305805,0.003630283521488309,-0.05825572833418846,-0.004766289610415697,0.03830239921808243,0.09832360595464706,-0.11364467442035675,0.05687479302287102,-0.007680858951061964,-0.03062376379966736,0.003630283521488309,0.08129075914621353,0.04445207491517067
%,0.20738190412521362,0.14735257625579834,0.1450016051530838,0.21490740776062012,0.061222776770591736,0.16346366703510284,0.031266406178474426,0.19148872792720795,0.14735257625579834,0.17529886960983276,0.16614031791687012,0.19465309381484985,0.21490740776062012,0.1728302240371704,0.21441808342933655
interest,0.23849236965179443,0.2375951111316681,0.21788068115711212,0.197127103805542,0.1958511769771576,0.1463828682899475,-0.04592332988977432,0.1753951907157898,0.2375951111316681,0.18157662451267242,0.1937357634305954,0.27232617139816284,0.197127103805542,0.027414990589022636,0.2411724328994751
in,0.30808621644973755,0.22141718864440918,0.2593238651752472,0.6662389636039734,0.1697147786617279,0.19496823847293854,-0.037580832839012146,0.15339559316635132,0.22141718864440918,0.2031615823507309,0.4080928862094879,1.0,0.6662389636039734,0.03401865437626839,0.20430970191955566
cable,0.14582780003547668,0.2738681733608246,0.11801295727491379,0.2599749267101288,0.3252342939376831,0.5700490474700928,0.07009196281433105,0.2627605199813843,0.2738681733608246,0.18307146430015564,0.20673611760139465,0.17584200203418732,0.2599749267101288,0.17194998264312744,0.13993921875953674
sports,0.13245077431201935,0.24411176145076752,0.12759751081466675,0.20313861966133118,0.20410163700580597,0.20757855474948883,0.038657430559396744,0.2095688283443451,0.24411176145076752,0.17790472507476807,0.17335014045238495,0.27591386437416077,0.20313861966133118,0.08250634372234344,0.04557104781270027
channel,0.20295917987823486,0.16867682337760925,0.09007708728313446,0.2860044836997986,0.4020179808139801,0.4945397973060608,0.10094652324914932,0.15399426221847534,0.16867682337760925,0.18809163570404053,0.17526158690452576,0.210372194647789,0.2860044836997986,0.11075235158205032,0.20176179707050323
