,what,entity,in,canada,handles,substitution,regulations,for,television,shows,?
most,0.3219912350177765,0.19254450500011444,0.41416558623313904,0.24172209203243256,0.2054046094417572,0.19423915445804596,0.2572849988937378,0.3906237483024597,0.15985378623008728,0.265746146440506,0.2107497900724411
canadians,0.24321512877941132,0.13646112382411957,0.21263080835342407,0.6062436103820801,0.18457844853401184,0.11440379172563553,0.17037957906723022,0.2164100855588913,0.21810702979564667,0.12640221416950226,0.15116047859191895
have,0.39808809757232666,0.24544057250022888,0.36843645572662354,0.19778946042060852,0.3006950616836548,0.19197571277618408,0.3477776348590851,0.41175219416618347,0.1811555027961731,0.33071407675743103,0.32991164922714233
access,0.2685140371322632,0.272592693567276,0.1658785492181778,0.14376908540725708,0.299466609954834,0.19519157707691193,0.27100375294685364,0.2941345274448395,0.15434014797210693,0.19793272018432617,0.2482174038887024
to,0.455847829580307,0.19512765109539032,0.45010748505592346,0.21444441378116608,0.2788752615451813,0.25130751729011536,0.2838025987148285,0.4451248347759247,0.1933557242155075,0.23382455110549927,0.29463258385658264
at,0.2838611304759979,0.05630628764629364,0.4374977946281433,0.23651543259620667,0.19326789677143097,0.13563451170921326,0.191852405667305,0.34237727522850037,0.14763522148132324,0.23829592764377594,0.21978627145290375
least,0.3337163031101227,0.1687062829732895,0.3232700824737549,0.2003127932548523,0.17746824026107788,0.19849874079227448,0.19795750081539154,0.330973356962204,0.10806699097156525,0.24094489216804504,0.28866854310035706
one,0.376489520072937,0.2683204114437103,0.4129433035850525,0.19657444953918457,0.22943653166294098,0.2327726185321808,0.2399979531764984,0.384836345911026,0.23272545635700226,0.30788350105285645,0.2673267424106598
u.s.-based,0.3392220139503479,0.339480459690094,0.3006666600704193,0.20099684596061707,0.2678273022174835,0.24024958908557892,0.28961360454559326,0.30407580733299255,0.21222557127475739,0.2531962990760803,0.249643936753273
abc,0.1317344456911087,0.1619563102722168,0.1697147786617279,0.2231910228729248,0.223147913813591,0.22681748867034912,0.1441136598587036,0.22510288655757904,0.46871840953826904,0.3304527997970581,0.19065172970294952
affiliate,0.16121849417686462,0.1608549952507019,0.2081480771303177,0.30159687995910645,0.12866126000881195,0.1202375590801239,0.15886634588241577,0.21401958167552948,0.285784512758255,0.2347339689731598,0.10958297550678253
",",0.3087472915649414,0.19129666686058044,0.5201468467712402,0.2656905949115753,0.2519405782222748,0.17773890495300293,0.24835379421710968,0.4464869201183319,0.27995240688323975,0.26986414194107056,0.31091248989105225
either,0.3851809501647949,0.28046414256095886,0.2748357057571411,0.19879098236560822,0.27118271589279175,0.2632439434528351,0.2306678146123886,0.3058042526245117,0.1388142704963684,0.22611209750175476,0.31498292088508606
over-the-air,0.39383721351623535,0.21094927191734314,0.32995885610580444,0.2442137748003006,0.29139333963394165,0.2480400949716568,0.36394965648651123,0.328488826751709,0.2708859145641327,0.26891666650772095,0.34153980016708374
(,0.2411840260028839,0.15759098529815674,0.3087427020072937,0.1885313093662262,0.22315233945846558,0.16624638438224792,0.16970375180244446,0.3357032239437103,0.27449095249176025,0.18555068969726562,0.40561532974243164
in,0.30808621644973755,0.22507517039775848,1.0,0.3175714612007141,0.203068345785141,0.16668157279491425,0.24893879890441895,0.4322226941585541,0.2689782977104187,0.3289647698402405,0.20430970191955566
areas,0.23739881813526154,0.19782547652721405,0.33029478788375854,0.16151149570941925,0.25481879711151123,0.0864330306649208,0.339580774307251,0.2626132369041443,0.12918725609779358,0.20104579627513885,0.1273590475320816
located,0.2034616470336914,0.16864511370658875,0.35149815678596497,0.1579378843307495,0.24770823121070862,0.09667067229747772,0.16198596358299255,0.1493360996246338,0.11039187759160995,0.13206498324871063,0.08983194828033447
within,0.2498195916414261,0.3056245744228363,0.40576374530792236,0.14713957905769348,0.24021080136299133,0.16835398972034454,0.31820470094680786,0.3087334632873535,0.1701202094554901,0.24389035999774933,0.1870293766260147
proximity,0.20552685856819153,0.21698981523513794,0.17977841198444366,0.23502641916275024,0.276154100894928,0.10179957747459412,0.22314399480819702,0.20193271338939667,0.13398393988609314,0.15147915482521057,0.046892885118722916
to,0.455847829580307,0.19512765109539032,0.45010748505592346,0.21444441378116608,0.2788752615451813,0.25130751729011536,0.2838025987148285,0.4451248347759247,0.1933557242155075,0.23382455110549927,0.29463258385658264
the,0.42745697498321533,0.2403784692287445,0.6662389636039734,0.2934837341308594,0.25567150115966797,0.20520764589309692,0.31027951836586,0.4739971458911896,0.24569597840309143,0.36348509788513184,0.22068053483963013
canada–united,0.2357136458158493,0.15848325192928314,0.3788764774799347,0.840203583240509,0.21501991152763367,0.1684822142124176,0.2391878068447113,0.2637516260147095,0.2430681735277176,0.18489784002304077,0.19571390748023987
states,0.21526020765304565,0.1935424953699112,0.3977442979812622,0.4512701630592346,0.13258248567581177,0.18602553009986877,0.2784365713596344,0.2496437132358551,0.22540400922298431,0.17492209374904633,0.16272737085819244
border,0.26696228981018066,0.19280196726322174,0.28533756732940674,0.22665908932685852,0.21289527416229248,0.08300415426492691,0.18389655649662018,0.14846977591514587,0.16930034756660461,0.0710933655500412,0.1706928312778473
),0.26259949803352356,0.18777354061603546,0.3326910734176636,0.20059916377067566,0.23691853880882263,0.1726195216178894,0.15438571572303772,0.3639558255672455,0.27724143862724304,0.2047332376241684,0.42300865054130554
