,which,cultures,are,represented,in,the,v,&,a,'s,collections,?
its,0.5154205560684204,0.23162420094013214,0.30942749977111816,0.19267573952674866,0.3793783485889435,0.559237003326416,0.1524200141429901,0.11429427564144135,0.4424409866333008,0.03202139586210251,0.183885395526886,0.15103481709957123
collection,0.30199134349823,0.20461511611938477,0.22862131893634796,0.1968824714422226,0.23004686832427979,0.25281965732574463,0.11078842729330063,0.18749947845935822,0.24716788530349731,0.003388406243175268,0.9249221086502075,0.20069393515586853
spans,0.2960893511772156,0.22414453327655792,0.2386997640132904,0.17364467680454254,0.23299312591552734,0.3057820200920105,0.10845772922039032,0.1208266168832779,0.2534700930118561,0.046961456537246704,0.1461438536643982,0.13849228620529175
"5,000",0.1393408477306366,0.04085731878876686,0.10198408365249634,-0.05051899701356888,0.15090341866016388,0.13800157606601715,0.011023507453501225,0.005994951818138361,0.07319855690002441,-0.12292958796024323,0.022538209334015846,0.031676504760980606
years,0.23232990503311157,0.2025657296180725,0.17491404712200165,0.20296776294708252,0.33554986119270325,0.2912273406982422,0.15056827664375305,0.0772986188530922,0.23773819208145142,0.05563735216856003,0.24656516313552856,0.1914375126361847
of,0.5011631846427917,0.2692214250564575,0.39081433415412903,0.3891753554344177,0.5696388483047485,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,-0.03817026689648628,0.3185039758682251,0.1826142966747284
art,0.19862167537212372,0.3009156584739685,0.15355311334133148,0.11849413067102432,0.2282189577817917,0.20297785103321075,0.12526747584342957,0.1891014128923416,0.1329297125339508,-0.0026162867434322834,0.3595452308654785,0.138971745967865
",",0.3658004403114319,0.25762316584587097,0.4062570035457611,0.3088570833206177,0.5201468467712402,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,-0.0016132977325469255,0.2696824073791504,0.31091248989105225
from,0.38755592703819275,0.2233029156923294,0.2674213647842407,0.27583742141723633,0.4274188280105591,0.40150508284568787,0.13980557024478912,0.14301162958145142,0.322764128446579,-0.01936490088701248,0.27473148703575134,0.19969791173934937
ancient,0.29943716526031494,0.45586395263671875,0.22603976726531982,0.1999858170747757,0.27350422739982605,0.28808021545410156,0.1507517248392105,0.10821932554244995,0.2069382220506668,0.09360567480325699,0.2452867031097412,0.12938068807125092
times,0.29070794582366943,0.2587304711341858,0.16137352585792542,0.1659885048866272,0.2427823841571808,0.29093852639198303,0.15002888441085815,0.07162550091743469,0.2745400369167328,-0.048017483204603195,0.18604205548763275,0.18880689144134521
to,0.5345056653022766,0.257148802280426,0.3504326641559601,0.18846964836120605,0.45010748505592346,0.535392165184021,0.2109750658273697,0.1254875510931015,0.45503583550453186,0.03782717138528824,0.18565168976783752,0.29463258385658264
the,0.6521818041801453,0.2909663915634155,0.40399202704429626,0.3256146013736725,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,-0.01540423184633255,0.27174001932144165,0.22068053483963013
present,0.27609559893608093,0.2113918662071228,0.20985287427902222,0.189385324716568,0.23905439674854279,0.2829846143722534,0.15913373231887817,0.0991305410861969,0.14277903735637665,0.010861009359359741,0.14538012444972992,0.21759982407093048
day,0.2760511040687561,0.16963519155979156,0.19530735909938812,0.09970114380121231,0.2671984136104584,0.3062323033809662,0.1327112764120102,0.09481798857450485,0.18630309402942657,0.03448042273521423,0.12468887865543365,0.2141837179660797
