,what,investment,firm,offered,to,buy,the,nbc,blue,network,from,mark,woods,?
investment,0.21795563399791718,1.0000001192092896,0.4160845875740051,0.2780955731868744,0.2513584792613983,0.3741496801376343,0.20950904488563538,0.23649120330810547,0.0865631103515625,0.21053050458431244,0.15465137362480164,0.12266909331083298,0.12287735939025879,0.17811161279678345
firm,0.15721003711223602,0.4160845875740051,1.0000001192092896,0.28375470638275146,0.15583430230617523,0.2578616142272949,0.185079887509346,0.24933527410030365,0.060879625380039215,0.1787881702184677,0.10702626407146454,0.13210779428482056,0.16227209568023682,0.08762375265359879
dillon,0.185415580868721,0.20149974524974823,0.22910955548286438,0.22361992299556732,0.20794858038425446,0.16204144060611725,0.2308695912361145,0.29340124130249023,0.097213976085186,0.1319727599620819,0.1566973179578781,0.2749963700771332,0.26886042952537537,0.17064180970191956
",",0.3087472915649414,0.2384718954563141,0.21962358057498932,0.2527843713760376,0.44245919585227966,0.2410794049501419,0.4933079481124878,0.17508727312088013,0.23822021484375,0.1932937651872635,0.39760664105415344,0.2642361521720886,0.2992924749851227,0.31091248989105225
read,0.4041415750980377,0.12550164759159088,0.09891677647829056,0.26394718885421753,0.3265438377857208,0.33036285638809204,0.25299927592277527,0.08146798610687256,0.15053407847881317,0.16041360795497894,0.18186350166797638,0.2431311309337616,0.17057180404663086,0.30917879939079285
&,0.11141876131296158,0.12976451218128204,0.23477216064929962,0.1711655557155609,0.1254875510931015,0.18283922970294952,0.14992168545722961,0.20783045887947083,0.13568058609962463,0.16179810464382172,0.14301162958145142,0.11746809631586075,0.08140351623296738,0.12596383690834045
co.,0.20098821818828583,0.17370113730430603,0.17723585665225983,0.10519614070653915,0.2747184932231903,0.17514976859092712,0.28648608922958374,0.24071229994297028,0.2226666361093521,0.17174744606018066,0.22346782684326172,0.15711107850074768,0.28376826643943787,0.10775839537382126
(,0.2411840260028839,0.18033301830291748,0.09412499517202377,0.15566664934158325,0.30882009863853455,0.10388132929801941,0.33289089798927307,0.19500088691711426,0.25301891565322876,0.20757101476192474,0.25806233286857605,0.24017108976840973,0.15803395211696625,0.40561532974243164
which,0.5261979103088379,0.25931960344314575,0.21153634786605835,0.2093406319618225,0.5345056653022766,0.26353776454925537,0.6521818041801453,0.17917364835739136,0.28615784645080566,0.27261900901794434,0.38755592703819275,0.1689654439687729,0.2251991480588913,0.25814583897590637
was,0.22111038863658905,0.18636870384216309,0.2261969894170761,0.39858749508857727,0.3636345863342285,0.19902104139328003,0.48711544275283813,0.251334547996521,0.15539668500423431,0.1994880586862564,0.31171464920043945,0.19058461487293243,0.2265947014093399,0.18412111699581146
later,0.2517229914665222,0.1375747174024582,0.17737574875354767,0.3868821859359741,0.393297016620636,0.26613426208496094,0.4060266613960266,0.2201584279537201,0.15683458745479584,0.21373021602630615,0.34398579597473145,0.20860441029071808,0.2113792449235916,0.1417175978422165
acquired,0.15010768175125122,0.27243876457214355,0.2080209106206894,0.2534613609313965,0.1683000773191452,0.26997360587120056,0.22202405333518982,0.11396524310112,0.08633635938167572,0.19409491121768951,0.21448072791099548,0.09671276062726974,0.1279430240392685,0.09366346150636673
by,0.2455483376979828,0.14785367250442505,0.14588400721549988,0.19948285818099976,0.33534231781959534,0.14067469537258148,0.4408751428127289,0.16605262458324432,0.18874850869178772,0.214903324842453,0.3373257517814636,0.26215243339538574,0.19302546977996826,0.17966607213020325
