,what,was,the,museum,originally,called,?
the,0.42745697498321533,0.48711544275283813,1.0,0.24861779808998108,0.36820849776268005,0.489897221326828,0.22068053483963013
v,0.16628342866897583,0.16128918528556824,0.18580520153045654,0.07561434060335159,0.12941694259643555,0.15024623274803162,0.28677162528038025
&,0.11141876131296158,0.12134000658988953,0.14992168545722961,0.18110838532447815,0.1559038758277893,0.12243451178073883,0.12596383690834045
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.14725451171398163,0.3363247811794281,0.4868806302547455,0.23916715383529663
has,0.20338068902492523,0.40313825011253357,0.4177538752555847,0.13289806246757507,0.2781512141227722,0.30485156178474426,0.15994466841220856
its,0.30393704771995544,0.3518870174884796,0.559237003326416,0.18129056692123413,0.28195133805274963,0.2840702533721924,0.15103481709957123
origins,0.2137981504201889,0.2043774425983429,0.2890577018260956,0.15981052815914154,0.4607730805873871,0.22973352670669556,0.1275135576725006
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2407650351524353,0.3191297650337219,0.40847352147102356,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.24861779808998108,0.36820849776268005,0.489897221326828,0.22068053483963013
great,0.2562883198261261,0.19652196764945984,0.2822027802467346,0.13316655158996582,0.11877864599227905,0.19222533702850342,0.13135133683681488
exhibition,0.1526671200990677,0.24921445548534393,0.22614671289920807,0.5163875222206116,0.17193780839443207,0.20562078058719635,0.11494685709476471
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.23314370214939117,0.21349623799324036,0.4222904443740845,0.1826142966747284
1851,0.09412921965122223,0.16452156007289886,0.1120925024151802,0.19184944033622742,0.08687835931777954,0.04554114490747452,0.04808126762509346
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.20741747319698334,0.2660219669342041,0.26549121737480164,0.31091248989105225
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.08185859024524689,0.2333029955625534,0.3139074146747589,0.2433311939239502
which,0.5261979103088379,0.2830964922904968,0.6521818041801453,0.22731433808803558,0.43375709652900696,0.5573342442512512,0.25814583897590637
henry,0.1911626160144806,0.31945720314979553,0.2542637586593628,0.18987026810646057,0.1734272837638855,0.13479503989219666,0.16836383938789368
cole,0.14566268026828766,0.22517915070056915,0.1850816011428833,0.09926386922597885,0.20075532793998718,0.1281953603029251,0.1507469266653061
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.20741747319698334,0.2660219669342041,0.26549121737480164,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.24861779808998108,0.36820849776268005,0.489897221326828,0.22068053483963013
museum,0.1771627515554428,0.21266788244247437,0.24861779808998108,1.0000001192092896,0.17391787469387054,0.17102712392807007,0.14128351211547852
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,-0.011753248050808907,0.06449723243713379,-0.021773243322968483,-0.023395681753754616
first,0.28086137771606445,0.5022147297859192,0.49448907375335693,0.19499869644641876,0.44981807470321655,0.39303290843963623,0.18701928853988647
director,0.12868234515190125,0.30621418356895447,0.19949141144752502,0.20798911154270172,0.1744769811630249,0.13535796105861664,0.09360282123088837
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.20741747319698334,0.2660219669342041,0.26549121737480164,0.31091248989105225
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.21266788244247437,0.5204543471336365,0.33927658200263977,0.18412111699581146
involved,0.2673480808734894,0.2577875554561615,0.2872544527053833,0.11435195058584213,0.12480082362890244,0.2715531885623932,0.20599231123924255
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2407650351524353,0.3191297650337219,0.40847352147102356,0.20430970191955566
planning,0.2823503315448761,0.26149654388427734,0.3046698570251465,0.19903747737407684,0.19553767144680023,0.19580796360969543,0.1869431883096695
;,0.10986888408660889,0.0754367932677269,0.09152708947658539,0.11569859832525253,0.07595216482877731,0.02254311740398407,0.10349778085947037
initially,0.24580118060112,0.3788634240627289,0.2997018098831177,0.08513719588518143,0.4933461844921112,0.19809702038764954,0.0699334517121315
it,0.45803478360176086,0.4577186405658722,0.6251175999641418,0.18497297167778015,0.4051901698112488,0.3402029573917389,0.25732165575027466
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.21266788244247437,0.5204543471336365,0.33927658200263977,0.18412111699581146
known,0.20381177961826324,0.35203275084495544,0.3624623417854309,0.11349175125360489,0.2954530119895935,0.4469456970691681,0.18314571678638458
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.15384963154792786,0.31636640429496765,0.2827680706977844,0.27043893933296204
the,0.42745697498321533,0.48711544275283813,1.0,0.24861779808998108,0.36820849776268005,0.489897221326828,0.22068053483963013
museum,0.1771627515554428,0.21266788244247437,0.24861779808998108,1.0000001192092896,0.17391787469387054,0.17102712392807007,0.14128351211547852
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.23314370214939117,0.21349623799324036,0.4222904443740845,0.1826142966747284
manufactures,0.1682920902967453,0.19249571859836578,0.2118023931980133,0.21935465931892395,0.2626136541366577,0.22107960283756256,0.1292264312505722
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.20741747319698334,0.2660219669342041,0.26549121737480164,0.31091248989105225
first,0.28086137771606445,0.5022147297859192,0.49448907375335693,0.19499869644641876,0.44981807470321655,0.39303290843963623,0.18701928853988647
opening,0.18146683275699615,0.20817555487155914,0.37298497557640076,0.17269611358642578,0.21898117661476135,0.18640783429145813,0.16502447426319122
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2407650351524353,0.3191297650337219,0.40847352147102356,0.20430970191955566
may,0.25739946961402893,0.3388521671295166,0.2694292366504669,0.11265087872743607,0.16364270448684692,0.21229271590709686,0.2768254578113556
1852,-0.02170044183731079,-0.04733692854642868,0.008079012855887413,-0.05839924141764641,-0.018711155280470848,0.030330568552017212,0.006410371046513319
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.23034606873989105,0.19521355628967285,0.23534239828586578,0.21978627145290375
marlborough,0.11786176264286041,0.24152158200740814,0.246634840965271,0.20420122146606445,0.17911669611930847,0.1953275501728058,0.16564486920833588
house,0.200801283121109,0.28759756684303284,0.2847244441509247,0.24902251362800598,0.1829129308462143,0.20276714861392975,0.13736455142498016
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.20741747319698334,0.2660219669342041,0.26549121737480164,0.31091248989105225
but,0.5029441118240356,0.36023372411727905,0.4859698414802551,0.1634400188922882,0.29864904284477234,0.34633150696754456,0.27921953797340393
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.15592984855175018,0.4076972007751465,0.3092815577983856,0.17966607213020325
september,0.2153792530298233,0.4425655007362366,0.2516939043998718,0.14912723004817963,0.1690576672554016,0.07918083667755127,0.2665146589279175
had,0.23849567770957947,0.5927209258079529,0.3875846862792969,0.16651499271392822,0.3063849210739136,0.31333738565444946,0.20728366076946259
been,0.2567804455757141,0.518218457698822,0.3563927710056305,0.16552354395389557,0.37399569153785706,0.21922262012958527,0.24354910850524902
transferred,0.16428381204605103,0.2860136330127716,0.34201255440711975,0.17104943096637726,0.2434666007757187,0.27540823817253113,0.1139405146241188
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.1640389859676361,0.30024412274360657,0.2987143397331238,0.29463258385658264
somerset,0.11522647738456726,0.23506030440330505,0.2696875333786011,0.18785780668258667,0.20343442261219025,0.28275442123413086,0.1172361969947815
house,0.200801283121109,0.28759756684303284,0.2847244441509247,0.24902251362800598,0.1829129308462143,0.20276714861392975,0.13736455142498016
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.19497929513454437,0.2504246234893799,0.300344854593277,0.4130953550338745
