,what,mainline,station,is,to,the,east,of,the,city,center,?
the,0.42745697498321533,0.3012564480304718,0.23609806597232819,0.5823672413825989,0.535392165184021,1.0,0.3383176326751709,0.733189046382904,1.0,0.35769423842430115,0.29064592719078064,0.22068053483963013
city,0.17493832111358643,0.26352280378341675,0.28755414485931396,0.3186660706996918,0.20300441980361938,0.35769423842430115,0.3674589693546295,0.32503411173820496,0.35769423842430115,1.0,0.32096901535987854,0.13423943519592285
's,0.02692362666130066,0.062359705567359924,-0.04233921319246292,0.02396530658006668,0.03782717138528824,-0.01540423184633255,0.05105345696210861,-0.03817026689648628,-0.01540423184633255,0.004406440537422895,-0.006294060964137316,-0.023395681753754616
other,0.341873437166214,0.2262912392616272,0.14824461936950684,0.25895947217941284,0.4193183183670044,0.44152235984802246,0.20145228505134583,0.38583824038505554,0.44152235984802246,0.20028837025165558,0.18266704678535461,0.24682199954986572
mainline,0.16564925014972687,1.0,0.49151140451431274,0.21104274690151215,0.2352696806192398,0.3012564480304718,0.358064204454422,0.23387229442596436,0.3012564480304718,0.26352280378341675,0.21194703876972198,0.18302324414253235
station,0.1613752841949463,0.49151140451431274,1.0,0.19625909626483917,0.21352042257785797,0.23609806597232819,0.288552850484848,0.17394597828388214,0.23609806597232819,0.28755414485931396,0.20308604836463928,0.12574981153011322
",",0.3087472915649414,0.2395644187927246,0.2482491284608841,0.4691906273365021,0.44245919585227966,0.4933079481124878,0.319791704416275,0.4946078956127167,0.4933079481124878,0.35839709639549255,0.1905742734670639,0.31091248989105225
manors,0.17397014796733856,0.2869225740432739,0.2517920732498169,0.1805974394083023,0.26132333278656006,0.2372322380542755,0.2355838567018509,0.23801816999912262,0.2372322380542755,0.1809324324131012,0.12653164565563202,0.12506461143493652
",",0.3087472915649414,0.2395644187927246,0.2482491284608841,0.4691906273365021,0.44245919585227966,0.4933079481124878,0.319791704416275,0.4946078956127167,0.4933079481124878,0.35839709639549255,0.1905742734670639,0.31091248989105225
is,0.28837618231773376,0.21104274690151215,0.19625909626483917,1.0,0.42745086550712585,0.5823672413825989,0.2596127688884735,0.4854315221309662,0.5823672413825989,0.3186660706996918,0.24782158434391022,0.22961433231830597
to,0.455847829580307,0.2352696806192398,0.21352042257785797,0.42745086550712585,1.0,0.535392165184021,0.24717837572097778,0.41548454761505127,0.535392165184021,0.20300441980361938,0.17764393985271454,0.29463258385658264
the,0.42745697498321533,0.3012564480304718,0.23609806597232819,0.5823672413825989,0.535392165184021,1.0,0.3383176326751709,0.733189046382904,1.0,0.35769423842430115,0.29064592719078064,0.22068053483963013
east,0.19840149581432343,0.358064204454422,0.288552850484848,0.2596127688884735,0.24717837572097778,0.3383176326751709,1.0000001192092896,0.314786434173584,0.3383176326751709,0.3674589693546295,0.2355325073003769,0.10070597380399704
of,0.33290785551071167,0.23387229442596436,0.17394597828388214,0.4854315221309662,0.41548454761505127,0.733189046382904,0.314786434173584,1.0,0.733189046382904,0.32503411173820496,0.24526838958263397,0.1826142966747284
the,0.42745697498321533,0.3012564480304718,0.23609806597232819,0.5823672413825989,0.535392165184021,1.0,0.3383176326751709,0.733189046382904,1.0,0.35769423842430115,0.29064592719078064,0.22068053483963013
city,0.17493832111358643,0.26352280378341675,0.28755414485931396,0.3186660706996918,0.20300441980361938,0.35769423842430115,0.3674589693546295,0.32503411173820496,0.35769423842430115,1.0,0.32096901535987854,0.13423943519592285
centre,0.12324132025241852,0.3277314007282257,0.2924826145172119,0.29804176092147827,0.18141506612300873,0.32783594727516174,0.3632286489009857,0.2769378423690796,0.32783594727516174,0.3318089246749878,0.5607178807258606,0.019365152344107628
.,0.3567904531955719,0.30307653546333313,0.20999185740947723,0.4569662809371948,0.4645031690597534,0.5934505462646484,0.28351864218711853,0.5352458953857422,0.5934505462646484,0.29856356978416443,0.29649654030799866,0.4130953550338745
