,the,use,of,gas,lighting,made,what,possible,the,year,after,the,museum,officially,opened,?
in,0.6662389636039734,0.2715643048286438,0.5696388483047485,0.20770272612571716,0.254514217376709,0.25271502137184143,0.30808621644973755,0.2287878543138504,0.6662389636039734,0.3359307050704956,0.44050168991088867,0.6662389636039734,0.2407650351524353,0.33332085609436035,0.2972770035266876,0.20430970191955566
the,1.0,0.34342584013938904,0.733189046382904,0.2339978665113449,0.2831954061985016,0.3885267674922943,0.42745697498321533,0.32701125741004944,1.0,0.3609684407711029,0.4565047025680542,1.0,0.24861779808998108,0.36343514919281006,0.28544309735298157,0.22068053483963013
following,0.39779382944107056,0.21724119782447815,0.3576679527759552,0.14677025377750397,0.15270614624023438,0.2533154785633087,0.2506418824195862,0.26470455527305603,0.39779382944107056,0.2646180987358093,0.39623188972473145,0.39779382944107056,0.11773281544446945,0.22434888780117035,0.12743297219276428,0.1555173695087433
year,0.3609684407711029,0.14744296669960022,0.2578314542770386,0.11143790185451508,0.10542352497577667,0.13611415028572083,0.15184831619262695,0.1680576652288437,0.3609684407711029,1.0,0.336445689201355,0.3609684407711029,0.1009267270565033,0.21622373163700104,0.17148488759994507,0.18315006792545319
",",0.4933079481124878,0.3276674151420593,0.4946078956127167,0.22298859059810638,0.2333216369152069,0.32507219910621643,0.3087472915649414,0.3032452464103699,0.4933079481124878,0.28560417890548706,0.38860568404197693,0.4933079481124878,0.20741747319698334,0.27735915780067444,0.24598844349384308,0.31091248989105225
late,0.31481194496154785,0.1435537487268448,0.21690747141838074,0.08002809435129166,0.16504354774951935,0.209080770611763,0.1576872020959854,0.16986393928527832,0.31481194496154785,0.2591397762298584,0.32546740770339966,0.31481194496154785,0.20312373340129852,0.24655947089195251,0.22606070339679718,0.11339222639799118
night,0.2817382514476776,0.1348423957824707,0.19958451390266418,0.15076972544193268,0.31005752086639404,0.14018164575099945,0.20251014828681946,0.12743470072746277,0.2817382514476776,0.2650270164012909,0.20353135466575623,0.2817382514476776,0.16561554372310638,0.09894157201051712,0.16926029324531555,0.13794848322868347
openings,0.29525789618492126,0.2997860312461853,0.22679218649864197,0.22255389392375946,0.24328303337097168,0.19898763298988342,0.16880261898040771,0.2337217926979065,0.29525789618492126,0.12156229466199875,0.13799262046813965,0.29525789618492126,0.17809262871742249,0.12625348567962646,0.4156229794025421,0.15251770615577698
were,0.3906462490558624,0.26967236399650574,0.34038281440734863,0.20399387180805206,0.20502902567386627,0.32412371039390564,0.22298263013362885,0.2087617963552475,0.3906462490558624,0.23735305666923523,0.36224013566970825,0.3906462490558624,0.16107067465782166,0.27483439445495605,0.21289664506912231,0.17890112102031708
introduced,0.242969810962677,0.30526983737945557,0.23328952491283417,0.113393135368824,0.21005882322788239,0.26727354526519775,0.09417270123958588,0.16982510685920715,0.242969810962677,0.16381673514842987,0.19105450809001923,0.242969810962677,0.09708532691001892,0.2568036615848541,0.21008090674877167,0.16386865079402924
