,which,musical,genre,did,the,progressive,folk-rock,band,gryphon,presented,at,a,concert/lecture,at,the,v,&,a,?
the,0.6521818041801453,0.2295164167881012,0.16448336839675903,0.34736719727516174,1.0,0.2495650351047516,0.27547213435173035,0.25564542412757874,0.2872163951396942,0.3251480758190155,0.457212895154953,0.5829201340675354,0.3413928151130676,0.457212895154953,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.22068053483963013
v,0.1653934270143509,0.0724087655544281,0.0482967272400856,0.17618848383426666,0.18580520153045654,0.061188437044620514,0.11174266785383224,0.11398375034332275,0.07197176665067673,0.14966119825839996,0.16234125196933746,0.21861357986927032,0.18609847128391266,0.16234125196933746,0.18580520153045654,1.0,0.10860954970121384,0.21861357986927032,0.28677162528038025
&,0.16294614970684052,0.15061990916728973,0.10494869202375412,0.160298690199852,0.14992168545722961,0.12373153865337372,0.25028717517852783,0.13784493505954742,0.10731176286935806,0.1409831941127777,0.12151119112968445,0.07266713678836823,0.15689989924430847,0.12151119112968445,0.14992168545722961,0.10860954970121384,0.9999998807907104,0.07266713678836823,0.12596383690834045
a,0.56894451379776,0.21863259375095367,0.3104410171508789,0.2552328109741211,0.5829201340675354,0.2718779742717743,0.3312191367149353,0.23926927149295807,0.2832082211971283,0.24034897983074188,0.3095070421695709,1.0,0.3301374316215515,0.3095070421695709,0.5829201340675354,0.21861357986927032,0.07266713678836823,1.0,0.23916715383529663
presented,0.2723793089389801,0.24483202397823334,0.1827515959739685,0.24108581244945526,0.3251480758190155,0.2419271320104599,0.23205184936523438,0.1288977563381195,0.19639131426811218,1.0,0.25958916544914246,0.24034897983074188,0.33180686831474304,0.25958916544914246,0.3251480758190155,0.14966119825839996,0.1409831941127777,0.24034897983074188,0.17025142908096313
a,0.56894451379776,0.21863259375095367,0.3104410171508789,0.2552328109741211,0.5829201340675354,0.2718779742717743,0.3312191367149353,0.23926927149295807,0.2832082211971283,0.24034897983074188,0.3095070421695709,1.0,0.3301374316215515,0.3095070421695709,0.5829201340675354,0.21861357986927032,0.07266713678836823,1.0,0.23916715383529663
combined,0.3865475058555603,0.1551833301782608,0.1545579880475998,0.17568819224834442,0.3713363707065582,0.23235498368740082,0.20935434103012085,0.1293078362941742,0.15145698189735413,0.19380901753902435,0.21965526044368744,0.2649520933628082,0.21113364398479462,0.21965526044368744,0.3713363707065582,0.11656475067138672,0.0703204795718193,0.2649520933628082,0.17985320091247559
concert/lecture,0.37522730231285095,0.4011751115322113,0.2828146517276764,0.2704305052757263,0.3413928151130676,0.2858029901981354,0.4125328063964844,0.2985891103744507,0.3080277740955353,0.33180686831474304,0.3559708297252655,0.3301374316215515,0.9999998807907104,0.3559708297252655,0.3413928151130676,0.18609847128391266,0.15689989924430847,0.3301374316215515,0.28518080711364746
by,0.40543368458747864,0.2919989824295044,0.20213045179843903,0.18574509024620056,0.4408751428127289,0.22185124456882477,0.24055396020412445,0.20359814167022705,0.16654981672763824,0.3042648136615753,0.2368064820766449,0.32094135880470276,0.21955996751785278,0.2368064820766449,0.4408751428127289,0.11988817155361176,0.17475149035453796,0.32094135880470276,0.17966607213020325
british,0.2002234309911728,0.17302915453910828,0.19000498950481415,0.2039594054222107,0.28973397612571716,0.19589023292064667,0.21367418766021729,0.19703637063503265,0.13866421580314636,0.2851918339729309,0.21751968562602997,0.1984395682811737,0.20989732444286346,0.21751968562602997,0.28973397612571716,0.1269635409116745,0.14896833896636963,0.1984395682811737,0.09711728990077972
progressive,0.3030937612056732,0.25032126903533936,0.4163389503955841,0.16946887969970703,0.2495650351047516,1.0,0.371768981218338,0.3513828217983246,0.12276798486709595,0.2419271320104599,0.07300453633069992,0.2718779742717743,0.2858029901981354,0.07300453633069992,0.2495650351047516,0.061188437044620514,0.12373153865337372,0.2718779742717743,0.12022990733385086
folk-rock,0.31748512387275696,0.37220340967178345,0.45484018325805664,0.21759897470474243,0.27547213435173035,0.371768981218338,1.0,0.4497908055782318,0.2656261920928955,0.23205184936523438,0.23063744604587555,0.3312191367149353,0.4125328063964844,0.23063744604587555,0.27547213435173035,0.11174266785383224,0.25028717517852783,0.3312191367149353,0.27634209394454956
band,0.21879728138446808,0.37210413813591003,0.29664337635040283,0.1734745353460312,0.25564542412757874,0.3513828217983246,0.4497908055782318,1.0000001192092896,0.1952282190322876,0.1288977563381195,0.18868649005889893,0.23926927149295807,0.2985891103744507,0.18868649005889893,0.25564542412757874,0.11398375034332275,0.13784493505954742,0.23926927149295807,0.1476995348930359
gryphon,0.2969105839729309,0.21919651329517365,0.06583313643932343,0.19256196916103363,0.2872163951396942,0.12276798486709595,0.2656261920928955,0.1952282190322876,1.0,0.19639131426811218,0.1989295780658722,0.2832082211971283,0.3080277740955353,0.1989295780658722,0.2872163951396942,0.07197176665067673,0.10731176286935806,0.2832082211971283,0.19314464926719666
",",0.3658004403114319,0.2668933868408203,0.1755792647600174,0.3015086054801941,0.4933079481124878,0.18273064494132996,0.40340039134025574,0.281078964471817,0.30636247992515564,0.28443270921707153,0.38314947485923767,0.427140474319458,0.3216431736946106,0.38314947485923767,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.31091248989105225
who,0.3688730001449585,0.20065560936927795,0.17903393507003784,0.34038686752319336,0.3733934462070465,0.18807709217071533,0.2549518644809723,0.2104743868112564,0.2692280411720276,0.19792668521404266,0.22096660733222961,0.36608949303627014,0.22158154845237732,0.22096660733222961,0.3733934462070465,0.06742344051599503,0.09244576841592789,0.36608949303627014,0.26220351457595825
