,how,much,did,disney,sell,it,'s,stake,in,eurosport,for,in,2000,?
a,0.29312583804130554,0.2958075702190399,0.2552328109741211,0.21907898783683777,0.1961973011493683,0.5452592968940735,0.04866964742541313,0.21251177787780762,0.539380669593811,0.2523926794528961,0.44038116931915283,0.539380669593811,-0.03899485245347023,0.23916715383529663
second,0.16459402441978455,0.2180226892232895,0.20727969706058502,0.14062318205833435,0.08417736738920212,0.2881217300891876,-0.060212843120098114,0.13921645283699036,0.34510284662246704,0.18059930205345154,0.25438159704208374,0.34510284662246704,-0.04341768100857735,0.17239587008953094
period,0.22695960104465485,0.2466428130865097,0.1760309934616089,0.11660925298929214,0.11233417689800262,0.2586527168750763,-0.05741342157125473,0.044256556779146194,0.23051127791404724,0.11316920071840286,0.27999383211135864,0.23051127791404724,-0.10019590705633163,0.18706195056438446
of,0.2480744868516922,0.2671096920967102,0.2513895630836487,0.19926400482654572,0.16354906558990479,0.38761502504348755,-0.03817026689648628,0.23804813623428345,0.5696388483047485,0.26275622844696045,0.4185989499092102,0.5696388483047485,0.010344067588448524,0.1826142966747284
international,0.1396709680557251,0.140476256608963,0.12453269958496094,0.18133307993412018,0.12464001029729843,0.15743213891983032,-0.021212328225374222,0.13770833611488342,0.26377472281455994,0.3049991726875305,0.3073737323284149,0.26377472281455994,-0.10456079989671707,0.15335838496685028
expansion,0.1856977343559265,0.3151290714740753,0.1645428091287613,0.18018515408039093,0.14299322664737701,0.22734709084033966,-0.022183343768119812,0.17944633960723877,0.20021484792232513,0.20658962428569794,0.2434670478105545,0.20021484792232513,-0.1577623039484024,0.18286365270614624
is,0.22544461488723755,0.3156087100505829,0.19247472286224365,0.18704643845558167,0.20408901572227478,0.6328473687171936,0.02396530658006668,0.17842623591423035,0.5394441485404968,0.2473282814025879,0.43268078565597534,0.5394441485404968,-0.07182633876800537,0.22961433231830597
linked,0.24605058133602142,0.25174984335899353,0.17733152210712433,0.16911087930202484,0.12533937394618988,0.24638403952121735,-0.031395699828863144,0.13269786536693573,0.21849478781223297,0.11413200944662094,0.2597196102142334,0.21849478781223297,-0.11464650183916092,0.22991526126861572
to,0.44169697165489197,0.40610215067863464,0.4452643394470215,0.23984374105930328,0.35664159059524536,0.513711154460907,0.03782717138528824,0.22459104657173157,0.45010748505592346,0.2693219482898712,0.4451248347759247,0.45010748505592346,-0.05413077399134636,0.29463258385658264
that,0.557814359664917,0.4869440197944641,0.47518548369407654,0.20073425769805908,0.2741891145706177,0.5921133160591125,0.04397977516055107,0.28028222918510437,0.435920387506485,0.2095196396112442,0.4137635827064514,0.435920387506485,-0.12745219469070435,0.32716336846351624
