,what,does,the,eu,'s,legitimacy,rest,on,?
this,0.5489566326141357,0.4166489243507385,0.6274310946464539,0.20222337543964386,0.02106832154095173,0.31171107292175293,0.36935269832611084,0.4193967580795288,0.3155723512172699
suggests,0.3129163086414337,0.33154788613319397,0.3135903775691986,0.04791953042149544,0.002134918235242367,0.26882311701774597,0.22003275156021118,0.22118832170963287,0.2323666214942932
the,0.42745697498321533,0.35928019881248474,1.0,0.14126400649547577,-0.01540423184633255,0.22425152361392975,0.41330549120903015,0.5107308030128479,0.22068053483963013
eu,0.15409135818481445,0.10805947333574295,0.14126400649547577,0.9999998807907104,0.02064049430191517,0.16991247236728668,0.11685939133167267,0.18063917756080627,0.21586786210536957
's,0.02692362666130066,-0.02895052544772625,-0.01540423184633255,0.02064049430191517,0.9999999403953552,-0.026847882196307182,0.04253825545310974,0.0026888418942689896,-0.023395681753754616
legitimacy,0.2806021273136139,0.24567218124866486,0.22425152361392975,0.16991247236728668,-0.026847882196307182,1.0,0.15945817530155182,0.15400157868862152,0.17292635142803192
rests,0.16295276582241058,0.2651923596858978,0.3346085548400879,0.01951773837208748,0.0010080209467560053,0.23514968156814575,0.44517117738723755,0.23421421647071838,0.06835359334945679
on,0.34226128458976746,0.2568802833557129,0.5107308030128479,0.18063917756080627,0.0026888418942689896,0.15400157868862152,0.30716630816459656,0.9999999403953552,0.2714994251728058
the,0.42745697498321533,0.35928019881248474,1.0,0.14126400649547577,-0.01540423184633255,0.22425152361392975,0.41330549120903015,0.5107308030128479,0.22068053483963013
ultimate,0.24798814952373505,0.24671104550361633,0.293570339679718,0.1328662633895874,-0.00885791052132845,0.31652265787124634,0.1507551670074463,0.21629178524017334,0.2316586822271347
authority,0.23046736419200897,0.24361401796340942,0.2645063102245331,0.12229643762111664,0.019309991970658302,0.3938504159450531,0.19719678163528442,0.17171882092952728,0.18404170870780945
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.1579294353723526,-0.03817026689648628,0.248880535364151,0.33621829748153687,0.3966929316520691,0.1826142966747284
member,0.09932345896959305,0.15050765872001648,0.2806392312049866,0.2245567888021469,-0.031640440225601196,0.14831487834453583,0.12844230234622955,0.1643621176481247,0.06826172769069672
states,0.21526020765304565,0.18093830347061157,0.3463578522205353,0.17918972671031952,-0.004298824816942215,0.23328635096549988,0.21301107108592987,0.2692825198173523,0.16272737085819244
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.1565755307674408,-0.0016132977325469255,0.2014969140291214,0.3065745532512665,0.49057599902153015,0.31091248989105225
its,0.30393704771995544,0.33437713980674744,0.559237003326416,0.16840960085391998,0.03202139586210251,0.13719335198402405,0.2827455997467041,0.34331920742988586,0.15103481709957123
factual,0.4650396704673767,0.42067110538482666,0.26451945304870605,0.10630420595407486,0.02633865736424923,0.3954009711742401,0.18789631128311157,0.2647143602371216,0.33299127221107483
commitment,0.344460129737854,0.28404033184051514,0.23078779876232147,0.1624491810798645,0.08736924082040787,0.3444919288158417,0.15794901549816132,0.2673266530036926,0.238871768116951
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.1539587825536728,0.03782717138528824,0.20974260568618774,0.367563933134079,0.41031414270401,0.29463258385658264
human,0.24243313074111938,0.23807655274868011,0.3103327453136444,0.10650262236595154,0.03975607082247734,0.14944502711296082,0.1787908971309662,0.18558697402477264,0.19748784601688385
rights,0.2386135458946228,0.19725890457630157,0.2579100430011749,0.1998741328716278,-0.06798747181892395,0.3369182348251343,0.18069273233413696,0.22401921451091766,0.21814769506454468
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.1565755307674408,-0.0016132977325469255,0.2014969140291214,0.3065745532512665,0.49057599902153015,0.31091248989105225
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.16977795958518982,0.06895173341035843,0.197220116853714,0.34185317158699036,0.4077630043029785,0.20544172823429108
the,0.42745697498321533,0.35928019881248474,1.0,0.14126400649547577,-0.01540423184633255,0.22425152361392975,0.41330549120903015,0.5107308030128479,0.22068053483963013
democratic,0.1858556717634201,0.1422075480222702,0.21570740640163422,0.24229766428470612,0.030957825481891632,0.3143165111541748,0.12869082391262054,0.2068682461977005,0.1668088138103485
will,0.3510494530200958,0.583926260471344,0.3635469079017639,0.21232692897319794,0.00371179124340415,0.15685923397541046,0.30911096930503845,0.3240351676940918,0.35046905279159546
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.1579294353723526,-0.03817026689648628,0.248880535364151,0.33621829748153687,0.3966929316520691,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,1.0,0.14126400649547577,-0.01540423184633255,0.22425152361392975,0.41330549120903015,0.5107308030128479,0.22068053483963013
people,0.32444337010383606,0.2198464572429657,0.36838498711586,0.09364231675863266,0.023582622408866882,0.23839391767978668,0.269919216632843,0.2559742033481598,0.23739641904830933
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.1552242487668991,-0.003708066651597619,0.1462436020374298,0.36049437522888184,0.49257001280784607,0.4130953550338745
