,which,actions,by,eu,institutions,can,be,subject,to,judicial,review,?
these,0.5959210991859436,0.382930189371109,0.33332425355911255,0.11401323974132538,0.3394468426704407,0.4833051562309265,0.4507283866405487,0.27399691939353943,0.46852558851242065,0.22249926626682281,0.20152051746845245,0.2571668326854706
rules,0.30419498682022095,0.32590165734291077,0.1953977644443512,0.12336549907922745,0.336464524269104,0.2710748314857483,0.2569824457168579,0.29188281297683716,0.24270765483379364,0.2590155303478241,0.18643420934677124,0.22111085057258606
on,0.4245251417160034,0.2808321714401245,0.33887791633605957,0.18063917756080627,0.23092038929462433,0.2772369682788849,0.37900757789611816,0.2795393466949463,0.41031414270401,0.20648770034313202,0.2625720500946045,0.2714994251728058
``,0.05178012326359749,0.13097381591796875,-0.030704375356435776,0.179834246635437,0.02035221830010414,0.12428006529808044,0.07670000940561295,0.0066905757412314415,0.06720756739377975,0.056156791746616364,-0.11371882259845734,0.0685480609536171
direct,0.3581477105617523,0.2463378608226776,0.33004793524742126,0.11652076244354248,0.15354858338832855,0.26376575231552124,0.2963159680366516,0.31506621837615967,0.3420579433441162,0.17337168753147125,0.17432890832424164,0.18476411700248718
effect,0.33791235089302063,0.26895904541015625,0.21400253474712372,0.17019137740135193,0.11984062939882278,0.2831771671772003,0.3193022906780243,0.2770704925060272,0.2521958649158478,0.1332618147134781,0.19396547973155975,0.1783771812915802
'',-0.03332270681858063,-0.1100800484418869,-0.010275691747665405,0.0652511790394783,0.02348349429666996,0.008988718502223492,0.08835477381944656,0.04051326587796211,-0.009905828163027763,0.010891818441450596,-0.05241112783551216,0.018684765323996544
limit,0.3060668408870697,0.3248836398124695,0.2317083477973938,0.11427097022533417,0.17703984677791595,0.30807963013648987,0.28582412004470825,0.2330191284418106,0.31784215569496155,0.21299511194229126,0.17102612555027008,0.20747125148773193
the,0.6521818041801453,0.297427237033844,0.4408751428127289,0.14126400649547577,0.2776423394680023,0.312528520822525,0.4248143136501312,0.2387523651123047,0.535392165184021,0.27282875776290894,0.245576411485672,0.22068053483963013
extent,0.3352196216583252,0.29074761271476746,0.19605369865894318,0.17656013369560242,0.22192421555519104,0.3049246072769165,0.31358057260513306,0.3631780445575714,0.26711156964302063,0.2500816881656647,0.1635318100452423,0.1940663903951645
to,0.5345056653022766,0.27775833010673523,0.33534231781959534,0.1539587825536728,0.21708254516124725,0.4979398250579834,0.4972836375236511,0.3198980987071991,1.0,0.2431270331144333,0.22984053194522858,0.29463258385658264
which,1.0,0.3084428310394287,0.40543368458747864,0.15620915591716766,0.3250819742679596,0.41132649779319763,0.476310670375824,0.3130331039428711,0.5345056653022766,0.23113827407360077,0.18274706602096558,0.25814583897590637
member,0.19141918420791626,0.17862002551555634,0.14692413806915283,0.2245567888021469,0.20012737810611725,0.09298814088106155,0.15509481728076935,0.18762126564979553,0.19456195831298828,0.21078023314476013,0.1590772122144699,0.06826172769069672
state,0.27248382568359375,0.1778804212808609,0.2263980358839035,0.18008030951023102,0.3893241584300995,0.13665424287319183,0.22221757471561432,0.230435311794281,0.25557461380958557,0.3327566981315613,0.07543918490409851,0.1160883978009224
courts,0.24834851920604706,0.19596780836582184,0.19574788212776184,0.15551544725894928,0.44648414850234985,0.21489909291267395,0.23069016635417938,0.30850592255592346,0.2114926129579544,0.557457447052002,0.2640983462333679,0.17759139835834503
are,0.42922598123550415,0.26690158247947693,0.37842893600463867,0.13638608157634735,0.24231413006782532,0.5408529043197632,0.5556803941726685,0.22845745086669922,0.3504326641559601,0.1636805385351181,0.14189735054969788,0.24591213464736938
bound,0.2771664261817932,0.253243088722229,0.22119876742362976,0.083220474421978,0.1809185892343521,0.1982916295528412,0.2609313428401947,0.1895945817232132,0.29917120933532715,0.2590397894382477,0.17539025843143463,0.12182208895683289
to,0.5345056653022766,0.27775833010673523,0.33534231781959534,0.1539587825536728,0.21708254516124725,0.4979398250579834,0.4972836375236511,0.3198980987071991,1.0,0.2431270331144333,0.22984053194522858,0.29463258385658264
administer,0.26728588342666626,0.2591977119445801,0.20595970749855042,0.21101179718971252,0.34972190856933594,0.19031621515750885,0.2584148645401001,0.23851661384105682,0.26929280161857605,0.4635336101055145,0.17315389215946198,0.12163412570953369
eu,0.15620915591716766,0.10317081212997437,0.07193604856729507,0.9999998807907104,0.22206048667430878,0.15144599974155426,0.1461477279663086,0.14878465235233307,0.1539587825536728,0.21058975160121918,0.12021122127771378,0.21586786210536957
law,0.20205146074295044,0.23932914435863495,0.1977037936449051,0.20359504222869873,0.38910791277885437,0.13600260019302368,0.18454892933368683,0.3215080201625824,0.259207159280777,0.43910738825798035,0.15829597413539886,0.1528988480567932
.,0.45942068099975586,0.2696916162967682,0.3936232924461365,0.1552242487668991,0.22790031135082245,0.35783761739730835,0.4383580684661865,0.2536076307296753,0.4645031690597534,0.2003612220287323,0.27015718817710876,0.4130953550338745
