,why,is,the,building,on,spital,tongues,known,as,the,pink,palace,?
bbc,0.21459120512008667,0.19024956226348877,0.2735401690006256,0.11997079849243164,0.2646632492542267,0.2442437708377838,0.12280730903148651,0.10952196270227432,0.18809008598327637,0.2735401690006256,0.16378405690193176,0.11535310745239258,0.20556949079036713
north,0.1449831873178482,0.2993389368057251,0.36298373341560364,0.20425012707710266,0.24055036902427673,0.29840317368507385,0.16365131735801697,0.1970449835062027,0.22670356929302216,0.36298373341560364,0.1254892200231552,0.15837901830673218,0.11829731613397598
east,0.1936461478471756,0.2596127688884735,0.3383176326751709,0.18789555132389069,0.20555776357650757,0.2768859267234802,0.1552407294511795,0.21003270149230957,0.19617025554180145,0.3383176326751709,0.1156604066491127,0.2381581813097,0.10070597380399704
and,0.27806392312049866,0.3859752118587494,0.5171257257461548,0.2593274712562561,0.4077630043029785,0.2806490659713745,0.2697310745716095,0.3468935489654541,0.49487000703811646,0.5171257257461548,0.25025492906570435,0.20294713973999023,0.20544172823429108
cumbria,0.18999987840652466,0.1421683430671692,0.16453850269317627,0.16918528079986572,0.14503417909145355,0.22126954793930054,0.09910441190004349,0.09326372295618057,0.16999363899230957,0.16453850269317627,0.1803954690694809,0.13529103994369507,0.1738879531621933
is,0.26410171389579773,1.0,0.5823672413825989,0.20087163150310516,0.3635730445384979,0.2895143926143646,0.24041181802749634,0.41921812295913696,0.43216490745544434,0.5823672413825989,0.23884820938110352,0.16243064403533936,0.22961433231830597
located,0.12182331830263138,0.35717159509658813,0.407527357339859,0.3805096745491028,0.22447186708450317,0.2741906940937042,0.1021144911646843,0.21905839443206787,0.20928777754306793,0.407527357339859,0.121749646961689,0.25201845169067383,0.08983194828033447
to,0.4100138247013092,0.42745086550712585,0.535392165184021,0.2658686637878418,0.41031414270401,0.21478386223316193,0.2627212107181549,0.14337651431560516,0.42092081904411316,0.535392165184021,0.1841450333595276,0.1622222661972046,0.29463258385658264
the,0.30742117762565613,0.5823672413825989,1.0,0.3159640431404114,0.5107308030128479,0.2844544053077698,0.27969110012054443,0.3624623417854309,0.48381632566452026,1.0,0.19972290098667145,0.25955939292907715,0.22068053483963013
north,0.1449831873178482,0.2993389368057251,0.36298373341560364,0.20425012707710266,0.24055036902427673,0.29840317368507385,0.16365131735801697,0.1970449835062027,0.22670356929302216,0.36298373341560364,0.1254892200231552,0.15837901830673218,0.11829731613397598
of,0.28464117646217346,0.4854315221309662,0.733189046382904,0.26200541853904724,0.3966929316520691,0.3308553397655487,0.2690775394439697,0.35814476013183594,0.3886612355709076,0.733189046382904,0.14837202429771423,0.223849356174469,0.1826142966747284
the,0.30742117762565613,0.5823672413825989,1.0,0.3159640431404114,0.5107308030128479,0.2844544053077698,0.27969110012054443,0.3624623417854309,0.48381632566452026,1.0,0.19972290098667145,0.25955939292907715,0.22068053483963013
