,who,did,genghis,khan,assign,as,his,successor,?
before,0.31244513392448425,0.33642593026161194,0.21553796529769897,0.13899727165699005,0.24333538115024567,0.3552539646625519,0.358011394739151,0.16925738751888275,0.2507109045982361
genghis,0.3018350303173065,0.18339850008487701,1.0,0.5896923542022705,0.1234140396118164,0.17543354630470276,0.3744826912879944,0.28109827637672424,0.18813461065292358
khan,0.2616176903247833,0.155345618724823,0.5896923542022705,1.0,0.11368578672409058,0.22500167787075043,0.26570460200309753,0.2138257473707199,0.12862591445446014
died,0.2688716650009155,0.2759808599948883,0.28730252385139465,0.1835235059261322,0.03918832167983055,0.14962446689605713,0.38025936484336853,0.253170907497406,0.15254227817058563
",",0.3365725874900818,0.3015086054801941,0.2891939878463745,0.19700400531291962,0.2065923511981964,0.48816442489624023,0.3378419280052185,0.1759623885154724,0.31091248989105225
he,0.5500732064247131,0.3292143940925598,0.28288567066192627,0.24136358499526978,0.15677045285701752,0.33787044882774353,0.7171558737754822,0.13763011991977692,0.2089974731206894
assigned,0.35361289978027344,0.20200538635253906,0.16602088510990143,0.09421811252832413,0.8291330337524414,0.3101508915424347,0.20322267711162567,0.1835325062274933,0.1908780038356781
ögedei,0.34607383608818054,0.2727532982826233,0.6161514520645142,0.43523725867271423,0.168926402926445,0.27530238032341003,0.4082617163658142,0.36593908071517944,0.20177854597568512
khan,0.2616176903247833,0.155345618724823,0.5896923542022705,1.0,0.11368578672409058,0.22500167787075043,0.26570460200309753,0.2138257473707199,0.12862591445446014
as,0.3923053741455078,0.3596470057964325,0.17543354630470276,0.22500167787075043,0.2955867052078247,1.0,0.3146366477012634,0.26511430740356445,0.27043893933296204
his,0.44966956973075867,0.3546801507472992,0.3744826912879944,0.26570460200309753,0.15357856452465057,0.3146366477012634,0.9999998807907104,0.2260759174823761,0.18075084686279297
successor,0.1692478209733963,0.2361486852169037,0.28109827637672424,0.2138257473707199,0.12652839720249176,0.26511430740356445,0.2260759174823761,0.9999999403953552,0.0913006067276001
and,0.41279885172843933,0.34479495882987976,0.26551535725593567,0.22885166108608246,0.1959715038537979,0.49487000703811646,0.4234102666378021,0.1350792944431305,0.20544172823429108
split,0.07461348921060562,0.11566226184368134,0.2031431645154953,0.1261998862028122,0.14599758386611938,0.10569414496421814,0.11423321068286896,0.1589958816766739,0.16133880615234375
his,0.44966956973075867,0.3546801507472992,0.3744826912879944,0.26570460200309753,0.15357856452465057,0.3146366477012634,0.9999998807907104,0.2260759174823761,0.18075084686279297
empire,0.18977859616279602,0.18850058317184448,0.42237505316734314,0.38083162903785706,0.05553130432963371,0.21108263731002808,0.22914105653762817,0.20978207886219025,0.14909450709819794
into,0.16956904530525208,0.14888085424900055,0.227550208568573,0.10511033236980438,0.1474214643239975,0.24094121158123016,0.22944098711013794,0.041383400559425354,0.15662476420402527
khanates,0.2076549530029297,0.12753266096115112,0.5802638530731201,0.6729298830032349,0.1060875952243805,0.1981477588415146,0.21770083904266357,0.1911739856004715,0.09710115194320679
among,0.32480236887931824,0.2415449470281601,0.19628296792507172,0.1364687979221344,0.14594240486621857,0.3329014778137207,0.23289452493190765,0.15236900746822357,0.14343059062957764
his,0.44966956973075867,0.3546801507472992,0.3744826912879944,0.26570460200309753,0.15357856452465057,0.3146366477012634,0.9999998807907104,0.2260759174823761,0.18075084686279297
sons,0.29115572571754456,0.19547776877880096,0.2966407537460327,0.2521197199821472,0.08564536273479462,0.1972646862268448,0.3316914141178131,0.31135624647140503,0.13006451725959778
and,0.41279885172843933,0.34479495882987976,0.26551535725593567,0.22885166108608246,0.1959715038537979,0.49487000703811646,0.4234102666378021,0.1350792944431305,0.20544172823429108
grandsons,0.3405696153640747,0.2409151941537857,0.4735052287578583,0.32802814245224,0.11775204539299011,0.2123892903327942,0.40568041801452637,0.3537636995315552,0.12158585339784622
.,0.3541337847709656,0.35288307070732117,0.25373268127441406,0.19819748401641846,0.23861627280712128,0.515582263469696,0.3119256794452667,0.11615859717130661,0.4130953550338745
