,in,what,does,the,doctrine,of,legitimate,expectations,have,roots,?
the,0.6662389636039734,0.42745697498321533,0.35928019881248474,1.0,0.23041051626205444,0.733189046382904,0.23253867030143738,0.22843137383460999,0.40389683842658997,0.2583441734313965,0.22068053483963013
doctrine,0.1543712466955185,0.3112909197807312,0.18365386128425598,0.23041051626205444,0.9999999403953552,0.23378130793571472,0.2983269989490509,0.3064405620098114,0.20800341665744781,0.24484644830226898,0.21789313852787018
of,0.5696388483047485,0.33290785551071167,0.3119818866252899,0.733189046382904,0.23378130793571472,1.0,0.2887045741081238,0.17444978654384613,0.3802283704280853,0.19995063543319702,0.1826142966747284
legitimate,0.15761952102184296,0.3080519735813141,0.31185248494148254,0.23253867030143738,0.2983269989490509,0.2887045741081238,1.0,0.30973175168037415,0.3204694986343384,0.1889389157295227,0.28191015124320984
expectation,0.22255434095859528,0.36794713139533997,0.37066441774368286,0.23688670992851257,0.2857540249824524,0.1829133778810501,0.304246187210083,0.9306972622871399,0.2858940362930298,0.13330091536045074,0.2760455310344696
",",0.5201468467712402,0.3087472915649414,0.28617382049560547,0.4933079481124878,0.15962223708629608,0.4946078956127167,0.2597030699253082,0.25619077682495117,0.3541618287563324,0.24235887825489044,0.31091248989105225
which,0.4840516746044159,0.5261979103088379,0.39111801981925964,0.6521818041801453,0.27833762764930725,0.5011631846427917,0.26665136218070984,0.27380460500717163,0.49652695655822754,0.26459187269210815,0.25814583897590637
has,0.4173259735107422,0.20338068902492523,0.42885294556617737,0.4177538752555847,0.15796440839767456,0.3909035325050354,0.18465861678123474,0.18688076734542847,0.6353569626808167,0.21169961988925934,0.15994466841220856
its,0.3793783485889435,0.30393704771995544,0.33437713980674744,0.559237003326416,0.20307354629039764,0.48690423369407654,0.13997744023799896,0.19043052196502686,0.3852778375148773,0.26210060715675354,0.15103481709957123
roots,0.18261569738388062,0.1585880070924759,0.2517792284488678,0.2583441734313965,0.24484644830226898,0.19995063543319702,0.1889389157295227,0.16507981717586517,0.22407953441143036,1.0,0.09478887915611267
in,1.0,0.30808621644973755,0.214483380317688,0.6662389636039734,0.1543712466955185,0.5696388483047485,0.15761952102184296,0.23931990563869476,0.36843645572662354,0.18261569738388062,0.20430970191955566
the,0.6662389636039734,0.42745697498321533,0.35928019881248474,1.0,0.23041051626205444,0.733189046382904,0.23253867030143738,0.22843137383460999,0.40389683842658997,0.2583441734313965,0.22068053483963013
principles,0.16260969638824463,0.3122304081916809,0.2238970249891281,0.21452596783638,0.4201236069202423,0.25854504108428955,0.2276827096939087,0.3493344187736511,0.21499435603618622,0.23477596044540405,0.19203636050224304
of,0.5696388483047485,0.33290785551071167,0.3119818866252899,0.733189046382904,0.23378130793571472,1.0,0.2887045741081238,0.17444978654384613,0.3802283704280853,0.19995063543319702,0.1826142966747284
legal,0.256083607673645,0.26388198137283325,0.2178104817867279,0.25629305839538574,0.30548545718193054,0.2720220685005188,0.4092075824737549,0.3023519515991211,0.2777758538722992,0.17932666838169098,0.2143220454454422
certainty,0.20479480922222137,0.47387680411338806,0.3475416302680969,0.2811688482761383,0.3824406862258911,0.32837578654289246,0.3177277743816376,0.42433780431747437,0.33826014399528503,0.2060903161764145,0.27320238947868347
and,0.4954058527946472,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.16517424583435059,0.5116966962814331,0.21934857964515686,0.2936684489250183,0.4711785912513733,0.30323776602745056,0.20544172823429108
good,0.2152448445558548,0.3916934132575989,0.33198118209838867,0.2735973596572876,0.14138011634349823,0.2696770131587982,0.3058677911758423,0.3944069445133209,0.3792963922023773,0.16696389019489288,0.3187684714794159
faith,0.16146141290664673,0.3120079040527344,0.20944759249687195,0.20665863156318665,0.4240439236164093,0.20991961658000946,0.30030518770217896,0.3201233744621277,0.2082022875547409,0.14340080320835114,0.2833177447319031
",",0.5201468467712402,0.3087472915649414,0.28617382049560547,0.4933079481124878,0.15962223708629608,0.4946078956127167,0.2597030699253082,0.25619077682495117,0.3541618287563324,0.24235887825489044,0.31091248989105225
is,0.5394441485404968,0.28837618231773376,0.4403602182865143,0.5823672413825989,0.15716557204723358,0.4854315221309662,0.16789257526397705,0.20610402524471283,0.3613572418689728,0.22245821356773376,0.22961433231830597
also,0.5073733329772949,0.42747777700424194,0.4118025600910187,0.6021018624305725,0.23094075918197632,0.4924938678741455,0.31213849782943726,0.3075351119041443,0.5252172946929932,0.2964971363544464,0.21848613023757935
a,0.539380669593811,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.14698471128940582,0.5052502155303955,0.20584626495838165,0.2630302309989929,0.338716596364975,0.20745879411697388,0.23916715383529663
central,0.30844059586524963,0.17723965644836426,0.17120608687400818,0.3417201042175293,0.20976762473583221,0.3415789008140564,0.079999640583992,0.0023103230632841587,0.20610825717449188,0.1488344669342041,0.14787602424621582
element,0.16983667016029358,0.24694041907787323,0.24992139637470245,0.2041647583246231,0.2451474666595459,0.21102571487426758,0.12607277929782867,0.23155170679092407,0.2231040596961975,0.22665409743785858,0.18393386900424957
of,0.5696388483047485,0.33290785551071167,0.3119818866252899,0.733189046382904,0.23378130793571472,1.0,0.2887045741081238,0.17444978654384613,0.3802283704280853,0.19995063543319702,0.1826142966747284
the,0.6662389636039734,0.42745697498321533,0.35928019881248474,1.0,0.23041051626205444,0.733189046382904,0.23253867030143738,0.22843137383460999,0.40389683842658997,0.2583441734313965,0.22068053483963013
general,0.259066641330719,0.24928055703639984,0.15178900957107544,0.28634732961654663,0.22482143342494965,0.28352999687194824,0.19621263444423676,0.18475764989852905,0.1695498526096344,0.03744080662727356,0.1972234547138214
principle,0.16382117569446564,0.3569014072418213,0.26912158727645874,0.24017377197742462,0.3775387704372406,0.2430231273174286,0.27671071887016296,0.3167068660259247,0.21305231750011444,0.18965312838554382,0.2002675086259842
of,0.5696388483047485,0.33290785551071167,0.3119818866252899,0.733189046382904,0.23378130793571472,1.0,0.2887045741081238,0.17444978654384613,0.3802283704280853,0.19995063543319702,0.1826142966747284
legal,0.256083607673645,0.26388198137283325,0.2178104817867279,0.25629305839538574,0.30548545718193054,0.2720220685005188,0.4092075824737549,0.3023519515991211,0.2777758538722992,0.17932666838169098,0.2143220454454422
certainty,0.20479480922222137,0.47387680411338806,0.3475416302680969,0.2811688482761383,0.3824406862258911,0.32837578654289246,0.3177277743816376,0.42433780431747437,0.33826014399528503,0.2060903161764145,0.27320238947868347
in,1.0,0.30808621644973755,0.214483380317688,0.6662389636039734,0.1543712466955185,0.5696388483047485,0.15761952102184296,0.23931990563869476,0.36843645572662354,0.18261569738388062,0.20430970191955566
european,0.23319172859191895,0.15324164927005768,0.11488570272922516,0.3423081040382385,0.1830586940050125,0.2507138252258301,0.11923065036535263,0.16395415365695953,0.19048169255256653,0.23272527754306793,0.14560863375663757
union,0.22726479172706604,0.1396910548210144,0.10697764903306961,0.24421639740467072,0.2523968815803528,0.2642118036746979,0.1784181445837021,0.15035447478294373,0.16471676528453827,0.12729844450950623,0.07797172665596008
law,0.24850773811340332,0.2145031988620758,0.22011858224868774,0.24548950791358948,0.3312738537788391,0.2816956341266632,0.3000798225402832,0.22841326892375946,0.18623127043247223,0.12885643541812897,0.1528988480567932
.,0.5591574311256409,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.19162513315677643,0.5352458953857422,0.2252013385295868,0.23937317728996277,0.41614407300949097,0.22038978338241577,0.4130953550338745
