,who,designed,the,wrought,iron,gates,that,was,used,to,embellish,the,east,side,of,the,building,?
continuing,0.19621968269348145,0.16762250661849976,0.32997485995292664,0.3152439296245575,0.10951806604862213,0.13741417229175568,0.31592410802841187,0.24030117690563202,0.1951303333044052,0.35663074254989624,0.08801504969596863,0.32997485995292664,0.21045483648777008,0.2595887780189514,0.267429918050766,0.32997485995292664,0.24358896911144257,0.16484299302101135
the,0.3733934462070465,0.2559613883495331,1.0,0.3227902352809906,0.27578672766685486,0.2443714737892151,0.5473989248275757,0.48711544275283813,0.3718377649784088,0.535392165184021,0.19737698137760162,1.0,0.3383176326751709,0.37146830558776855,0.733189046382904,1.0,0.3159640431404114,0.22068053483963013
style,0.15775224566459656,0.2501359283924103,0.2331719547510147,0.21998734772205353,0.17168556153774261,0.12318404018878937,0.2503998577594757,0.17358732223510742,0.26038944721221924,0.2404285967350006,0.30947431921958923,0.2331719547510147,0.11934313923120499,0.1742473691701889,0.23203764855861664,0.2331719547510147,0.2160005271434784,0.19862167537212372
of,0.2827862501144409,0.2000347077846527,0.733189046382904,0.298917680978775,0.263920396566391,0.15723752975463867,0.41498205065727234,0.4069072902202606,0.3075267970561981,0.41548454761505127,0.20791323482990265,0.733189046382904,0.314786434173584,0.2452700436115265,1.0,0.733189046382904,0.26200541853904724,0.1826142966747284
the,0.3733934462070465,0.2559613883495331,1.0,0.3227902352809906,0.27578672766685486,0.2443714737892151,0.5473989248275757,0.48711544275283813,0.3718377649784088,0.535392165184021,0.19737698137760162,1.0,0.3383176326751709,0.37146830558776855,0.733189046382904,1.0,0.3159640431404114,0.22068053483963013
earlier,0.23053643107414246,0.16266706585884094,0.26843780279159546,0.2561371624469757,0.10384277999401093,0.11051370948553085,0.39515221118927,0.3443564474582672,0.18177171051502228,0.29382309317588806,0.1761544644832611,0.26843780279159546,0.1577630639076233,0.1437636762857437,0.27635854482650757,0.26843780279159546,0.08585124462842941,0.13306351006031036
buildings,0.19900023937225342,0.4442058503627777,0.25566717982292175,0.38110360503196716,0.20490007102489471,0.27275246381759644,0.22388790547847748,0.2350262999534607,0.2719874978065491,0.25290772318840027,0.19774846732616425,0.25566717982292175,0.2519272267818451,0.18033361434936523,0.2829168736934662,0.25566717982292175,0.765990138053894,0.11192528158426285
",",0.3365725874900818,0.201692596077919,0.4933079481124878,0.2199701964855194,0.23416942358016968,0.2782841622829437,0.4137537479400635,0.45456063747406006,0.3120402991771698,0.44245919585227966,0.24713389575481415,0.4933079481124878,0.319791704416275,0.24522119760513306,0.4946078956127167,0.4933079481124878,0.2374238669872284,0.31091248989105225
various,0.21537287533283234,0.18348240852355957,0.3235042691230774,0.269724041223526,0.18240317702293396,0.13127121329307556,0.34879615902900696,0.14120686054229736,0.36734074354171753,0.33564820885658264,0.2635633945465088,0.3235042691230774,0.1861381083726883,0.13433043658733368,0.3196488320827484,0.3235042691230774,0.14968140423297882,0.12823495268821716
designers,0.2566843330860138,0.7055220007896423,0.25445735454559326,0.2975272536277771,0.1626080423593521,0.2288895696401596,0.2588960826396942,0.24880798161029816,0.2667921185493469,0.2781951427459717,0.25050854682922363,0.25445735454559326,0.11097375303506851,0.17267636954784393,0.21848446130752563,0.25445735454559326,0.29018518328666687,0.15633709728717804
were,0.3188014328479767,0.21924695372581482,0.3906462490558624,0.32702940702438354,0.18622921407222748,0.190333291888237,0.35517072677612305,0.590133786201477,0.27636459469795227,0.31913647055625916,0.23491019010543823,0.3906462490558624,0.22886523604393005,0.19292019307613373,0.34038281440734863,0.3906462490558624,0.18601834774017334,0.17890112102031708
responsible,0.2545164227485657,0.26215848326683044,0.3305104374885559,0.21028240025043488,0.09921577572822571,0.08430591225624084,0.3398503065109253,0.2582622170448303,0.25290122628211975,0.19470079243183136,0.12829047441482544,0.3305104374885559,0.14005011320114136,0.10888165235519409,0.37070101499557495,0.3305104374885559,0.20495976507663727,0.11367333680391312
for,0.37110671401023865,0.22817277908325195,0.4739971458911896,0.2469424158334732,0.2107892483472824,0.19152741134166718,0.4137635827064514,0.3863949179649353,0.4236139953136444,0.4451248347759247,0.19598932564258575,0.4739971458911896,0.20268000662326813,0.14891928434371948,0.4185989499092102,0.4739971458911896,0.2644540071487427,0.264628142118454
the,0.3733934462070465,0.2559613883495331,1.0,0.3227902352809906,0.27578672766685486,0.2443714737892151,0.5473989248275757,0.48711544275283813,0.3718377649784088,0.535392165184021,0.19737698137760162,1.0,0.3383176326751709,0.37146830558776855,0.733189046382904,1.0,0.3159640431404114,0.22068053483963013
decoration,0.18199381232261658,0.30924129486083984,0.3275705873966217,0.35629788041114807,0.20734316110610962,0.21983569860458374,0.1992316097021103,0.23056358098983765,0.247469961643219,0.20693810284137726,0.3866784870624542,0.3275705873966217,0.168476402759552,0.22626066207885742,0.3101682662963867,0.3275705873966217,0.3231984078884125,0.16409437358379364
",",0.3365725874900818,0.201692596077919,0.4933079481124878,0.2199701964855194,0.23416942358016968,0.2782841622829437,0.4137537479400635,0.45456063747406006,0.3120402991771698,0.44245919585227966,0.24713389575481415,0.4933079481124878,0.319791704416275,0.24522119760513306,0.4946078956127167,0.4933079481124878,0.2374238669872284,0.31091248989105225
the,0.3733934462070465,0.2559613883495331,1.0,0.3227902352809906,0.27578672766685486,0.2443714737892151,0.5473989248275757,0.48711544275283813,0.3718377649784088,0.535392165184021,0.19737698137760162,1.0,0.3383176326751709,0.37146830558776855,0.733189046382904,1.0,0.3159640431404114,0.22068053483963013
terracotta,0.20448918640613556,0.2692287266254425,0.2803131341934204,0.4528053402900696,0.31088125705718994,0.17932093143463135,0.25213539600372314,0.2653079330921173,0.3540372848510742,0.19796250760555267,0.375877320766449,0.2803131341934204,0.2172708809375763,0.19240696728229523,0.2926011085510254,0.2803131341934204,0.3010091483592987,0.11132478713989258
embellishments,0.1606254279613495,0.24630503356456757,0.26627209782600403,0.36179184913635254,0.22541917860507965,0.2335849106311798,0.2822479009628296,0.23127439618110657,0.3288784325122833,0.17195045948028564,0.5883538722991943,0.26627209782600403,0.17065975069999695,0.11580393463373184,0.24747715890407562,0.26627209782600403,0.2648935914039612,0.17831526696681976
were,0.3188014328479767,0.21924695372581482,0.3906462490558624,0.32702940702438354,0.18622921407222748,0.190333291888237,0.35517072677612305,0.590133786201477,0.27636459469795227,0.31913647055625916,0.23491019010543823,0.3906462490558624,0.22886523604393005,0.19292019307613373,0.34038281440734863,0.3906462490558624,0.18601834774017334,0.17890112102031708
again,0.29984283447265625,0.07743064314126968,0.4104243218898773,0.20191003382205963,0.15115489065647125,0.11915145814418793,0.3886644244194031,0.35373377799987793,0.18369121849536896,0.4861571192741394,0.08470509946346283,0.4104243218898773,0.23093564808368683,0.2141246646642685,0.24152639508247375,0.4104243218898773,0.2104690670967102,0.2679590880870819
the,0.3733934462070465,0.2559613883495331,1.0,0.3227902352809906,0.27578672766685486,0.2443714737892151,0.5473989248275757,0.48711544275283813,0.3718377649784088,0.535392165184021,0.19737698137760162,1.0,0.3383176326751709,0.37146830558776855,0.733189046382904,1.0,0.3159640431404114,0.22068053483963013
work,0.3146236836910248,0.22582440078258514,0.2704800069332123,0.2797945737838745,0.17797385156154633,0.14597083628177643,0.34257015585899353,0.24745555222034454,0.2676831781864166,0.3482864499092102,0.2006571888923645,0.2704800069332123,0.09814951568841934,0.08770918101072311,0.23473061621189117,0.2704800069332123,0.3346593379974365,0.2621155381202698
of,0.2827862501144409,0.2000347077846527,0.733189046382904,0.298917680978775,0.263920396566391,0.15723752975463867,0.41498205065727234,0.4069072902202606,0.3075267970561981,0.41548454761505127,0.20791323482990265,0.733189046382904,0.314786434173584,0.2452700436115265,1.0,0.733189046382904,0.26200541853904724,0.1826142966747284
godfrey,0.28607141971588135,0.14644604921340942,0.2300633192062378,0.15401522815227509,0.08448371291160583,0.212908074259758,0.10318563878536224,0.3088242709636688,0.11291489750146866,0.1972895860671997,0.20644129812717438,0.2300633192062378,0.22004230320453644,0.19092828035354614,0.23875589668750763,0.2300633192062378,0.10585308074951172,0.15937986969947815
sykes,0.32418784499168396,0.19409100711345673,0.22081643342971802,0.17444239556789398,0.07589822262525558,0.26296356320381165,0.1609227955341339,0.3036337196826935,0.1042640432715416,0.17576022446155548,0.20094271004199982,0.22081643342971802,0.23704099655151367,0.1944391429424286,0.18079234659671783,0.22081643342971802,0.1616569310426712,0.23471449315547943
",",0.3365725874900818,0.201692596077919,0.4933079481124878,0.2199701964855194,0.23416942358016968,0.2782841622829437,0.4137537479400635,0.45456063747406006,0.3120402991771698,0.44245919585227966,0.24713389575481415,0.4933079481124878,0.319791704416275,0.24522119760513306,0.4946078956127167,0.4933079481124878,0.2374238669872284,0.31091248989105225
although,0.3003382384777069,0.21459294855594635,0.3265823423862457,0.18354098498821259,0.1188381016254425,0.12914210557937622,0.4722958207130432,0.3711436688899994,0.33199048042297363,0.4176313281059265,0.24331754446029663,0.3265823423862457,0.1777118444442749,0.19755104184150696,0.3024747669696808,0.3265823423862457,0.1415463387966156,0.15541206300258636
sgraffito,0.293262243270874,0.23108837008476257,0.2829647660255432,0.25598517060279846,0.24009786546230316,0.23256683349609375,0.3400481939315796,0.3239496052265167,0.20856459438800812,0.31367751955986023,0.344685822725296,0.2829647660255432,0.14250563085079193,0.19075198471546173,0.25539645552635193,0.2829647660255432,0.19823072850704193,0.3170059025287628
was,0.3318818509578705,0.28384989500045776,0.48711544275283813,0.3491613268852234,0.21926720440387726,0.20647941529750824,0.33670201897621155,1.0000001192092896,0.23679393529891968,0.3636345863342285,0.18664832413196564,0.48711544275283813,0.2747166156768799,0.16857531666755676,0.4069072902202606,0.48711544275283813,0.237406387925148,0.18412111699581146
