,where,did,temüjin,hide,during,his,escape,from,the,tayichi'ud,?
the,0.5003893971443176,0.34736719727516174,0.43713900446891785,0.185123011469841,0.4838213622570038,0.4394008219242096,0.23189567029476166,0.40150508284568787,1.0,0.26578134298324585,0.22068053483963013
tayichi'ud,0.19653184711933136,0.170564204454422,0.49675238132476807,0.218220055103302,0.25163549184799194,0.30533504486083984,0.1423177421092987,0.22167056798934937,0.26578134298324585,1.0,0.2877330482006073
enslaved,0.21608419716358185,0.31869688630104065,0.41994357109069824,0.20294234156608582,0.259756475687027,0.2752454876899719,0.3198606073856354,0.23043960332870483,0.26615700125694275,0.20192256569862366,0.20439322292804718
temüjin,0.31830909848213196,0.3476600646972656,1.0,0.3288748264312744,0.34768882393836975,0.4682264029979706,0.24744707345962524,0.29172295331954956,0.43713900446891785,0.49675238132476807,0.21090233325958252
(,0.1970011591911316,0.18979617953300476,0.2132648229598999,0.20175835490226746,0.2139192670583725,0.16098198294639587,0.14368966221809387,0.25806233286857605,0.33289089798927307,0.3280112147331238,0.40561532974243164
reportedly,0.2167539894580841,0.3039431571960449,0.3825224041938782,0.21437811851501465,0.26012104749679565,0.3467721939086914,0.2303042709827423,0.22438335418701172,0.23811356723308563,0.34047195315361023,0.14895299077033997
with,0.4142743945121765,0.25472134351730347,0.26846927404403687,0.16185975074768066,0.28545209765434265,0.33836179971694946,0.17095310986042023,0.26272761821746826,0.4223487675189972,0.23875334858894348,0.2433311939239502
a,0.40997210144996643,0.2552328109741211,0.36845725774765015,0.15669246017932892,0.30341604351997375,0.3497250974178314,0.18111899495124817,0.322764128446579,0.5829201340675354,0.28421542048454285,0.23916715383529663
cangue,0.20947039127349854,0.08754211664199829,0.27063578367233276,0.07922196388244629,0.12943623960018158,0.16954748332500458,0.17468075454235077,0.23261839151382446,0.23935668170452118,0.3132210969924927,0.2217435985803604
",",0.3149496018886566,0.3015086054801941,0.3484273850917816,0.19595476984977722,0.3225448727607727,0.3378419280052185,0.2325686812400818,0.39760664105415344,0.4933079481124878,0.337033748626709,0.31091248989105225
a,0.40997210144996643,0.2552328109741211,0.36845725774765015,0.15669246017932892,0.30341604351997375,0.3497250974178314,0.18111899495124817,0.322764128446579,0.5829201340675354,0.28421542048454285,0.23916715383529663
sort,0.30809175968170166,0.2635560631752014,0.21851184964179993,0.2396976351737976,0.12840665876865387,0.11967658996582031,0.12958548963069916,0.21590380370616913,0.31158876419067383,0.12282243371009827,0.33130937814712524
of,0.38066378235816956,0.2513895630836487,0.378805011510849,0.14901378750801086,0.3869180977344513,0.38364991545677185,0.17960478365421295,0.4249346852302551,0.733189046382904,0.28461363911628723,0.1826142966747284
portable,0.1703341007232666,0.21224406361579895,0.2210516333580017,0.19195403158664703,0.1457040160894394,0.0869908481836319,0.18645654618740082,0.11475064605474472,0.16627740859985352,0.26655009388923645,0.17990094423294067
stocks,0.18348106741905212,0.1678454428911209,0.18556740880012512,0.21237795054912567,0.1288614273071289,0.17396560311317444,0.1926504522562027,0.14012059569358826,0.19247931241989136,0.1803809553384781,0.17080073058605194
),0.20711064338684082,0.18584993481636047,0.23526804149150848,0.2214498668909073,0.23182427883148193,0.18606403470039368,0.15289022028446198,0.2672361731529236,0.3456730246543884,0.3201071321964264,0.42300865054130554
",",0.3149496018886566,0.3015086054801941,0.3484273850917816,0.19595476984977722,0.3225448727607727,0.3378419280052185,0.2325686812400818,0.39760664105415344,0.4933079481124878,0.337033748626709,0.31091248989105225
but,0.49101024866104126,0.49033689498901367,0.4305238425731659,0.30610811710357666,0.3328759968280792,0.38552024960517883,0.28644388914108276,0.3133932948112488,0.4859698414802551,0.21843194961547852,0.27921953797340393
with,0.4142743945121765,0.25472134351730347,0.26846927404403687,0.16185975074768066,0.28545209765434265,0.33836179971694946,0.17095310986042023,0.26272761821746826,0.4223487675189972,0.23875334858894348,0.2433311939239502
the,0.5003893971443176,0.34736719727516174,0.43713900446891785,0.185123011469841,0.4838213622570038,0.4394008219242096,0.23189567029476166,0.40150508284568787,1.0,0.26578134298324585,0.22068053483963013
help,0.28302276134490967,0.35430794954299927,0.28650879859924316,0.314832866191864,0.2078983634710312,0.22868521511554718,0.2771262526512146,0.22515058517456055,0.30064165592193604,0.22852236032485962,0.28403452038764954
of,0.38066378235816956,0.2513895630836487,0.378805011510849,0.14901378750801086,0.3869180977344513,0.38364991545677185,0.17960478365421295,0.4249346852302551,0.733189046382904,0.28461363911628723,0.1826142966747284
a,0.40997210144996643,0.2552328109741211,0.36845725774765015,0.15669246017932892,0.30341604351997375,0.3497250974178314,0.18111899495124817,0.322764128446579,0.5829201340675354,0.28421542048454285,0.23916715383529663
sympathetic,0.24070052802562714,0.3204728066921234,0.3205413818359375,0.27463191747665405,0.19077928364276886,0.290493369102478,0.269158273935318,0.21138712763786316,0.2595970630645752,0.17837390303611755,0.18738842010498047
guard,0.21044152975082397,0.16974282264709473,0.24729909002780914,0.20155847072601318,0.21530170738697052,0.22822071611881256,0.27659496665000916,0.2037385255098343,0.30210334062576294,0.24356336891651154,0.11036597937345505
",",0.3149496018886566,0.3015086054801941,0.3484273850917816,0.19595476984977722,0.3225448727607727,0.3378419280052185,0.2325686812400818,0.39760664105415344,0.4933079481124878,0.337033748626709,0.31091248989105225
the,0.5003893971443176,0.34736719727516174,0.43713900446891785,0.185123011469841,0.4838213622570038,0.4394008219242096,0.23189567029476166,0.40150508284568787,1.0,0.26578134298324585,0.22068053483963013
father,0.26822009682655334,0.3227277100086212,0.40216585993766785,0.13394401967525482,0.2575233280658722,0.5241755247116089,0.16261744499206543,0.19987469911575317,0.24010279774665833,0.2945325970649719,0.14826634526252747
of,0.38066378235816956,0.2513895630836487,0.378805011510849,0.14901378750801086,0.3869180977344513,0.38364991545677185,0.17960478365421295,0.4249346852302551,0.733189046382904,0.28461363911628723,0.1826142966747284
chilaun,0.2718012034893036,0.20230406522750854,0.44698870182037354,0.185461163520813,0.23531341552734375,0.2612154483795166,0.23070207238197327,0.24384093284606934,0.32206329703330994,0.480694055557251,0.2571731507778168
(,0.1970011591911316,0.18979617953300476,0.2132648229598999,0.20175835490226746,0.2139192670583725,0.16098198294639587,0.14368966221809387,0.25806233286857605,0.33289089798927307,0.3280112147331238,0.40561532974243164
who,0.41804537177085876,0.34038686752319336,0.416724294424057,0.2462766319513321,0.30551859736442566,0.44966956973075867,0.23021169006824493,0.27839982509613037,0.3733934462070465,0.27559512853622437,0.26220351457595825
later,0.2942849397659302,0.38386887311935425,0.4264255166053772,0.15143583714962006,0.4405536353588104,0.4538118839263916,0.1960497498512268,0.34398579597473145,0.4060266613960266,0.3079773783683777,0.1417175978422165
became,0.1668500453233719,0.3632316589355469,0.3326198160648346,0.06817331165075302,0.37706515192985535,0.3503277599811554,0.13642148673534393,0.22486808896064758,0.36325156688690186,0.29967260360717773,0.11374033987522125
a,0.40997210144996643,0.2552328109741211,0.36845725774765015,0.15669246017932892,0.30341604351997375,0.3497250974178314,0.18111899495124817,0.322764128446579,0.5829201340675354,0.28421542048454285,0.23916715383529663
