,with,whom,was,temüjin,'s,first,important,alliance,?
temüjin,0.26846927404403687,0.34102556109428406,0.38774195313453674,1.0,-0.010023289360105991,0.30531466007232666,0.30568310618400574,0.3031005859375,0.21090233325958252
began,0.23196780681610107,0.1172257512807846,0.4683617055416107,0.27843162417411804,-0.026281554251909256,0.3549816310405731,0.198571115732193,0.2098759114742279,0.1370266228914261
his,0.33836179971694946,0.38462314009666443,0.4405253231525421,0.4682264029979706,0.047556519508361816,0.3241460621356964,0.198139950633049,0.16836421191692352,0.18075084686279297
ascent,0.1514841467142105,0.1804298311471939,0.17331694066524506,0.22992874681949615,0.047674160450696945,0.25141164660453796,0.12192352861166,0.13682815432548523,0.10920551419258118
to,0.4239959120750427,0.3108522593975067,0.3636345863342285,0.36858871579170227,0.03782717138528824,0.3792489171028137,0.30913278460502625,0.1834360659122467,0.29463258385658264
power,0.20798128843307495,0.17804844677448273,0.1794997751712799,0.2841247022151947,0.05344679579138756,0.18843717873096466,0.17856022715568542,0.21436557173728943,0.15304024517536163
by,0.39731505513191223,0.28481900691986084,0.4752357602119446,0.2763390839099884,-0.010884488001465797,0.3877052962779999,0.1897295117378235,0.1681973785161972,0.17966607213020325
offering,0.27169135212898254,0.20796626806259155,0.19612376391887665,0.2154555469751358,0.09981496632099152,0.16809701919555664,0.18771801888942719,0.18551020324230194,0.15441901981830597
himself,0.1506686955690384,0.295974999666214,0.34733298420906067,0.34724941849708557,-0.025549961254000664,0.2006741464138031,0.13905686140060425,0.20683617889881134,0.10407622903585434
as,0.40387406945228577,0.31695985794067383,0.3677520453929901,0.32332390546798706,-0.05775856226682663,0.33842000365257263,0.2693694233894348,0.21339169144630432,0.27043893933296204
an,0.2730048894882202,0.12124081701040268,0.3694365322589874,0.23323971033096313,0.025255560874938965,0.29757723212242126,0.2662794589996338,0.1542346477508545,0.19793890416622162
ally,0.24865752458572388,0.368544340133667,0.3238118886947632,0.3219134211540222,0.0734705775976181,0.2938486933708191,0.15714159607887268,0.4441131055355072,0.10381226241588593
(,0.29503780603408813,0.1562120020389557,0.2980341613292694,0.2132648229598999,0.0012731997994706035,0.2450505793094635,0.21277278661727905,0.20454484224319458,0.40561532974243164
