,why,did,temüjin,kill,those,of,jamukha,'s,followers,that,had,betrayed,their,leader,?
temüjin,0.307458758354187,0.3476600646972656,1.0,0.2851969301700592,0.28487300872802734,0.378805011510849,0.48555630445480347,-0.010023289360105991,0.38511744141578674,0.4035418629646301,0.4177429676055908,0.45260438323020935,0.34026217460632324,0.3823694586753845,0.21090233325958252
had,0.24633871018886566,0.540525496006012,0.4177429676055908,0.18736809492111206,0.3564930558204651,0.37755560874938965,0.1789029985666275,-0.004401352722197771,0.26537278294563293,0.4407361149787903,0.9999999403953552,0.3520142138004303,0.4145275354385376,0.24065792560577393,0.20728366076946259
killed,0.17579343914985657,0.24296797811985016,0.32560741901397705,0.6108298897743225,0.17351102828979492,0.2589981257915497,0.20328670740127563,-0.004342961125075817,0.3011174201965332,0.24908366799354553,0.3317640721797943,0.46539783477783203,0.20294970273971558,0.2789110541343689,0.17928971350193024
the,0.30742117762565613,0.34736719727516174,0.43713900446891785,0.1907513439655304,0.42861196398735046,0.733189046382904,0.26145488023757935,-0.01540423184633255,0.26839348673820496,0.5473989248275757,0.3875846862792969,0.2555851638317108,0.516537070274353,0.27799519896507263,0.22068053483963013
men,0.17228899896144867,0.284831702709198,0.25510546565055847,0.16761945188045502,0.25853994488716125,0.2133621722459793,0.18222425878047943,0.01802987791597843,0.258709192276001,0.2212943136692047,0.328361451625824,0.2215743511915207,0.229721799492836,0.20197618007659912,0.1408759206533432
who,0.36697277426719666,0.34038686752319336,0.416724294424057,0.28941184282302856,0.44778117537498474,0.2827862501144409,0.26036083698272705,0.05599616840481758,0.35074537992477417,0.45444270968437195,0.36173108220100403,0.39655208587646484,0.3767721951007843,0.31168457865715027,0.26220351457595825
betrayed,0.22962693870067596,0.29132699966430664,0.45260438323020935,0.364702045917511,0.16427692770957947,0.20830339193344116,0.25751009583473206,-0.016493825241923332,0.4483684003353119,0.2838336229324341,0.3520142138004303,0.9999998807907104,0.23533275723457336,0.41624829173088074,0.15107960999011993
jamukha,0.17155244946479797,0.15834690630435944,0.48555630445480347,0.1630931943655014,0.25024330615997314,0.2439788281917572,0.9999999403953552,0.04738704860210419,0.399843692779541,0.22430790960788727,0.1789029985666275,0.25751009583473206,0.1881500780582428,0.31650662422180176,0.20055611431598663
",",0.2827242314815521,0.3015086054801941,0.3484273850917816,0.30406463146209717,0.39574649930000305,0.4946078956127167,0.30996835231781006,-0.0016132977325469255,0.28467807173728943,0.4137537479400635,0.35487717390060425,0.23919084668159485,0.3045167922973633,0.23893310129642487,0.31091248989105225
stating,0.39093562960624695,0.3425213694572449,0.30816200375556946,0.1695472151041031,0.2775466740131378,0.26161399483680725,0.1483931690454483,-0.03526957333087921,0.2527642250061035,0.5016685724258423,0.28130024671554565,0.2884015738964081,0.32482078671455383,0.1489117294549942,0.2760101556777954
that,0.5601457357406616,0.47518548369407654,0.4035418629646301,0.28167223930358887,0.5085503458976746,0.41498205065727234,0.22430790960788727,0.04397977516055107,0.32123544812202454,1.0,0.4407361149787903,0.2838336229324341,0.4266771972179413,0.15228979289531708,0.32716336846351624
he,0.26086166501045227,0.3292143940925598,0.44463157653808594,0.22699901461601257,0.2779632806777954,0.38706058263778687,0.25441938638687134,0.024063590914011,0.27041956782341003,0.36068853735923767,0.43657350540161133,0.38424211740493774,0.3267501890659332,0.34976616501808167,0.2089974731206894
did,0.3820922374725342,1.0,0.3476600646972656,0.24896177649497986,0.38519078493118286,0.2513895630836487,0.15834690630435944,0.05069678649306297,0.2305241972208023,0.47518548369407654,0.540525496006012,0.29132699966430664,0.38078752160072327,0.16038542985916138,0.3023456633090973
not,0.5504072904586792,0.6481515765190125,0.3234820067882538,0.27752789855003357,0.49181070923805237,0.3307090103626251,0.19631415605545044,0.002583299996331334,0.2654111683368683,0.6600887179374695,0.3714721202850342,0.24769030511379242,0.4368778169155121,0.13613533973693848,0.41942933201789856
want,0.5613181591033936,0.5741199851036072,0.31407642364501953,0.30570000410079956,0.3984028100967407,0.2645295262336731,0.17144735157489777,0.009669095277786255,0.1982293426990509,0.4709601402282715,0.3413672149181366,0.2733248472213745,0.3807017207145691,0.1229046881198883,0.44783785939216614
disloyal,0.23264795541763306,0.3139123022556305,0.4400426745414734,0.34473010897636414,0.32904574275016785,0.2942483127117157,0.22334544360637665,0.008215806446969509,0.33238986134529114,0.3193621039390564,0.32414761185646057,0.5394908785820007,0.3955148160457611,0.350107878446579,0.11531289666891098
men,0.17228899896144867,0.284831702709198,0.25510546565055847,0.16761945188045502,0.25853994488716125,0.2133621722459793,0.18222425878047943,0.01802987791597843,0.258709192276001,0.2212943136692047,0.328361451625824,0.2215743511915207,0.229721799492836,0.20197618007659912,0.1408759206533432
