,what,collection,was,transferred,to,the,museum,when,the,new,architectural,history,gallery,opened,?
with,0.2464839518070221,0.16466663777828217,0.27411898970603943,0.19742423295974731,0.4239959120750427,0.4223487675189972,0.08185859024524689,0.5075214505195618,0.4223487675189972,0.24325589835643768,0.15642374753952026,0.1947222352027893,0.172745481133461,0.16281741857528687,0.2433311939239502
the,0.42745697498321533,0.25281965732574463,0.48711544275283813,0.34201255440711975,0.535392165184021,1.0,0.24861779808998108,0.5091903209686279,1.0,0.3845241069793701,0.22612835466861725,0.33215048909187317,0.19251246750354767,0.28544309735298157,0.22068053483963013
opening,0.18146683275699615,0.17865733802318573,0.20817555487155914,0.16257789731025696,0.2393702119588852,0.37298497557640076,0.17269611358642578,0.2410094141960144,0.37298497557640076,0.1801254153251648,0.17230640351772308,0.24727138876914978,0.18310916423797607,0.5178986191749573,0.16502447426319122
of,0.33290785551071167,0.2915455996990204,0.4069072902202606,0.33309000730514526,0.41548454761505127,0.733189046382904,0.23314370214939117,0.3757161796092987,0.733189046382904,0.343457967042923,0.2795933783054352,0.31014925241470337,0.1971534639596939,0.16720551252365112,0.1826142966747284
the,0.42745697498321533,0.25281965732574463,0.48711544275283813,0.34201255440711975,0.535392165184021,1.0,0.24861779808998108,0.5091903209686279,1.0,0.3845241069793701,0.22612835466861725,0.33215048909187317,0.19251246750354767,0.28544309735298157,0.22068053483963013
new,0.2130378633737564,0.18632188439369202,0.2748313844203949,0.2137206792831421,0.33159172534942627,0.3845241069793701,0.14840424060821533,0.257220059633255,0.3845241069793701,0.9999999403953552,0.2099713236093521,0.19399358332157135,0.1649806797504425,0.24727210402488708,0.14782847464084625
gallery,0.1566055566072464,0.42902910709381104,0.1648058146238327,0.1717548370361328,0.19736915826797485,0.19251246750354767,0.5823723077774048,0.13951179385185242,0.19251246750354767,0.1649806797504425,0.31863221526145935,0.26364588737487793,1.0,0.249263733625412,0.18202216923236847
",",0.3087472915649414,0.2277175933122635,0.45456063747406006,0.27208399772644043,0.44245919585227966,0.4933079481124878,0.20741747319698334,0.36674630641937256,0.4933079481124878,0.36073189973831177,0.21142789721488953,0.2728564441204071,0.21593497693538666,0.24598844349384308,0.31091248989105225
the,0.42745697498321533,0.25281965732574463,0.48711544275283813,0.34201255440711975,0.535392165184021,1.0,0.24861779808998108,0.5091903209686279,1.0,0.3845241069793701,0.22612835466861725,0.33215048909187317,0.19251246750354767,0.28544309735298157,0.22068053483963013
riba,0.12240250408649445,0.2179511934518814,0.1753787100315094,0.13478510081768036,0.1626996248960495,0.24598738551139832,0.18339309096336365,0.08686333149671555,0.24598738551139832,0.15345752239227295,0.32374775409698486,0.12448377162218094,0.22233757376670837,0.20440582931041718,0.1393887996673584
