,approximately,how,many,architectural,drawings,does,the,v,&,a,hold,in,its,collection,?
with,0.2440137416124344,0.3525622487068176,0.35744401812553406,0.15642374753952026,0.23277877271175385,0.26186925172805786,0.4223487675189972,0.14314915239810944,0.20013411343097687,0.3783375024795532,0.22930166125297546,0.4080928862094879,0.3087116777896881,0.16466663777828217,0.2433311939239502
over,0.41201671957969666,0.31446483731269836,0.47131630778312683,0.15226323902606964,0.20427492260932922,0.24276040494441986,0.39856547117233276,0.10378551483154297,0.191574826836586,0.32199642062187195,0.3999745547771454,0.3605569899082184,0.36371928453445435,0.21212655305862427,0.25742942094802856
"600,000",-0.10219141095876694,0.13321542739868164,0.034243207424879074,0.10736804455518723,0.14145715534687042,0.16081126034259796,0.07101691514253616,0.061444930732250214,0.057055529206991196,0.10499700158834457,-0.036248255521059036,0.007453162223100662,-0.04053914546966553,0.10317423194646835,0.11965212970972061
drawings,0.09114956110715866,0.26425811648368835,0.30470409989356995,0.38340455293655396,1.0000001192092896,0.133980855345726,0.19117170572280884,0.08071447908878326,0.14873763918876648,0.15433108806610107,0.19505177438259125,0.18445944786071777,0.16289544105529785,0.3887491524219513,0.15541397035121918
",",0.3057648837566376,0.22659391164779663,0.40610817074775696,0.21142789721488953,0.2235531359910965,0.28617382049560547,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.2803111970424652,0.5201468467712402,0.33157986402511597,0.2277175933122635,0.31091248989105225
over,0.41201671957969666,0.31446483731269836,0.47131630778312683,0.15226323902606964,0.20427492260932922,0.24276040494441986,0.39856547117233276,0.10378551483154297,0.191574826836586,0.32199642062187195,0.3999745547771454,0.3605569899082184,0.36371928453445435,0.21212655305862427,0.25742942094802856
"750,000",0.037601619958877563,0.10928507149219513,0.08711736649274826,0.08753609657287598,0.06463340669870377,0.13344402611255646,0.10783229023218155,-0.05402213707566261,-0.03945412486791611,-0.01234637200832367,-0.009645023383200169,0.04094580188393593,0.11699357628822327,0.035168979316949844,0.07190127670764923
papers,0.06869035959243774,0.17319312691688538,0.2722649872303009,0.2090616673231125,0.3643057644367218,0.11294618248939514,0.15848612785339355,0.15358802676200867,0.1227995753288269,0.1634085327386856,0.21064050495624542,0.21986161172389984,0.11003323644399643,0.40899354219436646,0.12157123535871506
and,0.3228789269924164,0.33647966384887695,0.5296266674995422,0.2561565637588501,0.26347166299819946,0.3461615741252899,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.30117684602737427,0.4954058527946472,0.3841775357723236,0.2379438579082489,0.20544172823429108
paraphernalia,0.18489481508731842,0.16653981804847717,0.22864145040512085,0.1843428909778595,0.24081465601921082,0.16243523359298706,0.200684055685997,0.10050191730260849,0.17983900010585785,0.25713425874710083,0.1008370965719223,0.17168885469436646,0.1263289898633957,0.18001288175582886,0.14850515127182007
