,which,architect,",",famous,for,designing,london,'s,st.,paul,cathedral,",",is,represented,in,the,riba,collection,?
british,0.2002234309911728,0.1519789844751358,0.25734075903892517,0.23513521254062653,0.1970057189464569,0.18420188128948212,0.3800630271434784,0.06352180242538452,0.10041285306215286,0.16177184879779816,0.09226640313863754,0.25734075903892517,0.19484983384609222,0.15302805602550507,0.23084034025669098,0.28973397612571716,0.1594429612159729,0.15021207928657532,0.09711728990077972
architects,0.16262474656105042,0.8990611433982849,0.19375400245189667,0.24996306002140045,0.18876208364963531,0.518464982509613,0.22519220411777496,0.0033381637185811996,0.16295836865901947,0.14613699913024902,0.3262348175048828,0.19375400245189667,0.14402367174625397,0.15856540203094482,0.193654865026474,0.20176702737808228,0.2567383348941803,0.2374972403049469,0.1260584592819214
whose,0.37205496430397034,0.18636545538902283,0.25601375102996826,0.25410765409469604,0.22978365421295166,0.19887082278728485,0.10032919049263,-0.019954677671194077,0.13980112969875336,0.16511890292167664,0.16048948466777802,0.25601375102996826,0.26491984724998474,0.22921188175678253,0.23496666550636292,0.38253846764564514,0.1209229975938797,0.14954999089241028,0.16990536451339722
drawings,0.23354779183864594,0.31317010521888733,0.2235531359910965,0.3058651387691498,0.23331785202026367,0.40977293252944946,0.1723441481590271,0.048699647188186646,0.1525232493877411,0.17512787878513336,0.24596674740314484,0.2235531359910965,0.14478443562984467,0.20017090439796448,0.18445944786071777,0.19117170572280884,0.26689857244491577,0.3887491524219513,0.15541397035121918
",",0.3658004403114319,0.21737651526927948,1.0000001192092896,0.2816491723060608,0.4464869201183319,0.2055690586566925,0.2571207880973816,-0.0016132977325469255,0.26603782176971436,0.3070785701274872,0.21877600252628326,1.0000001192092896,0.4691906273365021,0.3088570833206177,0.5201468467712402,0.4933079481124878,0.2015438824892044,0.2277175933122635,0.31091248989105225
and,0.506277859210968,0.20191539824008942,0.6633074283599854,0.2970265746116638,0.5064792633056641,0.26215454936027527,0.2868692874908447,0.06895173341035843,0.22686052322387695,0.2447807937860489,0.18803109228610992,0.6633074283599854,0.3859752118587494,0.2506123185157776,0.4954058527946472,0.5171257257461548,0.19053874909877777,0.2379438579082489,0.20544172823429108
in,0.4840516746044159,0.18696801364421844,0.5201468467712402,0.34673580527305603,0.4322226941585541,0.2894420027732849,0.2785358726978302,-0.037580832839012146,0.15931649506092072,0.21331322193145752,0.23225148022174835,0.5201468467712402,0.5394441485404968,0.33309870958328247,1.0,0.6662389636039734,0.16220375895500183,0.23004686832427979,0.20430970191955566
some,0.5407140851020813,0.0994182899594307,0.42400437593460083,0.32524365186691284,0.4257155656814575,0.3017445206642151,0.21964198350906372,0.056411296129226685,0.1554381549358368,0.12765613198280334,0.21226496994495392,0.42400437593460083,0.3038453459739685,0.1943650096654892,0.4010399878025055,0.4566698372364044,0.20778898894786835,0.2892989218235016,0.2562315762042999
cases,0.3922598958015442,0.00042226005461998284,0.25102201104164124,0.14547352492809296,0.3302192687988281,0.14703655242919922,0.19124343991279602,-0.029139293357729912,-0.02240830659866333,0.06202312558889389,0.1390462964773178,0.25102201104164124,0.2989884912967682,0.21135559678077698,0.24487079679965973,0.33415094017982483,0.07839507609605789,0.14226001501083374,0.25599566102027893
models,0.23248709738254547,0.20244041085243225,0.2193855494260788,0.209816113114357,0.20390960574150085,0.42030200362205505,0.15633021295070648,0.037361569702625275,0.0727478638291359,0.09920185059309006,0.12747745215892792,0.2193855494260788,0.17595206201076508,0.19452597200870514,0.2122073471546173,0.16804195940494537,0.11946623027324677,0.2148018777370453,0.16656708717346191
