,what,is,the,minimum,percent,of,alcohol,content,a,german,law,requires,all,spirits,and,liqueurs,to,have,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.16051530838012695,0.24886950850486755,0.5696388483047485,0.22706511616706848,0.1518891453742981,0.539380669593811,0.21098364889621735,0.24850773811340332,0.16126661002635956,0.3335905969142914,0.1422407627105713,0.4954058527946472,0.2600409686565399,0.45010748505592346,0.36843645572662354,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.21698720753192902,0.277066707611084,0.733189046382904,0.22147142887115479,0.21174471080303192,0.5829201340675354,0.256483793258667,0.24548950791358948,0.2693159878253937,0.4860881567001343,0.2580869793891907,0.5171257257461548,0.2718512713909149,0.535392165184021,0.40389683842658997,0.22068053483963013
most,0.3219912350177765,0.41165053844451904,0.47635307908058167,0.18058635294437408,0.29010701179504395,0.4178851246833801,0.1749231219291687,0.2162793129682541,0.3508910834789276,0.20125962793827057,0.10736433416604996,0.23915386199951172,0.5116150975227356,0.1857316792011261,0.4309377074241638,0.2996290624141693,0.321603000164032,0.44364631175994873,0.2107497900724411
famous,0.1616666167974472,0.26248517632484436,0.28616565465927124,0.06463221460580826,0.11973438411951065,0.3074295222759247,0.14391028881072998,0.07355031371116638,0.26728492975234985,0.1803157776594162,0.10920589417219162,0.055215124040842056,0.1716701090335846,0.19090129435062408,0.2970265746116638,0.3076675236225128,0.12665097415447235,0.1656617969274521,0.10379006713628769
case,0.30770957469940186,0.26648613810539246,0.31022098660469055,0.29259979724884033,0.1897028088569641,0.24743439257144928,0.2159210741519928,0.2892038822174072,0.3104211390018463,0.16237446665763855,0.3231390416622162,0.3162224292755127,0.3045598566532135,0.10177066922187805,0.2394348531961441,0.16879458725452423,0.3172709345817566,0.3773907721042633,0.33232852816581726
rewe-zentral,0.31222862005233765,0.31704413890838623,0.4535326063632965,0.29498231410980225,0.1481049805879593,0.4041237235069275,0.23700325191020966,0.2515622675418854,0.3592923581600189,0.19415409862995148,0.1998664289712906,0.30762648582458496,0.298162043094635,0.20203430950641632,0.31148776412010193,0.28766611218452454,0.32823607325553894,0.3173728287220001,0.2879931330680847
ag,0.1307249516248703,0.1927354633808136,0.1698494404554367,0.09793388098478317,0.26490873098373413,0.18739798665046692,0.12682300806045532,0.13944025337696075,0.20839540660381317,0.2760373055934906,0.06260699778795242,0.10533600300550461,0.14176177978515625,0.11130918562412262,0.1543574333190918,0.22597087919712067,0.1085122674703598,0.1364995241165161,0.16997161507606506
v,0.16628342866897583,0.16126930713653564,0.18580520153045654,0.17083217203617096,0.07894736528396606,0.1655031144618988,0.11791203916072845,0.10809940099716187,0.21861357986927032,0.14522486925125122,0.17908430099487305,0.17837446928024292,0.13731379806995392,0.07389243692159653,0.19040757417678833,0.14712640643119812,0.2109750658273697,0.08700474351644516,0.28677162528038025
bundesmonopol,0.25591841340065,0.18650300800800323,0.28239020705223083,0.31504109501838684,0.2297680377960205,0.25186997652053833,0.2263668179512024,0.22401970624923706,0.24065333604812622,0.45221757888793945,0.3850952386856079,0.2751607596874237,0.28297317028045654,0.2023768126964569,0.24181456863880157,0.2273142784833908,0.26120612025260925,0.2208642214536667,0.2284955084323883
für,0.1902361959218979,0.11678662896156311,0.19860781729221344,0.19166354835033417,0.05457547307014465,0.20662060379981995,0.10995246469974518,0.1342867910861969,0.1892307698726654,0.5203866362571716,0.21267664432525635,0.24209758639335632,0.15513817965984344,0.1127418652176857,0.1814432293176651,0.19140169024467468,0.11042536050081253,0.11145969480276108,0.15710289776325226
branntwein,0.22160780429840088,0.23115254938602448,0.26810985803604126,0.17601945996284485,0.19157475233078003,0.29306843876838684,0.2608964145183563,0.249222069978714,0.29726123809814453,0.3743855357170105,0.22709114849567413,0.13392049074172974,0.18067896366119385,0.1971280574798584,0.3472646176815033,0.2503384053707123,0.22345739603042603,0.24352341890335083,0.2320013791322708
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2227497547864914,0.19088563323020935,0.4946078956127167,0.1691807061433792,0.2644120454788208,0.427140474319458,0.2478695809841156,0.24953721463680267,0.199883371591568,0.425624817609787,0.21726574003696442,0.6633074283599854,0.2776920199394226,0.44245919585227966,0.3541618287563324,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.21698720753192902,0.277066707611084,0.733189046382904,0.22147142887115479,0.21174471080303192,0.5829201340675354,0.256483793258667,0.24548950791358948,0.2693159878253937,0.4860881567001343,0.2580869793891907,0.5171257257461548,0.2718512713909149,0.535392165184021,0.40389683842658997,0.22068053483963013
court,0.23440583050251007,0.20797641575336456,0.2812081575393677,0.1800748109817505,0.144774928689003,0.28835242986679077,0.2004426121711731,0.08175621181726456,0.23624834418296814,0.1502220779657364,0.413828045129776,0.15029707551002502,0.18986862897872925,0.10828783363103867,0.22896502912044525,0.12584663927555084,0.24824365973472595,0.1848815530538559,0.17100423574447632
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.23140138387680054,0.3004763424396515,1.0,0.22975631058216095,0.18281257152557373,0.5052502155303955,0.2122138887643814,0.2816956341266632,0.29617026448249817,0.42798417806625366,0.22770559787750244,0.5116966962814331,0.2683827579021454,0.41548454761505127,0.3802283704280853,0.1826142966747284
justice,0.21462921798229218,0.18458157777786255,0.23470892012119293,0.17512565851211548,0.15064410865306854,0.2658293545246124,0.12255173921585083,0.1500590443611145,0.20230674743652344,0.11338908225297928,0.357088178396225,0.15791447460651398,0.19227614998817444,0.22203148901462555,0.22812503576278687,0.11901893466711044,0.19197677075862885,0.11963403224945068,0.19269752502441406
found,0.1796332150697708,0.3526395261287689,0.3452354073524475,0.1225050538778305,0.16724035143852234,0.2982911467552185,0.17776666581630707,0.14037510752677917,0.2869448959827423,0.1290876269340515,0.10367042571306229,0.14765478670597076,0.24743787944316864,0.11456219851970673,0.27978911995887756,0.278835654258728,0.25225648283958435,0.32803434133529663,0.16790300607681274
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.3414308428764343,0.2902362644672394,0.41498205065727234,0.26409223675727844,0.3454494774341583,0.47537946701049805,0.18284347653388977,0.23277728259563446,0.33935680985450745,0.53305584192276,0.3177644610404968,0.4731321930885315,0.2743677496910095,0.5436353087425232,0.6182622313499451,0.32716336846351624
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2512331008911133,0.2187717854976654,0.5052502155303955,0.23320576548576355,0.20795699954032898,1.0,0.23789440095424652,0.2212858349084854,0.322436660528183,0.2696802616119385,0.17340274155139923,0.3739250600337982,0.2508445978164673,0.45503583550453186,0.338716596364975,0.23916715383529663
german,0.1960553526878357,0.19231973588466644,0.256483793258667,0.13253380358219147,0.05900390446186066,0.2122138887643814,0.07038383185863495,0.10514838993549347,0.23789440095424652,1.0000001192092896,0.16336967051029205,0.1353597342967987,0.17404916882514954,0.10677451640367508,0.25850871205329895,0.14157620072364807,0.15143753588199615,0.1590939462184906,0.13978645205497742
law,0.2145031988620758,0.18597714602947235,0.24548950791358948,0.20886598527431488,0.20028568804264069,0.2816956341266632,0.2366340458393097,0.10141638666391373,0.2212858349084854,0.16336967051029205,1.0000001192092896,0.2530675530433655,0.21162362396717072,0.13913004100322723,0.254730761051178,0.13708540797233582,0.259207159280777,0.18623127043247223,0.1528988480567932
requiring,0.23015210032463074,0.16455000638961792,0.23401294648647308,0.47357800602912903,0.2822788953781128,0.26946085691452026,0.20198634266853333,0.27821028232574463,0.2638072371482849,0.13573388755321503,0.2863738238811493,0.6976352334022522,0.3423722982406616,0.12667150795459747,0.2832215130329132,0.15376965701580048,0.3393286466598511,0.37311139702796936,0.19080378115177155
all,0.41981086134910583,0.2553904056549072,0.4860881567001343,0.29797905683517456,0.29436296224594116,0.42798417806625366,0.18882353603839874,0.3221548795700073,0.2696802616119385,0.17404916882514954,0.21162362396717072,0.3066425323486328,1.0000001192092896,0.2621803879737854,0.4542157053947449,0.25349926948547363,0.42520734667778015,0.5559456944465637,0.29575422406196594
spirits,0.2478453814983368,0.1804330050945282,0.2580869793891907,0.12371845543384552,0.18069015443325043,0.22770559787750244,0.4173285961151123,0.20221666991710663,0.17340274155139923,0.10677451640367508,0.13913004100322723,0.1381150186061859,0.2621803879737854,0.9999998807907104,0.24684414267539978,0.3513520061969757,0.2471274584531784,0.2500734031200409,0.21771028637886047
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2258012443780899,0.250046968460083,0.5116966962814331,0.22778749465942383,0.31410330533981323,0.3739250600337982,0.25850871205329895,0.254730761051178,0.2666866183280945,0.4542157053947449,0.24684414267539978,1.0,0.28873565793037415,0.48971283435821533,0.4711785912513733,0.20544172823429108
liqueurs,0.20275509357452393,0.2432509809732437,0.2718512713909149,0.18241818249225616,0.2406052201986313,0.2683827579021454,0.42555415630340576,0.27288690209388733,0.2508445978164673,0.14157620072364807,0.13708540797233582,0.2206840068101883,0.25349926948547363,0.3513520061969757,0.28873565793037415,0.9999998807907104,0.2304178923368454,0.28676754236221313,0.16426710784435272
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.23270738124847412,0.11258889734745026,0.35032153129577637,0.11036726087331772,0.2521955072879791,0.3206180930137634,0.21152326464653015,0.14312884211540222,0.1946798861026764,0.28167209029197693,0.13195976614952087,0.4862271547317505,0.14883045852184296,0.30882009863853455,0.23072676360607147,0.40561532974243164
