,in,which,year,did,the,jameel,gallery,of,islamic,art,opened,?
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.34736719727516174,1.0,0.3122138977050781,0.19251246750354767,0.733189046382904,0.27231070399284363,0.20297785103321075,0.28544309735298157,0.22068053483963013
jameel,0.23460082709789276,0.2780260145664215,0.13276590406894684,0.2047099769115448,0.3122138977050781,1.0,0.1521780788898468,0.2488299161195755,0.32698744535446167,0.15651540458202362,0.23954686522483826,0.184926837682724
gallery,0.21665531396865845,0.19994710385799408,0.11597850918769836,0.10746263712644577,0.19251246750354767,0.1521780788898468,1.0,0.1971534639596939,0.12468046694993973,0.5883238911628723,0.249263733625412,0.18202216923236847
of,0.5696388483047485,0.5011631846427917,0.2578314542770386,0.2513895630836487,0.733189046382904,0.2488299161195755,0.1971534639596939,1.0,0.25656506419181824,0.22648051381111145,0.16720551252365112,0.1826142966747284
islamic,0.19633598625659943,0.21128115057945251,0.1916927844285965,0.17371372878551483,0.27231070399284363,0.32698744535446167,0.12468046694993973,0.25656506419181824,0.9999999403953552,0.22750411927700043,0.10095607489347458,0.1692383587360382
art,0.2282189577817917,0.19862167537212372,0.15209953486919403,0.1711656004190445,0.20297785103321075,0.15651540458202362,0.5883238911628723,0.22648051381111145,0.22750411927700043,1.0,0.15857157111167908,0.138971745967865
",",0.5201468467712402,0.3658004403114319,0.28560417890548706,0.3015086054801941,0.4933079481124878,0.29433247447013855,0.21593497693538666,0.4946078956127167,0.20175659656524658,0.2700960636138916,0.24598844349384308,0.31091248989105225
opened,0.2972770035266876,0.24361629784107208,0.17148488759994507,0.2014526128768921,0.28544309735298157,0.23954686522483826,0.249263733625412,0.16720551252365112,0.10095607489347458,0.15857157111167908,1.0,0.1934700310230255
in,1.0,0.4840516746044159,0.3359307050704956,0.2593238651752472,0.6662389636039734,0.23460082709789276,0.21665531396865845,0.5696388483047485,0.19633598625659943,0.2282189577817917,0.2972770035266876,0.20430970191955566
2006,-0.04600946605205536,0.19065003097057343,0.007006329949945211,-0.07636451721191406,0.11294147372245789,-0.015331649221479893,-0.10951395332813263,0.10009169578552246,0.014976481907069683,-0.06393606960773468,-0.04420475289225578,-0.1194092258810997
",",0.5201468467712402,0.3658004403114319,0.28560417890548706,0.3015086054801941,0.4933079481124878,0.29433247447013855,0.21593497693538666,0.4946078956127167,0.20175659656524658,0.2700960636138916,0.24598844349384308,0.31091248989105225
houses,0.2622964382171631,0.252919465303421,0.20287446677684784,0.2445467859506607,0.2692612111568451,0.16075652837753296,0.2945515215396881,0.2718559205532074,0.1385767161846161,0.21813693642616272,0.30685532093048096,0.10120081901550293
a,0.539380669593811,0.56894451379776,0.29350247979164124,0.2552328109741211,0.5829201340675354,0.2621832489967346,0.13071094453334808,0.5052502155303955,0.20177602767944336,0.1329297125339508,0.20146222412586212,0.23916715383529663
representative,0.23496659100055695,0.12650281190872192,0.14491680264472961,0.16563697159290314,0.23411999642848969,0.2010764330625534,0.21660825610160828,0.31028270721435547,0.16501115262508392,0.19832924008369446,0.13233767449855804,0.13044437766075134
display,0.2005489468574524,0.28086164593696594,0.25464093685150146,0.10233704000711441,0.2758708596229553,0.16676127910614014,0.3224703371524811,0.23211264610290527,0.12400250136852264,0.22718213498592377,0.16108934581279755,0.17059175670146942
of,0.5696388483047485,0.5011631846427917,0.2578314542770386,0.2513895630836487,0.733189046382904,0.2488299161195755,0.1971534639596939,1.0,0.25656506419181824,0.22648051381111145,0.16720551252365112,0.1826142966747284
