,which,of,genghis,khan,'s,ambassadors,did,the,shah,have,beheaded,?
the,0.6521818041801453,0.733189046382904,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.23352757096290588,0.34736719727516174,1.0,0.19914765655994415,0.40389683842658997,0.2324211299419403,0.22068053483963013
shah,0.1793200522661209,0.21966372430324554,0.547207772731781,0.6120432019233704,0.025959691032767296,0.13544273376464844,0.12947657704353333,0.19914765655994415,1.0,0.18077486753463745,0.29067564010620117,0.10370904207229614
had,0.3188965916633606,0.37755560874938965,0.2616504430770874,0.1740240752696991,-0.004401352722197771,0.22826163470745087,0.540525496006012,0.3875846862792969,0.1801155060529709,0.6263401508331299,0.3181854486465454,0.20728366076946259
all,0.50777268409729,0.42798417806625366,0.198136106133461,0.17470678687095642,0.03181743621826172,0.22521059215068817,0.33943864703178406,0.4860881567001343,0.16069933772087097,0.5559456944465637,0.16696259379386902,0.29575422406196594
the,0.6521818041801453,0.733189046382904,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.23352757096290588,0.34736719727516174,1.0,0.19914765655994415,0.40389683842658997,0.2324211299419403,0.22068053483963013
men,0.19994418323040009,0.2133621722459793,0.2678695619106293,0.18241509795188904,0.01802987791597843,0.2386491745710373,0.284831702709198,0.26001617312431335,0.17191243171691895,0.2669373154640198,0.21646767854690552,0.1408759206533432
shaved,0.21221844851970673,0.20535477995872498,0.3931487798690796,0.25182634592056274,0.00034269815660081804,0.18016256392002106,0.32436403632164,0.22918713092803955,0.3902358412742615,0.30886271595954895,0.4029715061187744,0.17751045525074005
and,0.506277859210968,0.5116966962814331,0.26551535725593567,0.22885166108608246,0.06895173341035843,0.19877469539642334,0.34479495882987976,0.5171257257461548,0.2144315540790558,0.4711785912513733,0.22953680157661438,0.20544172823429108
the,0.6521818041801453,0.733189046382904,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.23352757096290588,0.34736719727516174,1.0,0.19914765655994415,0.40389683842658997,0.2324211299419403,0.22068053483963013
muslim,0.20675697922706604,0.267849862575531,0.4327831268310547,0.4263378083705902,0.06176655367016792,0.24710126221179962,0.2098924219608307,0.28099653124809265,0.5199922323226929,0.21171724796295166,0.27674400806427,0.17456822097301483
beheaded,0.11702300608158112,0.2581937313079834,0.39525046944618225,0.15902242064476013,-0.01637900061905384,0.21456381678581238,0.17930543422698975,0.2324211299419403,0.29067564010620117,0.14050982892513275,1.0000001192092896,0.15650920569896698
and,0.506277859210968,0.5116966962814331,0.26551535725593567,0.22885166108608246,0.06895173341035843,0.19877469539642334,0.34479495882987976,0.5171257257461548,0.2144315540790558,0.4711785912513733,0.22953680157661438,0.20544172823429108
sent,0.21585705876350403,0.28923630714416504,0.23061181604862213,0.20124854147434235,0.06689035892486572,0.3633570969104767,0.3411059081554413,0.3010627329349518,0.1288515031337738,0.20981134474277496,0.36766910552978516,0.10903520882129669
his,0.32283493876457214,0.38364991545677185,0.3744826912879944,0.26570460200309753,0.047556519508361816,0.1607200652360916,0.3546801507472992,0.4394008219242096,0.2562401294708252,0.25689181685447693,0.30095866322517395,0.18075084686279297
head,0.21546128392219543,0.2945564389228821,0.20784607529640198,0.09714211523532867,-0.041913021355867386,0.22373691201210022,0.1776210218667984,0.3079071640968323,0.1656828373670578,0.18845432996749878,0.3724750578403473,0.10879309475421906
back,0.3174980580806732,0.23051875829696655,0.25607237219810486,0.17402124404907227,-0.032200850546360016,0.2081042379140854,0.2601068317890167,0.3612101674079895,0.15902310609817505,0.33593064546585083,0.18844859302043915,0.2397768795490265
with,0.46403205394744873,0.41827285289764404,0.18149495124816895,0.12498863786458969,-0.04624466598033905,0.14128577709197998,0.25472134351730347,0.4223487675189972,0.12058283388614655,0.48046383261680603,0.22234255075454712,0.2433311939239502
the,0.6521818041801453,0.733189046382904,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.23352757096290588,0.34736719727516174,1.0,0.19914765655994415,0.40389683842658997,0.2324211299419403,0.22068053483963013
two,0.4674137234687805,0.37726253271102905,0.21525606513023376,0.18127043545246124,0.038143858313560486,0.13434889912605286,0.2755576968193054,0.43858039379119873,0.1854880303144455,0.4498785734176636,0.21585629880428314,0.19645625352859497
remaining,0.33581429719924927,0.3693024218082428,0.1475713700056076,0.0625104010105133,0.03188075125217438,0.20573052763938904,0.27409452199935913,0.45105910301208496,0.11522825807332993,0.3514479696750641,0.1955805867910385,0.16961920261383057
