,how,many,soldiers,did,genghis,khan,take,with,him,to,khwarezmia,?
outraged,0.21359097957611084,0.2666845917701721,0.2930401861667633,0.40841519832611084,0.30881914496421814,0.19246409833431244,0.20251688361167908,0.21601015329360962,0.3369012176990509,0.28375163674354553,0.28142401576042175,0.2501823604106903
",",0.22659391164779663,0.40610817074775696,0.2250073105096817,0.3015086054801941,0.2891939878463745,0.19700400531291962,0.2881867289543152,0.4120737314224243,0.31121695041656494,0.44245919585227966,0.35280895233154297,0.31091248989105225
genghis,0.15753298997879028,0.2155562937259674,0.2938748896121979,0.18339850008487701,1.0,0.5896923542022705,0.13770391047000885,0.18149495124816895,0.32669100165367126,0.2294713407754898,0.5804197788238525,0.18813461065292358
khan,0.11783289164304733,0.15215526521205902,0.1459471732378006,0.155345618724823,0.5896923542022705,1.0,0.12877127528190613,0.12498863786458969,0.23670253157615662,0.18221943080425262,0.564900279045105,0.12862591445446014
planned,0.16940928995609283,0.182924285531044,0.24318452179431915,0.3708326518535614,0.19991907477378845,0.16375555098056793,0.26817581057548523,0.18405099213123322,0.253751665353775,0.309917151927948,0.23173290491104126,0.16188396513462067
one,0.3213292360305786,0.4223630726337433,0.19907346367835999,0.27659472823143005,0.22989769279956818,0.208477184176445,0.3211195170879364,0.3855307400226593,0.3260793685913086,0.4025384783744812,0.2586246728897095,0.2673267424106598
of,0.2480744868516922,0.37253960967063904,0.26257410645484924,0.2513895630836487,0.2938849925994873,0.17124508321285248,0.29282352328300476,0.41827285289764404,0.2764812409877777,0.41548454761505127,0.30564188957214355,0.1826142966747284
his,0.24614305794239044,0.3188176155090332,0.28465813398361206,0.3546801507472992,0.3744826912879944,0.26570460200309753,0.24483558535575867,0.33836179971694946,0.6629161238670349,0.3715193271636963,0.30844542384147644,0.18075084686279297
largest,0.08743762224912643,0.23644231259822845,0.158621683716774,0.12612280249595642,0.17469604313373566,0.10612526535987854,0.1075187623500824,0.16282805800437927,0.05487992614507675,0.18687231838703156,0.24513669312000275,0.12401245534420013
invasion,0.12191843241453171,0.19253648817539215,0.3962031900882721,0.1800924837589264,0.35532259941101074,0.21716536581516266,0.2487204372882843,0.17501716315746307,0.23085220158100128,0.2535645365715027,0.2882117033004761,0.18923960626125336
campaigns,0.16351677477359772,0.2709234356880188,0.32816237211227417,0.19866736233234406,0.2836119830608368,0.20651781558990479,0.17095457017421722,0.1892961859703064,0.2206321358680725,0.23745974898338318,0.2867584228515625,0.13006390631198883
by,0.34370526671409607,0.3409687578678131,0.24209950864315033,0.18574509024620056,0.22102472186088562,0.13558374345302582,0.1697900891304016,0.39731505513191223,0.29878008365631104,0.33534231781959534,0.2806098461151123,0.17966607213020325
organizing,0.26253071427345276,0.25145742297172546,0.21788005530834198,0.2194000631570816,0.18189984560012817,0.12844045460224152,0.268476665019989,0.22076386213302612,0.2121102213859558,0.28101980686187744,0.24707484245300293,0.14538010954856873
together,0.2156706154346466,0.2683815658092499,0.19140107929706573,0.16267985105514526,0.16379553079605103,0.0723848044872284,0.1925649493932724,0.48732393980026245,0.17092855274677277,0.33225905895233154,0.19497105479240417,0.1690303236246109
around,0.3297552764415741,0.4112928509712219,0.2627321779727936,0.1658935695886612,0.20644451677799225,0.13216018676757812,0.2508328855037689,0.3207509517669678,0.23249268531799316,0.3591267168521881,0.31059661507606506,0.14729668200016022
"100,000",0.10288455337285995,0.007480822503566742,-0.10422662645578384,0.10198205709457397,0.038729228079319,0.04050520062446594,0.040772512555122375,0.06411270052194595,0.1478472501039505,0.10855402797460556,0.10440366715192795,0.035472359508275986
soldiers,0.196543887257576,0.2879897952079773,0.9999998807907104,0.2725818455219269,0.2938748896121979,0.1459471732378006,0.19711320102214813,0.22975948452949524,0.2895957827568054,0.2914033532142639,0.27885061502456665,0.1779262125492096
(,0.1676948219537735,0.1455259770154953,0.13123850524425507,0.18979617953300476,0.2257842868566513,0.1773909628391266,0.21149633824825287,0.29503780603408813,0.1509418487548828,0.30882009863853455,0.2656857967376709,0.40561532974243164
10,0.09177426248788834,0.3056783974170685,0.14569176733493805,0.1914099007844925,0.2758229076862335,0.22198763489723206,0.0800565630197525,0.11515160650014877,0.08615421503782272,0.18753696978092194,0.25660693645477295,0.022911956533789635
tumens,0.1711575835943222,0.2821034789085388,0.2781006097793579,0.08754760771989822,0.3533305823802948,0.20635563135147095,0.19601203501224518,0.20108762383460999,0.112351194024086,0.2236592173576355,0.4198603332042694,0.11407921463251114
),0.17939934134483337,0.16602720320224762,0.15203873813152313,0.18584993481636047,0.24887141585350037,0.2105041742324829,0.198357492685318,0.3069596290588379,0.1530005782842636,0.31236231327056885,0.2916349172592163,0.42300865054130554
