,how,many,divisions,comprised,genghis,khan,'s,army,in,khwarezmia,?
after,0.23871733248233795,0.2586410939693451,0.1953209936618805,0.18716123700141907,0.24102559685707092,0.1264270693063736,-0.055672239512205124,0.2654078006744385,0.44050168991088867,0.266024649143219,0.16608688235282898
compiling,0.2925277054309845,0.25530141592025757,0.21677623689174652,0.2516528367996216,0.17147257924079895,0.1438208371400833,-0.042073123157024384,0.1249803975224495,0.19921904802322388,0.24564096331596375,0.33324772119522095
intelligence,0.18784241378307343,0.16599814593791962,0.128348246216774,0.11284979432821274,0.219376340508461,0.25712770223617554,0.11699071526527405,0.31180062890052795,0.18166935443878174,0.2608864903450012,0.13662627339363098
from,0.22939439117908478,0.33099696040153503,0.16705584526062012,0.20391374826431274,0.19071364402770996,0.10581372678279877,-0.01936490088701248,0.2187274545431137,0.4274188280105591,0.24975794553756714,0.19969791173934937
many,0.4425291419029236,0.9999999403953552,0.22984808683395386,0.24769088625907898,0.2155562937259674,0.15215526521205902,0.01698932610452175,0.1930745244026184,0.41474202275276184,0.3091419041156769,0.2124512493610382
sources,0.2532365620136261,0.28766462206840515,0.16752809286117554,0.11109837144613266,0.1995663046836853,0.13174927234649658,-0.006692466326057911,0.1495620310306549,0.23531174659729004,0.22862380743026733,0.2886999845504761
genghis,0.15753298997879028,0.2155562937259674,0.21918655931949615,0.18027617037296295,1.0,0.5896923542022705,0.031423866748809814,0.33970266580581665,0.224680557847023,0.5804197788238525,0.18813461065292358
khan,0.11783289164304733,0.15215526521205902,0.2198481559753418,0.12573479115962982,0.5896923542022705,1.0,0.05307086929678917,0.2175215482711792,0.1527150720357895,0.564900279045105,0.12862591445446014
carefully,0.4658667743206024,0.33447062969207764,0.12828129529953003,0.15635067224502563,0.10276330262422562,0.11249041557312012,-0.053387343883514404,0.18032798171043396,0.1728091984987259,0.20853933691978455,0.22870610654354095
prepared,0.3215382993221283,0.268412321805954,0.13934463262557983,0.19402198493480682,0.10727144777774811,0.061561718583106995,-0.014150354079902172,0.2018745243549347,0.22783386707305908,0.16214650869369507,0.23652499914169312
his,0.24614305794239044,0.3188176155090332,0.17429344356060028,0.1315537989139557,0.3744826912879944,0.26570460200309753,0.047556519508361816,0.26294445991516113,0.3598145842552185,0.30844542384147644,0.18075084686279297
army,0.13502483069896698,0.1930745244026184,0.2631058096885681,0.1136377677321434,0.33970266580581665,0.2175215482711792,0.03417222201824188,1.0000001192092896,0.25258398056030273,0.274380624294281,0.180583193898201
",",0.22659391164779663,0.40610817074775696,0.27065619826316833,0.258333295583725,0.2891939878463745,0.19700400531291962,-0.0016132977325469255,0.230897456407547,0.5201468467712402,0.35280895233154297,0.31091248989105225
which,0.4852597713470459,0.5168171525001526,0.31919294595718384,0.31704580783843994,0.26472097635269165,0.19211235642433167,0.03856118768453598,0.14114242792129517,0.4840516746044159,0.3854447603225708,0.25814583897590637
was,0.16678167879581451,0.260356068611145,0.197164848446846,0.23760703206062317,0.3037589192390442,0.23483267426490784,0.008974763564765453,0.30177709460258484,0.45514053106307983,0.2980318069458008,0.18412111699581146
divided,0.1862497329711914,0.21604293584823608,0.45567911863327026,0.4850118160247803,0.21240493655204773,0.07162906974554062,0.054587963968515396,0.13617290556430817,0.29514673352241516,0.22971732914447784,0.10190024226903915
into,0.2303972691297531,0.2618265151977539,0.29413294792175293,0.3445635437965393,0.227550208568573,0.10511033236980438,0.00961404386907816,0.17944656312465668,0.38021373748779297,0.25534433126449585,0.15662476420402527
three,0.23807744681835175,0.4501400589942932,0.27984100580215454,0.3478817045688629,0.18328385055065155,0.11997674405574799,0.03946888819336891,0.13278841972351074,0.34828072786331177,0.19241534173488617,0.20928427577018738
groups,0.18221695721149445,0.3662751019001007,0.2667398452758789,0.3354097902774811,0.15372298657894135,0.11895766109228134,-0.022840846329927444,0.17237994074821472,0.22620722651481628,0.24139611423015594,0.14349548518657684
.,0.3287222981452942,0.3974229395389557,0.3021276295185089,0.18239986896514893,0.25373268127441406,0.19819748401641846,-0.003708066651597619,0.28860729932785034,0.5591574311256409,0.29643574357032776,0.4130953550338745
