,who,led,the,third,division,in,khwarezmia,alongside,genghis,khan,himself,?
the,0.3733934462070465,0.3267505168914795,1.0,0.4229298532009125,0.26203617453575134,0.6662389636039734,0.3111512362957001,0.2475084811449051,0.3448939025402069,0.21067845821380615,0.24642214179039001,0.22068053483963013
third,0.20739443600177765,0.23528818786144257,0.4229298532009125,1.0,0.22803065180778503,0.3309578001499176,0.2037886530160904,0.1609724462032318,0.16844429075717926,0.13317693769931793,0.11612728238105774,0.15394791960716248
division,0.14196254312992096,0.17776603996753693,0.26203617453575134,0.22803065180778503,1.0,0.2658538520336151,0.20878194272518158,0.1010952964425087,0.16637326776981354,0.17306137084960938,0.04966301470994949,0.08900629729032516
under,0.2962189018726349,0.26394832134246826,0.3348022699356079,0.21188493072986603,0.14488926529884338,0.2535393238067627,0.26319074630737305,0.22509697079658508,0.2402999848127365,0.18593889474868774,0.15262867510318756,0.18233340978622437
genghis,0.3018350303173065,0.24070851504802704,0.3448939025402069,0.16844429075717926,0.16637326776981354,0.224680557847023,0.5804197788238525,0.15889009833335876,1.0,0.5896923542022705,0.2502084970474243,0.18813461065292358
khan,0.2616176903247833,0.1513843536376953,0.21067845821380615,0.13317693769931793,0.17306137084960938,0.1527150720357895,0.564900279045105,0.16199374198913574,0.5896923542022705,1.0,0.2027694135904312,0.12862591445446014
and,0.41279885172843933,0.2780643701553345,0.5171257257461548,0.26207348704338074,0.23460866510868073,0.4954058527946472,0.34526392817497253,0.36740177869796753,0.26551535725593567,0.22885166108608246,0.23012475669384003,0.20544172823429108
tolui,0.19676437973976135,0.1951827108860016,0.2948542833328247,0.15890038013458252,0.16352114081382751,0.2689498960971832,0.5203801989555359,0.1965518444776535,0.39437389373779297,0.33795106410980225,0.19446519017219543,0.18748058378696442
marched,0.24331092834472656,0.3844960033893585,0.32402941584587097,0.1896069198846817,0.2021801918745041,0.2845587730407715,0.3217129409313202,0.16662053763866425,0.35027340054512024,0.15120570361614227,0.24024781584739685,0.11712592840194702
to,0.42656609416007996,0.21815308928489685,0.535392165184021,0.2795414924621582,0.20332986116409302,0.45010748505592346,0.27053171396255493,0.19477646052837372,0.2294713407754898,0.18221943080425262,0.2758015990257263,0.29463258385658264
the,0.3733934462070465,0.3267505168914795,1.0,0.4229298532009125,0.26203617453575134,0.6662389636039734,0.3111512362957001,0.2475084811449051,0.3448939025402069,0.21067845821380615,0.24642214179039001,0.22068053483963013
northwest,0.14889474213123322,0.1473476141691208,0.3162118196487427,0.1536424458026886,0.21293191611766815,0.34818974137306213,0.23016634583473206,0.14067114889621735,0.22939439117908478,0.14022505283355713,0.11586959660053253,0.15228797495365143
and,0.41279885172843933,0.2780643701553345,0.5171257257461548,0.26207348704338074,0.23460866510868073,0.4954058527946472,0.34526392817497253,0.36740177869796753,0.26551535725593567,0.22885166108608246,0.23012475669384003,0.20544172823429108
attacked,0.27659302949905396,0.3367331326007843,0.27774572372436523,0.1660330444574356,0.2330261468887329,0.23554553091526031,0.1759166270494461,0.1894138753414154,0.2611403465270996,0.09860583394765854,0.2344198375940323,0.08601678907871246
khwarzemia,0.26031559705734253,0.24987901747226715,0.3238673806190491,0.22768928110599518,0.26715222001075745,0.291737824678421,0.853014349937439,0.21322567760944366,0.5234270691871643,0.5289647579193115,0.22838474810123444,0.2711334526538849
from,0.27839982509613037,0.2455430030822754,0.40150508284568787,0.19577939808368683,0.15398767590522766,0.4274188280105591,0.24975794553756714,0.11485361307859421,0.19071364402770996,0.10581372678279877,0.18922577798366547,0.19969791173934937
that,0.45444270968437195,0.20931211113929749,0.5473989248275757,0.23549747467041016,0.17438095808029175,0.435920387506485,0.3071853518486023,0.23539337515830994,0.21352417767047882,0.14077997207641602,0.29302647709846497,0.32716336846351624
direction,0.1489703357219696,0.17284370958805084,0.28851455450057983,0.12174195051193237,0.14164964854717255,0.17485231161117554,0.2431189864873886,0.11502762883901596,0.15589547157287598,0.15256334841251373,0.1280420422554016,0.10739318281412125
.,0.3541337847709656,0.19335708022117615,0.5934505462646484,0.3039522171020508,0.27855971455574036,0.5591574311256409,0.29643574357032776,0.23576749861240387,0.25373268127441406,0.19819748401641846,0.16836950182914734,0.4130953550338745
