,what,victory,symbols,did,the,mongols,build,on,the,plains,outside,samarkand,?
the,0.42745697498321533,0.2795662581920624,0.22359615564346313,0.34736719727516174,1.0,0.310281366109848,0.2602573335170746,0.5107308030128479,1.0,0.291370153427124,0.3879719078540802,0.3053828775882721,0.22068053483963013
people,0.32444337010383606,0.14955143630504608,0.24077898263931274,0.26765021681785583,0.36838498711586,0.2799423336982727,0.22083325684070587,0.2559742033481598,0.36838498711586,0.2090875506401062,0.29966065287590027,0.20307855308055878,0.23739641904830933
of,0.33290785551071167,0.21037539839744568,0.276145339012146,0.2513895630836487,0.733189046382904,0.23517343401908875,0.22630037367343903,0.3966929316520691,0.733189046382904,0.2842082381248474,0.2973117530345917,0.2605690360069275,0.1826142966747284
samarkand,0.23882515728473663,0.2371564507484436,0.25404712557792664,0.15214397013187408,0.3053828775882721,0.49446871876716614,0.1837342530488968,0.14208564162254333,0.3053828775882721,0.2674730718135834,0.2469121515750885,1.0000001192092896,0.14516572654247284
were,0.22298263013362885,0.22070027887821198,0.17349888384342194,0.4162326455116272,0.3906462490558624,0.3104121685028076,0.24670104682445526,0.2774328887462616,0.3906462490558624,0.20751871168613434,0.22631162405014038,0.2608983516693115,0.17890112102031708
ordered,0.1877245008945465,0.17354519665241241,0.13512255251407623,0.3289390504360199,0.2839050590991974,0.23238633573055267,0.21422678232192993,0.22567403316497803,0.2839050590991974,0.1737833321094513,0.1350294053554535,0.17175978422164917,0.11423391848802567
to,0.455847829580307,0.17833203077316284,0.1965978890657425,0.4452643394470215,0.535392165184021,0.230276957154274,0.38783395290374756,0.41031414270401,0.535392165184021,0.20378006994724274,0.3292369544506073,0.18783891201019287,0.29463258385658264
evacuate,0.20123231410980225,0.21867462992668152,0.05242665857076645,0.22618556022644043,0.2336161881685257,0.23309804499149323,0.26859787106513977,0.2546677589416504,0.2336161881685257,0.20961222052574158,0.169876828789711,0.19141504168510437,0.13437965512275696
and,0.31309178471565247,0.14554795622825623,0.19269204139709473,0.34479495882987976,0.5171257257461548,0.2535054385662079,0.27539998292922974,0.4077630043029785,0.5171257257461548,0.30582091212272644,0.31803378462791443,0.2754867374897003,0.20544172823429108
assemble,0.2427459955215454,0.2074614018201828,0.2195340245962143,0.1701834797859192,0.2537953853607178,0.19206227362155914,0.3024924397468567,0.2276010662317276,0.2537953853607178,0.17386353015899658,0.23806995153427124,0.12528887391090393,0.14568409323692322
in,0.30808621644973755,0.21562302112579346,0.15397359430789948,0.2593238651752472,0.6662389636039734,0.22694018483161926,0.26063278317451477,0.46853652596473694,0.6662389636039734,0.27783435583114624,0.4191201329231262,0.28130465745925903,0.20430970191955566
a,0.3320399522781372,0.20717723667621613,0.2283145785331726,0.2552328109741211,0.5829201340675354,0.13675467669963837,0.26229962706565857,0.3848365545272827,0.5829201340675354,0.21647585928440094,0.3113526403903961,0.1994355469942093,0.23916715383529663
plain,0.2494364231824875,0.1308845430612564,0.24143224954605103,0.08596014976501465,0.24952362477779388,0.16803878545761108,0.1694798767566681,0.2648521065711975,0.24952362477779388,0.6582266092300415,0.1719176471233368,0.2575802206993103,0.17552430927753448
outside,0.3224688768386841,0.1400517076253891,0.18781745433807373,0.21874573826789856,0.3879719078540802,0.19047732651233673,0.2185840606689453,0.3252089023590088,0.3879719078540802,0.14980928599834442,0.9999999403953552,0.2469121515750885,0.14839068055152893
the,0.42745697498321533,0.2795662581920624,0.22359615564346313,0.34736719727516174,1.0,0.310281366109848,0.2602573335170746,0.5107308030128479,1.0,0.291370153427124,0.3879719078540802,0.3053828775882721,0.22068053483963013
city,0.17493832111358643,0.2329167276620865,0.20541515946388245,0.12266099452972412,0.35769423842430115,0.29109588265419006,0.19565439224243164,0.2549738585948944,0.35769423842430115,0.32823440432548523,0.24333782494068146,0.3894672989845276,0.13423943519592285
",",0.3087472915649414,0.22238308191299438,0.21077381074428558,0.3015086054801941,0.4933079481124878,0.26664721965789795,0.22204548120498657,0.49057599902153015,0.4933079481124878,0.30410081148147583,0.2726076543331146,0.23494493961334229,0.31091248989105225
where,0.4457937180995941,0.15321113169193268,0.1794053167104721,0.24159270524978638,0.5003893971443176,0.16501484811306,0.26917290687561035,0.37630224227905273,0.5003893971443176,0.2820999324321747,0.5271748304367065,0.24729785323143005,0.24793872237205505
they,0.4431931674480438,0.15113772451877594,0.1789417415857315,0.4879390597343445,0.49925389885902405,0.2959712743759155,0.3379060626029968,0.31295230984687805,0.49925389885902405,0.24859213829040527,0.3353634476661682,0.21133585274219513,0.2753053903579712
were,0.22298263013362885,0.22070027887821198,0.17349888384342194,0.4162326455116272,0.3906462490558624,0.3104121685028076,0.24670104682445526,0.2774328887462616,0.3906462490558624,0.20751871168613434,0.22631162405014038,0.2608983516693115,0.17890112102031708
killed,0.1862335354089737,0.22201251983642578,0.0719418004155159,0.24296797811985016,0.23115427792072296,0.284037709236145,0.17807912826538086,0.1808508187532425,0.23115427792072296,0.24081873893737793,0.1784593164920807,0.2790241837501526,0.17928971350193024
and,0.31309178471565247,0.14554795622825623,0.19269204139709473,0.34479495882987976,0.5171257257461548,0.2535054385662079,0.27539998292922974,0.4077630043029785,0.5171257257461548,0.30582091212272644,0.31803378462791443,0.2754867374897003,0.20544172823429108
