,in,which,year,did,alexander,dyce,bequeathed,his,books,to,the,museum,?
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.34736719727516174,0.24375919997692108,0.25175124406814575,0.33061784505844116,0.4394008219242096,0.23187310993671417,0.535392165184021,1.0,0.24861779808998108,0.22068053483963013
reverend,0.2380610704421997,0.14126276969909668,0.0727403536438942,0.2448773980140686,0.2914632558822632,0.49827393889427185,0.36977678537368774,0.326718270778656,0.21634049713611603,0.22424015402793884,0.21770034730434418,0.11381205171346664,0.14386914670467377
alexander,0.18552854657173157,0.12678256630897522,0.1421387791633606,0.1759006232023239,0.9999999403953552,0.389793336391449,0.2796492278575897,0.23511697351932526,0.14682568609714508,0.1207706481218338,0.24375919997692108,0.14709903299808502,0.120673269033432
dyce,0.2401317059993744,0.23158816993236542,0.23688791692256927,0.279403954744339,0.389793336391449,0.9999999403953552,0.3813096284866333,0.3441120386123657,0.27296873927116394,0.2611888647079468,0.25175124406814575,0.19115282595157623,0.31341683864593506
was,0.45514053106307983,0.2830964922904968,0.3209837079048157,0.41399896144866943,0.2708682119846344,0.37689208984375,0.4350752532482147,0.4405253231525421,0.18330562114715576,0.3636345863342285,0.48711544275283813,0.21266788244247437,0.18412111699581146
another,0.3397690951824188,0.5561438798904419,0.22209987044334412,0.29175329208374023,0.16711342334747314,0.23248441517353058,0.22656574845314026,0.349472314119339,0.1309797465801239,0.48769932985305786,0.5019711852073669,0.16985006630420685,0.295511931180954
benefactor,0.2829906940460205,0.2114686518907547,0.20827846229076385,0.1770258992910385,0.2028399407863617,0.3373640179634094,0.3861124515533447,0.2843373715877533,0.28930649161338806,0.2399204820394516,0.25581496953964233,0.2733685374259949,0.2532118260860443
of,0.5696388483047485,0.5011631846427917,0.2578314542770386,0.2513895630836487,0.24921993911266327,0.2412291169166565,0.39016157388687134,0.38364991545677185,0.18863578140735626,0.41548454761505127,0.733189046382904,0.23314370214939117,0.1826142966747284
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.34736719727516174,0.24375919997692108,0.25175124406814575,0.33061784505844116,0.4394008219242096,0.23187310993671417,0.535392165184021,1.0,0.24861779808998108,0.22068053483963013
library,0.2101847380399704,0.1813201606273651,0.18668106198310852,0.1352662295103073,0.16146908700466156,0.26854804158210754,0.23019865155220032,0.1664181500673294,0.3576837480068207,0.19252733886241913,0.19920319318771362,0.3657669126987457,0.18938742578029633
",",0.5201468467712402,0.3658004403114319,0.28560417890548706,0.3015086054801941,0.2541901767253876,0.3538360297679901,0.38536176085472107,0.3378419280052185,0.258169561624527,0.44245919585227966,0.4933079481124878,0.20741747319698334,0.31091248989105225
leaving,0.2724153697490692,0.26806724071502686,0.24432197213172913,0.26762503385543823,0.16777403652668,0.24854670464992523,0.2487012892961502,0.3316081464290619,0.07948106527328491,0.3466693162918091,0.35353413224220276,0.0817190557718277,0.11571593582630157
over,0.3605569899082184,0.4256240129470825,0.2620522379875183,0.2535076439380646,0.18423296511173248,0.22408458590507507,0.2463802844285965,0.3031150996685028,0.23295758664608002,0.38635820150375366,0.39856547117233276,0.10119161754846573,0.25742942094802856
"14,000",0.07160147279500961,-0.04590588063001633,0.06996597349643707,0.10231593996286392,0.03531244769692421,0.19930186867713928,0.07158615440130234,0.26184210181236267,0.07758250087499619,0.059865552932024,0.08103297650814056,-0.04072287306189537,-0.030015114694833755
books,0.250139981508255,0.22369812428951263,0.2115596979856491,0.20507213473320007,0.14682568609714508,0.27296873927116394,0.2567000985145569,0.23605668544769287,1.0,0.20019930601119995,0.23187310993671417,0.19210147857666016,0.1897611767053604
to,0.45010748505592346,0.5345056653022766,0.23523004353046417,0.4452643394470215,0.1207706481218338,0.2611888647079468,0.25286343693733215,0.3715193271636963,0.20019930601119995,1.0,0.535392165184021,0.1640389859676361,0.29463258385658264
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.34736719727516174,0.24375919997692108,0.25175124406814575,0.33061784505844116,0.4394008219242096,0.23187310993671417,0.535392165184021,1.0,0.24861779808998108,0.22068053483963013
museum,0.2407650351524353,0.22731433808803558,0.1009267270565033,0.14870306849479675,0.14709903299808502,0.19115282595157623,0.3917529881000519,0.19025814533233643,0.19210147857666016,0.1640389859676361,0.24861779808998108,1.0000001192092896,0.14128351211547852
in,1.0,0.4840516746044159,0.3359307050704956,0.2593238651752472,0.18552854657173157,0.2401317059993744,0.30938994884490967,0.3598145842552185,0.250139981508255,0.45010748505592346,0.6662389636039734,0.2407650351524353,0.20430970191955566
1869,-0.023044336587190628,-0.06281723827123642,-0.03053871914744377,0.03271469473838806,0.24130550026893616,0.16376993060112,0.25620967149734497,0.13004961609840393,0.20845983922481537,-0.05272897705435753,0.024187540635466576,0.12345144152641296,-0.025194555521011353
.,0.5591574311256409,0.45942068099975586,0.32538118958473206,0.35288307070732117,0.23320968449115753,0.38897719979286194,0.35148677229881287,0.3119256794452667,0.2393038123846054,0.4645031690597534,0.5934505462646484,0.19497929513454437,0.4130953550338745
