,in,which,year,did,the,v,&,a,'s,word,and,image,department,began,a,large,scale,digitization,project,?
a,0.539380669593811,0.56894451379776,0.29350247979164124,0.2552328109741211,0.5829201340675354,0.21861357986927032,0.07266713678836823,1.0,0.04866964742541313,0.3246598243713379,0.3739250600337982,0.199119433760643,0.17256495356559753,0.21651826798915863,1.0,0.3740714490413666,0.2199064940214157,0.24688468873500824,0.2328382134437561,0.23916715383529663
large,0.2841601073741913,0.46308431029319763,0.12452022731304169,0.2084006518125534,0.3828733265399933,0.15139955282211304,0.07074826955795288,0.3740714490413666,0.06319566071033478,0.22892320156097412,0.3404269814491272,0.18898917734622955,0.13315600156784058,0.18539224565029144,0.3740714490413666,1.0000001192092896,0.32789894938468933,0.2346097230911255,0.18318402767181396,0.1355665624141693
scale,0.2105615884065628,0.27186259627342224,0.1404070258140564,0.11973943561315536,0.1833842247724533,0.16318024694919586,0.05925162136554718,0.2199064940214157,0.004218825604766607,0.1731952279806137,0.23044463992118835,0.19261963665485382,0.13796062767505646,0.1751222312450409,0.2199064940214157,0.32789894938468933,1.0000001192092896,0.2634207308292389,0.23759938776493073,0.21142835915088654
digitization,0.22855713963508606,0.3217010498046875,0.17171171307563782,0.12352192401885986,0.30199649930000305,0.17610381543636322,0.10864874720573425,0.24688468873500824,-0.015138979069888592,0.2285856455564499,0.20847226679325104,0.2176637202501297,0.2512560784816742,0.16696053743362427,0.24688468873500824,0.2346097230911255,0.2634207308292389,0.9999999403953552,0.3439951539039612,0.22559854388237
project,0.16277937591075897,0.21453826129436493,0.17025868594646454,0.18681181967258453,0.2027820199728012,0.18323135375976562,0.11104155331850052,0.2328382134437561,0.07063660025596619,0.1857067048549652,0.23249590396881104,0.2082643359899521,0.14563989639282227,0.1880348026752472,0.2328382134437561,0.18318402767181396,0.23759938776493073,0.3439951539039612,1.0,0.30569031834602356
began,0.34154343605041504,0.15610557794570923,0.23867103457450867,0.4415510594844818,0.3059147596359253,0.1118585616350174,0.09757918864488602,0.21651826798915863,-0.026281554251909256,0.14725226163864136,0.3021392226219177,0.08635978400707245,0.1583223044872284,1.0,0.21651826798915863,0.18539224565029144,0.1751222312450409,0.16696053743362427,0.1880348026752472,0.1370266228914261
in,1.0,0.4840516746044159,0.3359307050704956,0.2593238651752472,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,-0.037580832839012146,0.19815877079963684,0.4954058527946472,0.1773042231798172,0.3254720866680145,0.34154343605041504,0.539380669593811,0.2841601073741913,0.2105615884065628,0.22855713963508606,0.16277937591075897,0.20430970191955566
2007,-0.2201838344335556,-0.07080759108066559,-0.20763340592384338,-0.2447822093963623,-0.23657195270061493,-0.10706961899995804,-0.04927358403801918,-0.06548836827278137,-0.07339024543762207,-0.05869857966899872,-0.2391151487827301,-0.045521724969148636,-0.11474360525608063,-0.2296990156173706,-0.06548836827278137,-0.0842747688293457,0.016298392787575722,-0.04717443138360977,-0.11770216375589371,-0.1664225310087204
in,1.0,0.4840516746044159,0.3359307050704956,0.2593238651752472,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,-0.037580832839012146,0.19815877079963684,0.4954058527946472,0.1773042231798172,0.3254720866680145,0.34154343605041504,0.539380669593811,0.2841601073741913,0.2105615884065628,0.22855713963508606,0.16277937591075897,0.20430970191955566
that,0.435920387506485,0.6894589066505432,0.2826407253742218,0.47518548369407654,0.5473989248275757,0.14623945951461792,0.13811425864696503,0.47537946701049805,0.04397977516055107,0.31071701645851135,0.4731321930885315,0.16579361259937286,0.22280775010585785,0.21520264446735382,0.47537946701049805,0.34200385212898254,0.24862223863601685,0.2855679392814636,0.29938963055610657,0.32716336846351624
department,0.3254720866680145,0.17724695801734924,0.168870747089386,0.12130371481180191,0.32582083344459534,0.11911143362522125,0.1592111587524414,0.17256495356559753,-0.0554250031709671,0.14445434510707855,0.27163735032081604,0.11960992217063904,0.9999998807907104,0.1583223044872284,0.17256495356559753,0.13315600156784058,0.13796062767505646,0.2512560784816742,0.14563989639282227,0.1343645304441452
.,0.5591574311256409,0.45942068099975586,0.32538118958473206,0.35288307070732117,0.5934505462646484,0.2973858416080475,0.16452857851982117,0.50484299659729,-0.003708066651597619,0.13155406713485718,0.588965117931366,0.2041902095079422,0.2694511413574219,0.19236212968826294,0.50484299659729,0.2304532378911972,0.23170605301856995,0.250759094953537,0.23938670754432678,0.4130953550338745
