,what,did,the,greek,root,pharmakos,imply,?
however,0.4480680823326111,0.5603718757629395,0.49814513325691223,0.21206890046596527,0.1649051308631897,0.23102252185344696,0.4375395178794861,0.2152075469493866
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.24548614025115967,0.21637433767318726,0.28696489334106445,0.20758846402168274,0.31091248989105225
the,0.42745697498321533,0.34736719727516174,1.0,0.23564283549785614,0.16797003149986267,0.22375290095806122,0.22735881805419922,0.22068053483963013
original,0.24651947617530823,0.2664784789085388,0.4037000238895416,0.15604956448078156,0.1641441136598587,0.09729010611772537,0.1772473007440567,0.17256900668144226
greek,0.14808377623558044,0.1255291998386383,0.23564283549785614,0.9999999403953552,0.21570554375648499,0.3478145897388458,0.176499605178833,0.11180876195430756
roots,0.1585880070924759,0.1714051514863968,0.2583441734313965,0.23936845362186432,0.675973653793335,0.0985337570309639,0.152081698179245,0.09478887915611267
from,0.2737620174884796,0.20248863101005554,0.40150508284568787,0.2486233115196228,0.22268055379390717,0.18155930936336517,0.13413681089878082,0.19969791173934937
pharmakos,0.17896737158298492,0.16883538663387299,0.22375290095806122,0.3478145897388458,0.15970711410045624,1.0,0.06576591730117798,0.19501475989818573
imply,0.38084062933921814,0.27266833186149597,0.22735881805419922,0.176499605178833,0.20653600990772247,0.06576591730117798,0.9999998807907104,0.23791177570819855
sorcery,0.3148898482322693,0.1589471399784088,0.30059248208999634,0.29219353199005127,0.17512741684913635,0.3396064341068268,0.1296318620443344,0.20174004137516022
or,0.33867141604423523,0.28211739659309387,0.4174870550632477,0.22018496692180634,0.31395891308784485,0.2722415328025818,0.3682415783405304,0.32389625906944275
even,0.40872135758399963,0.45816805958747864,0.37996912002563477,0.1344037801027298,0.2561171352863312,0.18797039985656738,0.42837604880332947,0.30082517862319946
poison,0.2074296623468399,0.14611925184726715,0.1961093693971634,0.1340724676847458,0.18761327862739563,0.26238831877708435,0.1511923223733902,0.13894492387771606
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.2338392436504364,0.2173004299402237,0.2965148389339447,0.10177677869796753,0.4130953550338745
