,what,do,clinical,pharmacists,often,participate,in,?
they,0.4431931674480438,0.4667694866657257,0.23320111632347107,0.40619930624961853,0.5099413394927979,0.28695496916770935,0.4330179989337921,0.2753053903579712
often,0.3849453330039978,0.30438441038131714,0.3049476742744446,0.3131290078163147,1.0000001192092896,0.15387755632400513,0.3380797803401947,0.23748154938220978
participate,0.26813289523124695,0.31955114006996155,0.15710332989692688,0.2466646134853363,0.15387755632400513,0.9999998807907104,0.2822986841201782,0.2079276293516159
in,0.30808621644973755,0.23402775824069977,0.25644800066947937,0.22358480095863342,0.3380797803401947,0.2822986841201782,1.0,0.20430970191955566
patient,0.3135989308357239,0.23987282812595367,0.49259641766548157,0.348532497882843,0.3115866184234619,0.1568785011768341,0.18493591248989105,0.24355199933052063
care,0.2973911762237549,0.306549996137619,0.32324540615081787,0.28419914841651917,0.22632592916488647,0.21243837475776672,0.14557574689388275,0.24279968440532684
rounds,0.13044984638690948,0.10590825974941254,0.25144851207733154,0.22082898020744324,0.24050018191337585,0.3135496973991394,0.2143082171678543,0.10184301435947418
drug,0.21731828153133392,0.18506735563278198,0.36293739080429077,0.41105008125305176,0.20316068828105927,0.19593922793865204,0.24474680423736572,0.12584024667739868
product,0.2465333193540573,0.2507864534854889,0.19781003892421722,0.27922600507736206,0.1928054243326187,0.20255696773529053,0.17412906885147095,0.19651241600513458
selection,0.23410139977931976,0.14823971688747406,0.2762921154499054,0.2559282183647156,0.20200516283512115,0.23464474081993103,0.20567981898784637,0.24161170423030853
.,0.3567904531955719,0.3613996207714081,0.21580979228019714,0.27446362376213074,0.30710849165916443,0.23456169664859772,0.5591574311256409,0.4130953550338745
,what,do,clinical,pharmacists,often,participate,in,?
clinical,0.2278289943933487,0.15797601640224457,1.0,0.4310356378555298,0.3049476742744446,0.15710332989692688,0.25644800066947937,0.1678651124238968
pharmacists,0.28274545073509216,0.328380823135376,0.4310356378555298,1.0,0.3131290078163147,0.2466646134853363,0.22358480095863342,0.1797308325767517
are,0.29724663496017456,0.41111594438552856,0.21668857336044312,0.33935052156448364,0.5443448424339294,0.24538131058216095,0.3841303884983063,0.24591213464736938
now,0.4903225302696228,0.2690879702568054,0.1726025640964508,0.19454118609428406,0.2560572028160095,0.15481874346733093,0.3619694113731384,0.29641881585121155
an,0.2821882665157318,0.25865980982780457,0.15576820075511932,0.16105923056602478,0.18115736544132233,0.18679732084274292,0.2605783939361572,0.19793890416622162
integral,0.25464048981666565,0.2580254375934601,0.25582435727119446,0.21537481248378754,0.1580449938774109,0.14510194957256317,0.20927265286445618,0.1463361233472824
part,0.3476244807243347,0.22510087490081787,0.19173969328403473,0.1733359396457672,0.27870744466781616,0.2832964062690735,0.4499994218349457,0.08557961881160736
of,0.33290785551071167,0.26150479912757874,0.2760547399520874,0.20506609976291656,0.3351972997188568,0.17425011098384857,0.5696388483047485,0.1826142966747284
the,0.42745697498321533,0.30239659547805786,0.24038995802402496,0.24311043322086334,0.38004449009895325,0.24406622350215912,0.6662389636039734,0.22068053483963013
interdisciplinary,0.21745935082435608,0.20414309203624725,0.4942746162414551,0.33507174253463745,0.25787782669067383,0.22537674009799957,0.27421244978904724,0.1012609675526619
approach,0.2636874318122864,0.17723526060581207,0.2360742837190628,0.1345665454864502,0.2020680457353592,0.18487855792045593,0.17494414746761322,0.181949645280838
to,0.455847829580307,0.38876664638519287,0.2722678482532501,0.24341562390327454,0.4351843297481537,0.319547563791275,0.45010748505592346,0.29463258385658264
patient,0.3135989308357239,0.23987282812595367,0.49259641766548157,0.348532497882843,0.3115866184234619,0.1568785011768341,0.18493591248989105,0.24355199933052063
care,0.2973911762237549,0.306549996137619,0.32324540615081787,0.28419914841651917,0.22632592916488647,0.21243837475776672,0.14557574689388275,0.24279968440532684
.,0.3567904531955719,0.3613996207714081,0.21580979228019714,0.27446362376213074,0.30710849165916443,0.23456169664859772,0.5591574311256409,0.4130953550338745
