,from,which,period,did,the,objects,in,the,soulages,collection,come,from,?
the,0.40150508284568787,0.6521818041801453,0.3125074505805969,0.34736719727516174,1.0,0.24716724455356598,0.6662389636039734,1.0,0.2993813455104828,0.25281965732574463,0.36020293831825256,0.40150508284568787,0.22068053483963013
soulages,0.21383613348007202,0.3146989941596985,0.16682283580303192,0.1405920386314392,0.2993813455104828,0.3086359202861786,0.3181073069572449,0.2993813455104828,1.0,0.26647669076919556,0.1667349934577942,0.21383613348007202,0.22295252978801727
collection,0.2754948139190674,0.30199134349823,0.2219470590353012,0.13477008044719696,0.25281965732574463,0.3340989947319031,0.23004686832427979,0.25281965732574463,0.26647669076919556,0.9999998807907104,0.1698520928621292,0.2754948139190674,0.20069393515586853
of,0.4249346852302551,0.5011631846427917,0.2698146104812622,0.2513895630836487,0.733189046382904,0.23814009130001068,0.5696388483047485,0.733189046382904,0.314351886510849,0.2915455996990204,0.3194141983985901,0.4249346852302551,0.1826142966747284
italian,0.1760130226612091,0.19053605198860168,0.14925019443035126,0.16107788681983948,0.19855095446109772,0.13049934804439545,0.1941935271024704,0.19855095446109772,0.17062538862228394,0.15172773599624634,0.10609032958745956,0.1760130226612091,0.1156633123755455
and,0.3601827025413513,0.506277859210968,0.23878438770771027,0.34479495882987976,0.5171257257461548,0.2794862985610962,0.4954058527946472,0.5171257257461548,0.3758964240550995,0.2379438579082489,0.3412281572818756,0.3601827025413513,0.20544172823429108
french,0.19660584628582,0.1928994208574295,0.14929088950157166,0.1584041714668274,0.2555147111415863,0.15689989924430847,0.22093388438224792,0.2555147111415863,0.33839088678359985,0.12934844195842743,0.14480312168598175,0.19660584628582,0.1386883556842804
renaissance,0.18428313732147217,0.1855861097574234,0.36813437938690186,0.16786469519138336,0.2050212025642395,0.22283993661403656,0.20993053913116455,0.2050212025642395,0.2292504757642746,0.23197145760059357,0.11803188920021057,0.18428313732147217,0.12260647863149643
objects,0.22604778409004211,0.30641767382621765,0.1947048008441925,0.16254889965057373,0.24716724455356598,1.0000001192092896,0.23406893014907837,0.24716724455356598,0.3086359202861786,0.3340989947319031,0.2685967683792114,0.22604778409004211,0.15479016304016113
was,0.31171464920043945,0.2830964922904968,0.2820133864879608,0.41399896144866943,0.48711544275283813,0.12351071834564209,0.45514053106307983,0.48711544275283813,0.19665347039699554,0.1743653565645218,0.1758924275636673,0.31171464920043945,0.18412111699581146
acquired,0.21448072791099548,0.24178527295589447,0.15396083891391754,0.13529880344867706,0.22202405333518982,0.18464092910289764,0.20108897984027863,0.22202405333518982,0.15009872615337372,0.29006797075271606,0.17546090483665466,0.21448072791099548,0.09366346150636673
between,0.3269653618335724,0.395174115896225,0.2825007140636444,0.16542956233024597,0.39067012071609497,0.21784023940563202,0.41100412607192993,0.39067012071609497,0.21309266984462738,0.1194501668214798,0.16820339858531952,0.3269653618335724,0.12887074053287506
1859,-0.0030860870610922575,0.03532431274652481,-0.054310332983732224,-0.008696419186890125,0.012682649306952953,-0.006543377414345741,0.0006312890909612179,0.012682649306952953,-0.035325270146131516,0.09039109200239182,0.09730736911296844,-0.0030860870610922575,0.08665214478969574
and,0.3601827025413513,0.506277859210968,0.23878438770771027,0.34479495882987976,0.5171257257461548,0.2794862985610962,0.4954058527946472,0.5171257257461548,0.3758964240550995,0.2379438579082489,0.3412281572818756,0.3601827025413513,0.20544172823429108
1865,0.09061384201049805,0.020236093550920486,0.14532901346683502,0.11827899515628815,0.13530854880809784,0.07658278197050095,0.18914738297462463,0.13530854880809784,0.23281876742839813,0.12634149193763733,0.03686460852622986,0.09061384201049805,0.09031988680362701
",",0.39760664105415344,0.3658004403114319,0.25030651688575745,0.3015086054801941,0.4933079481124878,0.21213118731975555,0.5201468467712402,0.4933079481124878,0.38856127858161926,0.2277175933122635,0.350309282541275,0.39760664105415344,0.31091248989105225
and,0.3601827025413513,0.506277859210968,0.23878438770771027,0.34479495882987976,0.5171257257461548,0.2794862985610962,0.4954058527946472,0.5171257257461548,0.3758964240550995,0.2379438579082489,0.3412281572818756,0.3601827025413513,0.20544172823429108
includes,0.28263401985168457,0.36315640807151794,0.21113620698451996,0.15465357899665833,0.3388250470161438,0.2177649438381195,0.32460328936576843,0.3388250470161438,0.27321845293045044,0.3749653398990631,0.2499222755432129,0.28263401985168457,0.14011523127555847
several,0.2822973132133484,0.4863804280757904,0.18592298030853271,0.24080568552017212,0.40559855103492737,0.23146197199821472,0.39405709505081177,0.40559855103492737,0.25154656171798706,0.24703916907310486,0.29695335030555725,0.2822973132133484,0.15595775842666626
cassone,0.27311059832572937,0.20438508689403534,0.18589651584625244,0.09924954175949097,0.2641116678714752,0.16451609134674072,0.29146409034729004,0.2641116678714752,0.38598549365997314,0.13528050482273102,0.10051454603672028,0.27311059832572937,0.1558312177658081
.,0.41536515951156616,0.45942068099975586,0.2575049102306366,0.35288307070732117,0.5934505462646484,0.23188386857509613,0.5591574311256409,0.5934505462646484,0.3191589117050171,0.2516246736049652,0.2866859436035156,0.41536515951156616,0.4130953550338745
