,what,is,the,main,difference,between,online,pharmacies,and,community,pharmacies,?
the,0.42745697498321533,0.5823672413825989,1.0,0.38631999492645264,0.3050459623336792,0.39067012071609497,0.22717516124248505,0.2211688905954361,0.5171257257461548,0.2601400911808014,0.2211688905954361,0.22068053483963013
primary,0.2113915979862213,0.23824772238731384,0.25688621401786804,0.42449983954429626,0.19029682874679565,0.16176572442054749,0.14624936878681183,0.20401780307292938,0.2539214491844177,0.11033538728952408,0.20401780307292938,0.16286636888980865
difference,0.4114832878112793,0.32414332032203674,0.3050459623336792,0.2640790343284607,1.0,0.4893479645252228,0.17241711914539337,0.16262000799179077,0.28462520241737366,0.1702122837305069,0.16262000799179077,0.2842230200767517
is,0.28837618231773376,1.0,0.5823672413825989,0.3009335994720459,0.32414332032203674,0.26809602975845337,0.17776910960674286,0.1820123940706253,0.3859752118587494,0.26023760437965393,0.1820123940706253,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.38631999492645264,0.3050459623336792,0.39067012071609497,0.22717516124248505,0.2211688905954361,0.5171257257461548,0.2601400911808014,0.2211688905954361,0.22068053483963013
method,0.25476205348968506,0.21948537230491638,0.21624743938446045,0.13135945796966553,0.3220643103122711,0.2015688419342041,0.15702910721302032,0.22543705999851227,0.16907750070095062,0.08816653490066528,0.22543705999851227,0.2194802314043045
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.21864338219165802,0.19057638943195343,0.28115302324295044,0.18373072147369385,0.14857017993927002,0.4289871156215668,0.15702028572559357,0.14857017993927002,0.17966607213020325
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.37042954564094543,0.3389971852302551,0.395174115896225,0.17954152822494507,0.25592634081840515,0.506277859210968,0.2314024716615677,0.25592634081840515,0.25814583897590637
the,0.42745697498321533,0.5823672413825989,1.0,0.38631999492645264,0.3050459623336792,0.39067012071609497,0.22717516124248505,0.2211688905954361,0.5171257257461548,0.2601400911808014,0.2211688905954361,0.22068053483963013
medications,0.2549620568752289,0.23351168632507324,0.23477277159690857,0.09322000294923782,0.21148644387722015,0.17100639641284943,0.18166086077690125,0.5339306592941284,0.25130701065063477,0.1890687793493271,0.5339306592941284,0.22114922106266022
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.2828797399997711,0.3477291762828827,0.2766000032424927,0.17608287930488586,0.3108147382736206,0.48576638102531433,0.2440178245306015,0.3108147382736206,0.24591213464736938
requested,0.3230558931827545,0.16275501251220703,0.2535228729248047,0.08479966968297958,0.18667833507061005,0.15341141819953918,0.20892098546028137,0.09847312420606613,0.25526103377342224,0.25039055943489075,0.09847312420606613,0.3419589698314667
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.29831406474113464,0.28462520241737366,0.40645647048950195,0.16058434545993805,0.3083914816379547,1.0,0.2756517827510834,0.3083914816379547,0.20544172823429108
received,0.1010502278804779,0.17726187407970428,0.24890556931495667,0.07754447311162949,0.1070825606584549,0.12230419367551804,0.1660601645708084,0.10794971138238907,0.24762246012687683,0.13465580344200134,0.10794971138238907,0.11905962228775024
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.31122034788131714,0.2840389013290405,0.30295518040657043,0.23714536428451538,0.2382737696170807,0.588965117931366,0.2594514787197113,0.2382737696170807,0.4130953550338745
