,when,upt,bough,abc,",",what,was,the,merged,company,called,?
the,0.5091903209686279,0.25772973895072937,0.16768094897270203,0.2068762183189392,0.4933079481124878,0.42745697498321533,0.48711544275283813,1.0,0.22961698472499847,0.26591673493385315,0.489897221326828,0.22068053483963013
merged,0.054479438811540604,0.1416042596101761,0.2714066803455353,0.0735054463148117,0.2192392498254776,0.13653609156608582,0.20836342871189117,0.22961698472499847,1.0,0.22689929604530334,0.18235322833061218,0.16063673794269562
company,0.2219121903181076,0.1760670691728592,0.38824012875556946,0.16210390627384186,0.2697763442993164,0.2333769053220749,0.2293137013912201,0.26591673493385315,0.22689929604530334,1.0,0.1695643663406372,0.12195809185504913
",",0.36674630641937256,0.23893846571445465,0.30757421255111694,0.2097204476594925,1.0000001192092896,0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2192392498254776,0.2697763442993164,0.26549121737480164,0.31091248989105225
renamed,0.19344349205493927,0.154215469956398,0.2634032666683197,0.17665110528469086,0.2471216917037964,0.16309694945812225,0.36580079793930054,0.2855224609375,0.38253816962242126,0.19906596839427948,0.3192148208618164,0.13648955523967743
american,0.19090662896633148,0.18137939274311066,0.20825599133968353,0.24405160546302795,0.3048616647720337,0.1909721940755844,0.31632548570632935,0.24562937021255493,0.10973011702299118,0.1761145144701004,0.21405433118343353,0.18877598643302917
broadcasting-paramount,0.24599702656269073,0.15475565195083618,0.26585161685943604,0.516829788684845,0.3104262948036194,0.18984642624855042,0.302132248878479,0.32053688168525696,0.22106502950191498,0.3916018009185791,0.23198597133159637,0.1604955494403839
theatres,0.2326316386461258,0.11890781670808792,0.257479190826416,0.26000887155532837,0.30420786142349243,0.13976961374282837,0.3262985050678253,0.2874569296836853,0.12394392490386963,0.37436822056770325,0.19718866050243378,0.10397201776504517
",",0.36674630641937256,0.23893846571445465,0.30757421255111694,0.2097204476594925,1.0000001192092896,0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2192392498254776,0.2697763442993164,0.26549121737480164,0.31091248989105225
inc.,0.27903640270233154,0.15922749042510986,0.19196511805057526,0.1840439736843109,0.3023558259010315,0.2657894194126129,0.2586285173892975,0.26402559876441956,0.07287567108869553,0.1912420243024826,0.1822275072336197,0.2727344036102295
and,0.4716290831565857,0.3043553829193115,0.26087597012519836,0.16453155875205994,0.6633074283599854,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.1286735236644745,0.23788511753082275,0.3251761794090271,0.20544172823429108
headquartered,0.13696201145648956,0.06985951215028763,0.22318880259990692,0.18655560910701752,0.2735316753387451,0.1961720734834671,0.26655545830726624,0.306002676486969,0.3327707052230835,0.4850085973739624,0.24041543900966644,0.08021588623523712
in,0.4431333839893341,0.18964797258377075,0.18836495280265808,0.1697147786617279,0.5201468467712402,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.20397168397903442,0.22141718864440918,0.40847352147102356,0.20430970191955566
the,0.5091903209686279,0.25772973895072937,0.16768094897270203,0.2068762183189392,0.4933079481124878,0.42745697498321533,0.48711544275283813,1.0,0.22961698472499847,0.26591673493385315,0.489897221326828,0.22068053483963013
paramount,0.18428830802440643,0.19678142666816711,0.2514343559741974,0.3420375883579254,0.23081281781196594,0.1447969675064087,0.23606519401073456,0.21407467126846313,0.14623795449733734,0.36330583691596985,0.10294147580862045,0.1511610448360443
building,0.2712017297744751,0.12357988208532333,0.16594147682189941,0.10863203555345535,0.2374238669872284,0.23529528081417084,0.237406387925148,0.3159640431404114,0.154840350151062,0.20375382900238037,0.23121756315231323,0.13549931347370148
at,0.38876327872276306,0.08853987604379654,0.1278352290391922,0.12953892350196838,0.38314947485923767,0.2838611304759979,0.36707764863967896,0.457212895154953,0.0855112224817276,0.17487694323062897,0.23534239828586578,0.21978627145290375
