,which,uses,of,sculpture,are,represented,in,the,collection,?
this,0.6719430088996887,0.30266672372817993,0.45148900151252747,0.2081710249185562,0.35762670636177063,0.17991112172603607,0.45205554366111755,0.6274310946464539,0.2634904980659485,0.3155723512172699
covers,0.2966510057449341,0.23311232030391693,0.3789252042770386,0.25848910212516785,0.30161428451538086,0.20331817865371704,0.30597710609436035,0.326327383518219,0.2575444281101227,0.1432708352804184
among,0.3077724575996399,0.0744980052113533,0.3679063022136688,0.16899791359901428,0.3811550438404083,0.2677991986274719,0.3211768567562103,0.3507058024406433,0.24753311276435852,0.14343059062957764
other,0.50507652759552,0.2774812877178192,0.38583824038505554,0.15971827507019043,0.5932393670082092,0.2581391930580139,0.39989137649536133,0.44152235984802246,0.2705381214618683,0.24682199954986572
periods,0.3050041198730469,0.16728375852108002,0.256827712059021,0.24685880541801453,0.28607046604156494,0.1648610681295395,0.19927051663398743,0.27702534198760986,0.15778590738773346,0.167264923453331
byzantine,0.19234105944633484,0.1534724086523056,0.20621167123317719,0.25796404480934143,0.10193528980016708,0.09228256344795227,0.12042805552482605,0.20800244808197021,0.14682570099830627,0.21581105887889862
and,0.506277859210968,0.2964407801628113,0.5116966962814331,0.2538686692714691,0.48576638102531433,0.2506123185157776,0.4954058527946472,0.5171257257461548,0.2379438579082489,0.20544172823429108
anglo,0.19935423135757446,0.11066418886184692,0.24826140701770782,0.10816126316785812,0.0631089061498642,0.14037936925888062,0.2175951451063156,0.2960764169692993,0.15401989221572876,0.1584666669368744
saxon,0.2128669172525406,0.08689293265342712,0.2699488699436188,0.12308643758296967,0.10686341673135757,0.13048037886619568,0.20249444246292114,0.26529496908187866,0.19562719762325287,0.14814330637454987
ivory,0.23664973676204681,0.12836392223834991,0.18637466430664062,0.1303897351026535,0.1452624350786209,0.128267303109169,0.11369050294160843,0.2150457501411438,0.08448575437068939,0.1248474270105362
sculptures,0.2569587528705597,0.21185770630836487,0.2783608138561249,0.935681939125061,0.2671431005001068,0.262362003326416,0.2280999720096588,0.2478773295879364,0.3520832657814026,0.15626029670238495
",",0.3658004403114319,0.28387847542762756,0.4946078956127167,0.2533513307571411,0.4062570035457611,0.3088570833206177,0.5201468467712402,0.4933079481124878,0.2277175933122635,0.31091248989105225
british,0.2002234309911728,0.12002303451299667,0.23701532185077667,0.11034659296274185,0.12250547111034393,0.15302805602550507,0.23084034025669098,0.28973397612571716,0.15021207928657532,0.09711728990077972
",",0.3658004403114319,0.28387847542762756,0.4946078956127167,0.2533513307571411,0.4062570035457611,0.3088570833206177,0.5201468467712402,0.4933079481124878,0.2277175933122635,0.31091248989105225
french,0.1928994208574295,0.1597139984369278,0.19450366497039795,0.11434371769428253,0.15086305141448975,0.12750467658042908,0.22093388438224792,0.2555147111415863,0.12934844195842743,0.1386883556842804
and,0.506277859210968,0.2964407801628113,0.5116966962814331,0.2538686692714691,0.48576638102531433,0.2506123185157776,0.4954058527946472,0.5171257257461548,0.2379438579082489,0.20544172823429108
spanish,0.20215068757534027,0.13069185614585876,0.1623179167509079,0.11005251854658127,0.11603249609470367,0.12647056579589844,0.15696977078914642,0.23213517665863037,0.09870271384716034,0.14750491082668304
medieval,0.26363545656204224,0.196919247508049,0.31686919927597046,0.26194873452186584,0.13899409770965576,0.11186665296554565,0.2546980679035187,0.28617456555366516,0.2224784940481186,0.15571735799312592
statues,0.2173795998096466,0.1669652760028839,0.2774442732334137,0.6037310361862183,0.26315340399742126,0.2884085774421692,0.20076963305473328,0.23103664815425873,0.2877630293369293,0.08013036102056503
and,0.506277859210968,0.2964407801628113,0.5116966962814331,0.2538686692714691,0.48576638102531433,0.2506123185157776,0.4954058527946472,0.5171257257461548,0.2379438579082489,0.20544172823429108
carvings,0.3013688027858734,0.20408476889133453,0.28565263748168945,0.5515241026878357,0.3192385137081146,0.23923033475875854,0.21420523524284363,0.28780484199523926,0.309345543384552,0.18046538531780243
",",0.3658004403114319,0.28387847542762756,0.4946078956127167,0.2533513307571411,0.4062570035457611,0.3088570833206177,0.5201468467712402,0.4933079481124878,0.2277175933122635,0.31091248989105225
the,0.6521818041801453,0.2830192744731903,0.733189046382904,0.23690329492092133,0.40399202704429626,0.3256146013736725,0.6662389636039734,1.0,0.25281965732574463,0.22068053483963013
renaissance,0.1855861097574234,0.15552431344985962,0.21895526349544525,0.36997923254966736,0.102546826004982,0.07870805263519287,0.20993053913116455,0.2050212025642395,0.23197145760059357,0.12260647863149643
",",0.3658004403114319,0.28387847542762756,0.4946078956127167,0.2533513307571411,0.4062570035457611,0.3088570833206177,0.5201468467712402,0.4933079481124878,0.2277175933122635,0.31091248989105225
baroque,0.2507252097129822,0.14518794417381287,0.2631792426109314,0.40304139256477356,0.1555112600326538,0.18314579129219055,0.2545633316040039,0.2670498788356781,0.2354801744222641,0.1706247627735138
",",0.3658004403114319,0.28387847542762756,0.4946078956127167,0.2533513307571411,0.4062570035457611,0.3088570833206177,0.5201468467712402,0.4933079481124878,0.2277175933122635,0.31091248989105225
neo-classical,0.2732866704463959,0.25566622614860535,0.24696287512779236,0.32828396558761597,0.17853252589702606,0.1943918764591217,0.2559935450553894,0.191621795296669,0.27157673239707947,0.23916436731815338
",",0.3658004403114319,0.28387847542762756,0.4946078956127167,0.2533513307571411,0.4062570035457611,0.3088570833206177,0.5201468467712402,0.4933079481124878,0.2277175933122635,0.31091248989105225
victorian,0.25284335017204285,0.15110993385314941,0.28338366746902466,0.29165393114089966,0.20787982642650604,0.19489876925945282,0.21606117486953735,0.2753658890724182,0.16354292631149292,0.07572567462921143
and,0.506277859210968,0.2964407801628113,0.5116966962814331,0.2538686692714691,0.48576638102531433,0.2506123185157776,0.4954058527946472,0.5171257257461548,0.2379438579082489,0.20544172823429108
art,0.19862167537212372,0.15425992012023926,0.22648051381111145,0.4837363064289093,0.15355311334133148,0.11849413067102432,0.2282189577817917,0.20297785103321075,0.3446033000946045,0.138971745967865
