,which,british,sculptor,and,a,leading,member,of,the,new,sculpture,movement,is,represented,in,the,the,v,&,a,collection,?
sculptors,0.13536402583122253,0.15967923402786255,0.9001511931419373,0.20475885272026062,0.1509021818637848,0.15669099986553192,0.1718498021364212,0.19496163725852966,0.17251421511173248,0.1163947582244873,0.6866905093193054,0.22874034941196442,0.12596556544303894,0.24647600948810577,0.20806211233139038,0.17251421511173248,0.17251421511173248,0.14748424291610718,0.013516687788069248,0.1509021818637848,0.2775009274482727,0.1309177279472351
both,0.5140923857688904,0.22744378447532654,0.15585024654865265,0.5503310561180115,0.3171786069869995,0.34199103713035583,0.15871591866016388,0.3565710783004761,0.4931981563568115,0.21634207665920258,0.17097918689250946,0.19748543202877045,0.31409940123558044,0.26409292221069336,0.3960166871547699,0.4931981563568115,0.4931981563568115,0.12110912054777145,0.13048413395881653,0.3171786069869995,0.16977696120738983,0.19455738365650177
british,0.2002234309911728,1.0,0.15440207719802856,0.325880765914917,0.1984395682811737,0.2214033007621765,0.20028749108314514,0.23701532185077667,0.28973397612571716,0.19849099218845367,0.11034659296274185,0.18697787821292877,0.19484983384609222,0.15302805602550507,0.23084034025669098,0.28973397612571716,0.28973397612571716,0.1269635409116745,0.14896833896636963,0.1984395682811737,0.15021207928657532,0.09711728990077972
and,0.506277859210968,0.325880765914917,0.1751534640789032,1.0,0.3739250600337982,0.34015700221061707,0.28606608510017395,0.5116966962814331,0.5171257257461548,0.31402453780174255,0.2538686692714691,0.2837696671485901,0.3859752118587494,0.2506123185157776,0.4954058527946472,0.5171257257461548,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.2379438579082489,0.20544172823429108
europeans,0.20644523203372955,0.266691118478775,0.2068013995885849,0.24619607627391815,0.15935876965522766,0.1487366110086441,0.099543996155262,0.17975986003875732,0.3299996256828308,0.16408655047416687,0.16125443577766418,0.16682085394859314,0.14985701441764832,0.12798595428466797,0.22646811604499817,0.3299996256828308,0.3299996256828308,0.12295258045196533,0.06370405107736588,0.15935876965522766,0.08994738757610321,0.16229631006717682
who,0.3688730001449585,0.2666113078594208,0.24923312664031982,0.41279885172843933,0.36608949303627014,0.25606170296669006,0.3046252727508545,0.2827862501144409,0.3733934462070465,0.2378052920103073,0.1971929967403412,0.1981392204761505,0.24293622374534607,0.17065028846263885,0.2792111933231354,0.3733934462070465,0.3733934462070465,0.06742344051599503,0.09244576841592789,0.36608949303627014,0.11647152900695801,0.26220351457595825
were,0.2807837128639221,0.27742838859558105,0.16260948777198792,0.42175528407096863,0.17203083634376526,0.1924321949481964,0.1471366137266159,0.34038281440734863,0.3906462490558624,0.21711495518684387,0.20986761152744293,0.14767701923847198,0.29386836290359497,0.2571416199207306,0.3815755248069763,0.3906462490558624,0.3906462490558624,0.1089601069688797,0.1205248013138771,0.17203083634376526,0.22638525068759918,0.17890112102031708
based,0.3473800718784332,0.19058464467525482,0.08110788464546204,0.2660958170890808,0.2977409064769745,0.15565736591815948,0.11324036121368408,0.3033197224140167,0.29860720038414,0.20658165216445923,0.054791003465652466,0.13003095984458923,0.3248139023780823,0.2003517746925354,0.3070422410964966,0.29860720038414,0.29860720038414,0.12422794848680496,0.14534787833690643,0.2977409064769745,0.2288035899400711,0.134929820895195
in,0.4840516746044159,0.23084034025669098,0.18095266819000244,0.4954058527946472,0.539380669593811,0.33273574709892273,0.20856694877147675,0.5696388483047485,0.6662389636039734,0.3758552670478821,0.23036405444145203,0.26725053787231445,0.5394441485404968,0.33309870958328247,1.0,0.6662389636039734,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.23004686832427979,0.20430970191955566
britain,0.25284263491630554,0.4846838712692261,0.17066803574562073,0.3187123239040375,0.18575294315814972,0.2340812087059021,0.11647523194551468,0.28899943828582764,0.29784059524536133,0.24666990339756012,0.1617356389760971,0.13986723124980927,0.1415579617023468,0.18416191637516022,0.26246872544288635,0.29784059524536133,0.29784059524536133,0.17508196830749512,0.14032991230487823,0.18575294315814972,0.1765190064907074,0.1268460750579834
