,the,art,deco,period,of,textiles,works,is,represented,by,which,american,artist,?
the,1.0,0.20297785103321075,0.21593374013900757,0.3125074505805969,0.733189046382904,0.26939645409584045,0.26337864995002747,0.5823672413825989,0.3256146013736725,0.4408751428127289,0.6521818041801453,0.24562937021255493,0.1862100064754486,0.22068053483963013
art,0.20297785103321075,1.0,0.4044087827205658,0.1769259124994278,0.22648051381111145,0.2970336079597473,0.35882219672203064,0.17386884987354279,0.11849413067102432,0.2189643532037735,0.19862167537212372,0.20124250650405884,0.47621312737464905,0.138971745967865
deco,0.21593374013900757,0.4044087827205658,0.9999999403953552,0.18426741659641266,0.18968187272548676,0.3736353814601898,0.26126885414123535,0.1278458833694458,0.11158245801925659,0.20005418360233307,0.24492332339286804,0.1959686428308487,0.27611660957336426,0.15149420499801636
period,0.3125074505805969,0.1769259124994278,0.18426741659641266,1.0,0.2698146104812622,0.1724892556667328,0.20743916928768158,0.1838376820087433,0.1262998878955841,0.22862431406974792,0.31679004430770874,0.1252378672361374,0.1537814736366272,0.18706195056438446
is,0.5823672413825989,0.17386884987354279,0.1278458833694458,0.1838376820087433,0.4854315221309662,0.20650741457939148,0.30236580967903137,1.0,0.30249524116516113,0.3899846076965332,0.4457404911518097,0.1853146106004715,0.20089514553546906,0.22961433231830597
covered,0.3132939636707306,0.1280093789100647,0.1745724081993103,0.1718197762966156,0.28798651695251465,0.25780901312828064,0.14301307499408722,0.2292746752500534,0.27573126554489136,0.2547268867492676,0.3525405526161194,0.18049602210521698,0.19831730425357819,0.139833465218544
by,0.4408751428127289,0.2189643532037735,0.20005418360233307,0.22862431406974792,0.3646814823150635,0.18405647575855255,0.2887086570262909,0.3899846076965332,0.23673410713672638,1.0000001192092896,0.40543368458747864,0.2777634859085083,0.24115848541259766,0.17966607213020325
rugs,0.2105589658021927,0.2904561460018158,0.3032369017601013,0.18278905749320984,0.2247489094734192,0.4917493164539337,0.2108253538608551,0.20502832531929016,0.10603553801774979,0.19982434809207916,0.3168089687824249,0.2046179622411728,0.22523106634616852,0.14074210822582245
and,0.5171257257461548,0.2631918787956238,0.24465420842170715,0.23878438770771027,0.5116966962814331,0.3158003091812134,0.33871909976005554,0.3859752118587494,0.2506123185157776,0.4289871156215668,0.506277859210968,0.32290002703666687,0.20686885714530945,0.20544172823429108
fabrics,0.18533189594745636,0.25616082549095154,0.3457662761211395,0.09634368866682053,0.2001950889825821,0.5976934432983398,0.21112802624702454,0.18313418328762054,0.08272785693407059,0.18655887246131897,0.23743638396263123,0.1331205517053604,0.2087685763835907,0.18828201293945312
designed,0.2559613883495331,0.214391827583313,0.33819010853767395,0.13144980370998383,0.2000347077846527,0.314540296792984,0.26020848751068115,0.18406619131565094,0.21455726027488708,0.29250532388687134,0.3073212206363678,0.14698347449302673,0.2609371244907379,0.11213942617177963
by,0.4408751428127289,0.2189643532037735,0.20005418360233307,0.22862431406974792,0.3646814823150635,0.18405647575855255,0.2887086570262909,0.3899846076965332,0.23673410713672638,1.0000001192092896,0.40543368458747864,0.2777634859085083,0.24115848541259766,0.17966607213020325
marion,0.2377777248620987,0.2489314079284668,0.19351021945476532,0.0861392542719841,0.2019040584564209,0.2155354619026184,0.16968375444412231,0.2186208963394165,0.12166905403137207,0.18267324566841125,0.08945772796869278,0.2567305862903595,0.23267413675785065,0.05577502399682999
dorn,0.3001030385494232,0.13188838958740234,0.10802406817674637,0.10355633497238159,0.23080740869045258,0.15603584051132202,0.02732223831117153,0.1887187659740448,0.10279440134763718,0.20253387093544006,0.12166862189769745,0.24185103178024292,0.17709241807460785,0.1912359595298767
.,0.5934505462646484,0.21795564889907837,0.22705966234207153,0.2575049102306366,0.5352458953857422,0.24163475632667542,0.28871041536331177,0.4569662809371948,0.26645728945732117,0.3936232924461365,0.45942068099975586,0.29108086228370667,0.22495654225349426,0.4130953550338745
