,after,the,peterloo,massacre,what,poet,wrote,the,massacre,of,anarchy,?
following,0.39623188972473145,0.39779382944107056,0.18941181898117065,0.1143399029970169,0.2506418824195862,0.05426355078816414,0.06319846957921982,0.39779382944107056,0.1143399029970169,0.3576679527759552,0.23013724386692047,0.1555173695087433
the,0.4565047025680542,1.0,0.35128697752952576,0.23870180547237396,0.42745697498321533,0.14614954590797424,0.2426944375038147,1.0,0.23870180547237396,0.733189046382904,0.18858380615711212,0.22068053483963013
peterloo,0.26632988452911377,0.35128697752952576,1.0,0.27551349997520447,0.22300104796886444,0.1820559948682785,0.18819038569927216,0.35128697752952576,0.27551349997520447,0.3140549957752228,0.32298794388771057,0.19034317135810852
massacre,0.24522525072097778,0.23870180547237396,0.27551349997520447,1.0,0.16681800782680511,0.14565302431583405,0.19730037450790405,0.23870180547237396,1.0,0.20526865124702454,0.19427885115146637,0.17941462993621826
of,0.3867455720901489,0.733189046382904,0.3140549957752228,0.20526865124702454,0.33290785551071167,0.1686325967311859,0.30241408944129944,0.733189046382904,0.20526865124702454,1.0,0.19957754015922546,0.1826142966747284
1819,-0.24125942587852478,-0.16549162566661835,-0.10235578566789627,-0.0982096791267395,0.05345098301768303,-0.0622074194252491,0.04974767193198204,-0.16549162566661835,-0.0982096791267395,-0.16544584929943085,0.04750843718647957,0.11997729539871216
",",0.38860568404197693,0.4933079481124878,0.3074131906032562,0.22544804215431213,0.3087472915649414,0.27895280718803406,0.27225261926651,0.4933079481124878,0.22544804215431213,0.4946078956127167,0.20300085842609406,0.31091248989105225
poet,0.15513473749160767,0.14614954590797424,0.1820559948682785,0.14565302431583405,0.10796449333429337,1.0,0.40876615047454834,0.14614954590797424,0.14565302431583405,0.1686325967311859,0.17459262907505035,0.16892145574092865
percy,0.19819915294647217,0.24403482675552368,0.15950511395931244,0.13335347175598145,0.15628266334533691,0.14539776742458344,0.19175748527050018,0.24403482675552368,0.13335347175598145,0.19737383723258972,0.07709474861621857,0.13365407288074493
shelley,0.18856173753738403,0.19734613597393036,0.16031798720359802,0.1817121058702469,0.1713116317987442,0.3489963114261627,0.2832065522670746,0.19734613597393036,0.1817121058702469,0.15595409274101257,0.1891411691904068,0.16777275502681732
wrote,0.1785324513912201,0.2426944375038147,0.18819038569927216,0.19730037450790405,0.2664989233016968,0.40876615047454834,0.9999999403953552,0.2426944375038147,0.19730037450790405,0.30241408944129944,0.2298762947320938,0.19322504103183746
the,0.4565047025680542,1.0,0.35128697752952576,0.23870180547237396,0.42745697498321533,0.14614954590797424,0.2426944375038147,1.0,0.23870180547237396,0.733189046382904,0.18858380615711212,0.22068053483963013
political,0.2005874365568161,0.20477235317230225,0.20396392047405243,0.17232359945774078,0.21846716105937958,0.23644554615020752,0.27998045086860657,0.20477235317230225,0.17232359945774078,0.27319738268852234,0.3983848989009857,0.17130474746227264
poem,0.16931582987308502,0.22930538654327393,0.2281935065984726,0.16608476638793945,0.19967712461948395,0.6045802235603333,0.47295135259628296,0.22930538654327393,0.16608476638793945,0.2282063513994217,0.22461247444152832,0.17328360676765442
