,before,which,military,campaign,did,chagatai,publicly,dispute,jochi,'s,paternity,?
in,0.4155850410461426,0.4840516746044159,0.2402431070804596,0.2438942790031433,0.2593238651752472,0.22087299823760986,0.17667265236377716,0.2249964326620102,0.20567668974399567,-0.037580832839012146,0.25525954365730286,0.20430970191955566
the,0.45900648832321167,0.6521818041801453,0.2290858030319214,0.2755736708641052,0.34736719727516174,0.30581143498420715,0.2108452022075653,0.2852358818054199,0.19898229837417603,-0.01540423184633255,0.2534412145614624,0.22068053483963013
secret,0.15079227089881897,0.22167983651161194,0.31541743874549866,0.11155305802822113,0.20489433407783508,0.21976937353610992,0.3102133274078369,0.19075310230255127,0.11408139765262604,0.07042068988084793,0.27336445450782776,0.16440534591674805
history,0.28429466485977173,0.2426081746816635,0.2868328094482422,0.17743538320064545,0.24950987100601196,0.20236776769161224,0.19567178189754486,0.24610669910907745,0.056196946650743484,-0.0466335192322731,0.1432534158229828,0.2501974403858185
of,0.3282964527606964,0.5011631846427917,0.27347031235694885,0.23278115689754486,0.2513895630836487,0.29625993967056274,0.17506715655326843,0.2382534146308899,0.15254677832126617,-0.03817026689648628,0.22376467287540436,0.1826142966747284
the,0.45900648832321167,0.6521818041801453,0.2290858030319214,0.2755736708641052,0.34736719727516174,0.30581143498420715,0.2108452022075653,0.2852358818054199,0.19898229837417603,-0.01540423184633255,0.2534412145614624,0.22068053483963013
mongols,0.2205735445022583,0.23739531636238098,0.28746098279953003,0.17285825312137604,0.21908389031887054,0.48525992035865784,0.1550217568874359,0.17932090163230896,0.24881470203399658,-0.027451662346720695,0.1254282295703888,0.11517509818077087
",",0.3156566619873047,0.3658004403114319,0.2611614465713501,0.18021923303604126,0.3015086054801941,0.32211196422576904,0.24996495246887207,0.23539960384368896,0.2696787714958191,-0.0016132977325469255,0.24102747440338135,0.31091248989105225
just,0.45359137654304504,0.46308982372283936,0.1864062249660492,0.23313212394714355,0.38283270597457886,0.07478613406419754,0.21547511219978333,0.22329337894916534,0.16954858601093292,0.1000472754240036,0.20855557918548584,0.4144178032875061
before,1.0,0.3430410623550415,0.13898859918117523,0.21423722803592682,0.33642593026161194,0.15989626944065094,0.24466754496097565,0.2150515913963318,0.2364732176065445,-0.01158253662288189,0.16154028475284576,0.2507109045982361
the,0.45900648832321167,0.6521818041801453,0.2290858030319214,0.2755736708641052,0.34736719727516174,0.30581143498420715,0.2108452022075653,0.2852358818054199,0.19898229837417603,-0.01540423184633255,0.2534412145614624,0.22068053483963013
invasion,0.2627001106739044,0.25346121191978455,0.3160407543182373,0.38985133171081543,0.1800924837589264,0.2546769380569458,0.2240283489227295,0.2750658690929413,0.16212977468967438,-0.029328476637601852,0.17961716651916504,0.18923960626125336
of,0.3282964527606964,0.5011631846427917,0.27347031235694885,0.23278115689754486,0.2513895630836487,0.29625993967056274,0.17506715655326843,0.2382534146308899,0.15254677832126617,-0.03817026689648628,0.22376467287540436,0.1826142966747284
the,0.45900648832321167,0.6521818041801453,0.2290858030319214,0.2755736708641052,0.34736719727516174,0.30581143498420715,0.2108452022075653,0.2852358818054199,0.19898229837417603,-0.01540423184633255,0.2534412145614624,0.22068053483963013
khwarezmid,0.27514028549194336,0.3916093707084656,0.28144797682762146,0.25009801983833313,0.22991929948329926,0.4984942674636841,0.26706936955451965,0.22421416640281677,0.3790625035762787,0.04129724204540253,0.22081387042999268,0.25827765464782715
empire,0.21532359719276428,0.1975056380033493,0.31379666924476624,0.22159694135189056,0.18850058317184448,0.4092197120189667,0.16772884130477905,0.16139119863510132,0.13797084987163544,-0.011798231862485409,0.12983295321464539,0.14909450709819794
by,0.37709173560142517,0.40543368458747864,0.2170676290988922,0.15816208720207214,0.18574509024620056,0.27631381154060364,0.31871891021728516,0.20251576602458954,0.12535150349140167,-0.010884488001465797,0.18424266576766968,0.17966607213020325
genghis,0.21553796529769897,0.26472097635269165,0.29472070932388306,0.23256222903728485,0.18339850008487701,0.5115617513656616,0.12270157039165497,0.21811604499816895,0.4016976058483124,0.031423866748809814,0.24109986424446106,0.18813461065292358
khan,0.13899727165699005,0.19211235642433167,0.22762557864189148,0.1521226167678833,0.155345618724823,0.39546430110931396,0.08228752762079239,0.1372058242559433,0.30853474140167236,0.05307086929678917,0.12114142626523972,0.12862591445446014
",",0.3156566619873047,0.3658004403114319,0.2611614465713501,0.18021923303604126,0.3015086054801941,0.32211196422576904,0.24996495246887207,0.23539960384368896,0.2696787714958191,-0.0016132977325469255,0.24102747440338135,0.31091248989105225
chagatai,0.15989626944065094,0.23523885011672974,0.2970240116119385,0.13575506210327148,0.10563245415687561,0.9999999403953552,0.11869609355926514,0.18011830747127533,0.5072594285011292,0.001981237204745412,0.1317056119441986,0.1902039349079132
declared,0.2471090853214264,0.22968026995658875,0.27409207820892334,0.26465463638305664,0.23851890861988068,0.21688050031661987,0.2905713617801666,0.24147917330265045,0.10527390241622925,-0.012038737535476685,0.1770315170288086,0.17688149213790894
before,1.0,0.3430410623550415,0.13898859918117523,0.21423722803592682,0.33642593026161194,0.15989626944065094,0.24466754496097565,0.2150515913963318,0.2364732176065445,-0.01158253662288189,0.16154028475284576,0.2507109045982361
his,0.358011394739151,0.32283493876457214,0.2637975513935089,0.28777557611465454,0.3546801507472992,0.20904451608657837,0.2848643958568573,0.2178959846496582,0.22831186652183533,0.047556519508361816,0.3704262375831604,0.18075084686279297
father,0.21502244472503662,0.19622015953063965,0.18271124362945557,0.17883126437664032,0.3227277100086212,0.15548881888389587,0.22738902270793915,0.11912470310926437,0.2501698136329651,0.029256420210003853,0.4578801095485687,0.14826634526252747
and,0.3518902659416199,0.506277859210968,0.2530125379562378,0.20802859961986542,0.34479495882987976,0.2582676410675049,0.22679471969604492,0.22863776981830597,0.17898419499397278,0.06895173341035843,0.25903844833374023,0.20544172823429108
brothers,0.20153018832206726,0.2096787691116333,0.16437935829162598,0.1546722799539566,0.2131693810224533,0.18002945184707642,0.1923309713602066,0.09046125411987305,0.16120342910289764,0.033226870000362396,0.3962252736091614,0.11019307374954224
that,0.40745505690574646,0.6894589066505432,0.19748787581920624,0.19006803631782532,0.47518548369407654,0.15076592564582825,0.34175193309783936,0.2636946141719818,0.11676155030727386,0.04397977516055107,0.2539120614528656,0.32716336846351624
