,who,designed,abc,'s,1998,new,graphic,design,?
in,0.2792111933231354,0.22657902538776398,0.1697147786617279,-0.037580832839012146,-0.07160314172506332,0.3758552670478821,0.2011031210422516,0.21856798231601715,0.20430970191955566
1998,0.10716468840837479,-0.13663382828235626,-0.07656101137399673,-0.03841366618871689,0.9999999403953552,-0.019135894253849983,-0.037341777235269547,-0.0785948857665062,0.11714459210634232
",",0.3365725874900818,0.201692596077919,0.2097204476594925,-0.0016132977325469255,0.02818203717470169,0.36073189973831177,0.2945423722267151,0.19350415468215942,0.31091248989105225
the,0.3733934462070465,0.2559613883495331,0.2068762183189392,-0.01540423184633255,-0.047468025237321854,0.3845241069793701,0.21247245371341705,0.27913451194763184,0.22068053483963013
network,0.16999904811382294,0.14420302212238312,0.4295894205570221,0.07819218933582306,-0.05322260409593582,0.18174515664577484,0.22064122557640076,0.1834171861410141,0.17853789031505585
began,0.1646115779876709,0.2191687673330307,0.2686883211135864,-0.026281554251909256,0.05138073116540909,0.22779060900211334,0.16111674904823303,0.1863679438829422,0.1370266228914261
using,0.24094825983047485,0.2684326767921448,0.1571076661348343,-0.029558077454566956,-0.10688318312168121,0.22660274803638458,0.26847001910209656,0.18638721108436584,0.2804589569568634
a,0.36608949303627014,0.28430381417274475,0.21331243216991425,0.04866964742541313,-0.06511568278074265,0.3214259147644043,0.24900485575199127,0.25211480259895325,0.23916715383529663
minimalist,0.1812981814146042,0.30000388622283936,0.1934114396572113,0.08678227663040161,0.05343130603432655,0.2450503408908844,0.4160975217819214,0.3466571569442749,0.16724365949630737
graphical,0.10841045528650284,0.31534504890441895,0.15640294551849365,-0.03480346128344536,-0.07699627429246902,0.23597782850265503,0.7163627743721008,0.3860973119735718,0.18758532404899597
identity,0.30720454454421997,0.10401618480682373,0.11982347816228867,-0.05894738435745239,0.05969470739364624,0.25331684947013855,0.24208523333072662,0.18752291798591614,0.1520950198173523
",",0.3365725874900818,0.201692596077919,0.2097204476594925,-0.0016132977325469255,0.02818203717470169,0.36073189973831177,0.2945423722267151,0.19350415468215942,0.31091248989105225
designed,0.21097040176391602,1.0,0.07537854462862015,0.026795532554388046,-0.13663382828235626,0.16224907338619232,0.29604580998420715,0.7167810201644897,0.11213942617177963
by,0.39727845788002014,0.29250532388687134,0.17600902915000916,-0.010884488001465797,-0.05810553580522537,0.25394493341445923,0.22509165108203888,0.20755122601985931,0.17966607213020325
pittard,0.21131321787834167,0.10612262040376663,0.16931308805942535,0.04476471245288849,-0.08740028738975525,0.17543324828147888,0.1533733606338501,0.0589146688580513,0.1586228460073471
sullivan,0.18879558145999908,0.13181674480438232,0.28608325123786926,0.09036604315042496,-0.15032440423965454,0.2607998847961426,0.12191734462976456,0.12907983362674713,0.15503181517124176
",",0.3365725874900818,0.201692596077919,0.2097204476594925,-0.0016132977325469255,0.02818203717470169,0.36073189973831177,0.2945423722267151,0.19350415468215942,0.31091248989105225
featuring,0.19577710330486298,0.26133930683135986,0.24525749683380127,0.006669926922768354,-0.17220713198184967,0.20780088007450104,0.25099605321884155,0.20842500030994415,0.24838131666183472
a,0.36608949303627014,0.28430381417274475,0.21331243216991425,0.04866964742541313,-0.06511568278074265,0.3214259147644043,0.24900485575199127,0.25211480259895325,0.23916715383529663
small,0.23894593119621277,0.1912597119808197,0.07600761950016022,0.08369652181863785,-0.13972420990467072,0.24805447459220886,0.16040071845054626,0.18687321245670319,0.13914890587329865
black-and-white,0.293375700712204,0.22073370218276978,0.2835651934146881,0.06830554455518723,-0.11257815361022949,0.26287490129470825,0.25022321939468384,0.2502465546131134,0.22171147167682648
