,when,did,abc,announce,the,restructure,of,abc,radio,?
on,0.37706470489501953,0.2670976221561432,0.2862928807735443,0.24828478693962097,0.5107308030128479,0.23209203779697418,0.3966929316520691,0.2862928807735443,0.2590620815753937,0.2714994251728058
october,0.273419588804245,0.2746104896068573,0.1661696434020996,0.2088567614555359,0.2621108889579773,0.15843278169631958,0.20846129953861237,0.1661696434020996,0.2090885490179062,0.29706719517707825
19,-0.114084392786026,-0.056934259831905365,-0.10630513727664948,0.06411731988191605,-0.17766842246055603,0.06441173702478409,-0.18954584002494812,-0.10630513727664948,-0.012614128179848194,0.008002291433513165
",",0.36674630641937256,0.3015086054801941,0.2097204476594925,0.19437241554260254,0.4933079481124878,0.23221123218536377,0.4946078956127167,0.2097204476594925,0.25251123309135437,0.31091248989105225
2005,0.001997772604227066,0.11135691404342651,-0.0381508432328701,0.07310070842504501,0.037273142486810684,-0.042041391134262085,0.017815761268138885,-0.0381508432328701,0.08115923404693604,0.10709824413061142
",",0.36674630641937256,0.3015086054801941,0.2097204476594925,0.19437241554260254,0.4933079481124878,0.23221123218536377,0.4946078956127167,0.2097204476594925,0.25251123309135437,0.31091248989105225
abc,0.13294127583503723,0.13353709876537323,1.0000001192092896,0.15392394363880157,0.2068762183189392,0.114304319024086,0.14607268571853638,1.0000001192092896,0.35354745388031006,0.19065172970294952
announced,0.15404565632343292,0.2690480351448059,0.20444560050964355,0.8293300867080688,0.2277132272720337,0.1759602576494217,0.22339491546154022,0.20444560050964355,0.15069566667079926,0.17416009306907654
the,0.5091903209686279,0.34736719727516174,0.2068762183189392,0.2190934419631958,1.0,0.364615261554718,0.733189046382904,0.2068762183189392,0.23511973023414612,0.22068053483963013
restructuring,0.2351677119731903,0.20865386724472046,0.09793004393577576,0.19138263165950775,0.34638622403144836,0.8718278408050537,0.33933889865875244,0.09793004393577576,0.20394624769687653,0.15514205396175385
of,0.3757161796092987,0.2513895630836487,0.14607268571853638,0.23663374781608582,0.733189046382904,0.3299446403980255,1.0,0.14607268571853638,0.16079017519950867,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,0.2068762183189392,0.2190934419631958,1.0,0.364615261554718,0.733189046382904,0.2068762183189392,0.23511973023414612,0.22068053483963013
group,0.22595302760601044,0.13719572126865387,0.11665991693735123,0.18209445476531982,0.30795547366142273,0.2785997688770294,0.25542253255844116,0.11665991693735123,0.12766756117343903,0.13827809691429138
into,0.389646977186203,0.14888085424900055,0.10410027205944061,0.18757103383541107,0.39493247866630554,0.24386972188949585,0.32255905866622925,0.10410027205944061,0.15239199995994568,0.15662476420402527
six,0.28502458333969116,0.20388470590114594,0.16650718450546265,0.12150079756975174,0.3614266812801361,0.13156837224960327,0.3317931592464447,0.16650718450546265,0.08286763727664948,0.15298804640769958
divisions,0.1958957463502884,0.18186211585998535,0.22049714624881744,0.09224729984998703,0.3125615119934082,0.21616122126579285,0.3138268291950226,0.22049714624881744,0.1063358262181282,0.14903524518013
:,-0.04432349652051926,-0.05305134505033493,-0.06154730170965195,-0.07300172746181488,-0.03403344005346298,-0.08425431698560715,-0.08807745575904846,-0.06154730170965195,-0.055205088108778,-0.07156077772378922
entertainment,0.15448303520679474,0.1571095585823059,0.28069135546684265,0.14786864817142487,0.19077853858470917,0.1932247281074524,0.1392667293548584,0.28069135546684265,0.22953850030899048,0.11855241656303406
communications,0.18510828912258148,0.18106533586978912,0.25629571080207825,0.2188090831041336,0.2746332883834839,0.31114158034324646,0.24724911153316498,0.25629571080207825,0.43149295449256897,0.09561901539564133
",",0.36674630641937256,0.3015086054801941,0.2097204476594925,0.19437241554260254,0.4933079481124878,0.23221123218536377,0.4946078956127167,0.2097204476594925,0.25251123309135437,0.31091248989105225
communications,0.18510828912258148,0.18106533586978912,0.25629571080207825,0.2188090831041336,0.2746332883834839,0.31114158034324646,0.24724911153316498,0.25629571080207825,0.43149295449256897,0.09561901539564133
resources,0.2354515790939331,0.19938795268535614,0.12427710741758347,0.11881186813116074,0.25734785199165344,0.3485737144947052,0.2746381163597107,0.12427710741758347,0.10382190346717834,0.26047492027282715
",",0.36674630641937256,0.3015086054801941,0.2097204476594925,0.19437241554260254,0.4933079481124878,0.23221123218536377,0.4946078956127167,0.2097204476594925,0.25251123309135437,0.31091248989105225
kids,0.16091230511665344,0.16802208125591278,0.37791305780410767,0.21962566673755646,0.18819834291934967,0.14318449795246124,0.13836975395679474,0.37791305780410767,0.2214009165763855,0.29497838020324707
communications,0.18510828912258148,0.18106533586978912,0.25629571080207825,0.2188090831041336,0.2746332883834839,0.31114158034324646,0.24724911153316498,0.25629571080207825,0.43149295449256897,0.09561901539564133
",",0.36674630641937256,0.3015086054801941,0.2097204476594925,0.19437241554260254,0.4933079481124878,0.23221123218536377,0.4946078956127167,0.2097204476594925,0.25251123309135437,0.31091248989105225
news,0.21400131285190582,0.18422135710716248,0.40620431303977966,0.2919333875179291,0.2294066995382309,0.13605926930904388,0.1894020140171051,0.40620431303977966,0.3966260850429535,0.1899169683456421
communications,0.18510828912258148,0.18106533586978912,0.25629571080207825,0.2188090831041336,0.2746332883834839,0.31114158034324646,0.24724911153316498,0.25629571080207825,0.43149295449256897,0.09561901539564133
