,what,year,did,abc,'s,``,tgif,'',end,?
in,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.1697147786617279,-0.037580832839012146,0.04765888676047325,0.2538115680217743,0.07432962208986282,0.28539085388183594,0.20430970191955566
addition,0.20643717050552368,0.1745775192975998,0.24481791257858276,0.15853777527809143,-0.07300050556659698,0.04716494679450989,0.15524159371852875,0.040365759283304214,0.14443816244602203,0.19187232851982117
to,0.455847829580307,0.23523004353046417,0.4452643394470215,0.1762417107820511,0.03782717138528824,0.06720756739377975,0.21771599352359772,-0.009905828163027763,0.3229445815086365,0.29463258385658264
who,0.40942975878715515,0.2851492762565613,0.34038686752319336,0.14673753082752228,0.05599616840481758,0.02397952415049076,0.20505306124687195,0.024401003494858742,0.15423893928527832,0.26220351457595825
wants,0.35083848237991333,0.15589238703250885,0.3883235454559326,0.13110113143920898,0.034207552671432495,0.001031277934089303,0.1965913623571396,-0.043221745640039444,0.21019086241722107,0.28174707293510437
to,0.455847829580307,0.23523004353046417,0.4452643394470215,0.1762417107820511,0.03782717138528824,0.06720756739377975,0.21771599352359772,-0.009905828163027763,0.3229445815086365,0.29463258385658264
be,0.3929833769798279,0.2296248972415924,0.22657383978366852,0.14780379831790924,0.025217169895768166,0.07670000940561295,0.2942854166030884,0.08835477381944656,0.26300522685050964,0.3324260413646698
a,0.3320399522781372,0.29350247979164124,0.2552328109741211,0.21331243216991425,0.04866964742541313,0.07272057235240936,0.3449760377407074,0.04890415817499161,0.28924596309661865,0.23916715383529663
millionaire,0.20887447893619537,0.19962263107299805,0.16146524250507355,0.2397671937942505,0.05900312587618828,-0.01520981453359127,0.18575479090213776,0.04452797770500183,0.10473623126745224,0.24294789135456085
",",0.3087472915649414,0.28560417890548706,0.3015086054801941,0.2097204476594925,-0.0016132977325469255,0.09681109338998795,0.25964197516441345,-0.037358131259679794,0.25448864698410034,0.31091248989105225
the,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.2068762183189392,-0.01540423184633255,0.029072100296616554,0.28913572430610657,0.041273195296525955,0.39658910036087036,0.22068053483963013
network,0.16917307674884796,0.1478661298751831,0.08572790026664734,0.4295894205570221,0.07819218933582306,-0.02085288055241108,0.2553120255470276,0.022929158061742783,0.12521885335445404,0.17853789031505585
entered,0.14647741615772247,0.22097553312778473,0.24553436040878296,0.1558128148317337,0.035296715795993805,0.02531263418495655,0.2516389489173889,0.016871409490704536,0.2179441750049591,0.10335487127304077
the,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.2068762183189392,-0.01540423184633255,0.029072100296616554,0.28913572430610657,0.041273195296525955,0.39658910036087036,0.22068053483963013
2000s,0.1495852917432785,-0.09579361230134964,0.044008102267980576,-0.0977819412946701,-0.03648130223155022,-0.01317654363811016,0.020800301805138588,-0.04094113036990166,-0.11594820022583008,0.2498977780342102
with,0.2464839518070221,0.3220449686050415,0.25472134351730347,0.17432008683681488,-0.04624466598033905,0.08974023163318634,0.2142193466424942,0.07907696813344955,0.23444485664367676,0.2433311939239502
hits,0.22194896638393402,0.2209426313638687,0.19305354356765747,0.1388423591852188,-0.013539817184209824,-0.04243125021457672,0.21598011255264282,-0.04076046869158745,0.16683608293533325,0.18031644821166992
