,what,is,engineering,news-record,?
engineering,0.1897483468055725,0.21758246421813965,0.9999999403953552,0.278288334608078,0.16555240750312805
news-record,0.2136155366897583,0.18377912044525146,0.278288334608078,1.0,0.2282266616821289
(,0.2411840260028839,0.35393038392066956,0.16645148396492004,0.3014277517795563,0.40561532974243164
enr,0.1867682784795761,0.17916631698608398,0.28695154190063477,0.2810954749584198,0.115506611764431
),0.26259949803352356,0.37732169032096863,0.19402268528938293,0.31761205196380615,0.42300865054130554
is,0.28837618231773376,1.0,0.21758246421813965,0.18377912044525146,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.22954386472702026,0.2368163764476776,0.23916715383529663
trade,0.1555381417274475,0.17870411276817322,0.17401522397994995,0.20229138433933258,0.09336511790752411
magazine,0.16423653066158295,0.16479767858982086,0.15368270874023438,0.3943250775337219,0.15570664405822754
for,0.3017193675041199,0.43268078565597534,0.25135883688926697,0.2375830113887787,0.264628142118454
the,0.42745697498321533,0.5823672413825989,0.23901307582855225,0.2529018819332123,0.22068053483963013
construction,0.20329850912094116,0.2135658711194992,0.43152761459350586,0.18559132516384125,0.13494056463241577
industry,0.1966298520565033,0.25796735286712646,0.3973757326602936,0.24408046901226044,0.11813290417194366
.,0.3567904531955719,0.4569662809371948,0.18122120201587677,0.2606039047241211,0.4130953550338745
