,who,produced,the,comedy-drama,the,love,boat,?
for,0.37110671401023865,0.16180217266082764,0.4739971458911896,0.2614493668079376,0.4739971458911896,0.21999943256378174,0.16991357505321503,0.264628142118454
its,0.1326070874929428,0.19729402661323547,0.559237003326416,0.1717248260974884,0.559237003326416,0.16419528424739838,0.12511000037193298,0.15103481709957123
part,0.19576206803321838,0.17056989669799805,0.527681291103363,0.18887220323085785,0.527681291103363,0.13839273154735565,0.1417444944381714,0.08557961881160736
",",0.3365725874900818,0.22260788083076477,0.4933079481124878,0.24939660727977753,0.4933079481124878,0.2663334012031555,0.21446914970874786,0.31091248989105225
the,0.3733934462070465,0.22045251727104187,1.0,0.249520942568779,1.0,0.19631516933441162,0.2424127608537674,0.22068053483963013
television,0.2515988349914551,0.2796446681022644,0.24569597840309143,0.583237886428833,0.24569597840309143,0.1656530499458313,0.1775071769952774,0.16825827956199646
network,0.16999904811382294,0.19572307169437408,0.27187061309814453,0.2571260631084442,0.27187061309814453,0.15259890258312225,0.1168074756860733,0.17853789031505585
produced,0.12907662987709045,1.0000001192092896,0.22045251727104187,0.28895267844200134,0.22045251727104187,0.1863280087709427,0.13486036658287048,0.1623450517654419
a,0.36608949303627014,0.21993228793144226,0.5829201340675354,0.2775287330150604,0.5829201340675354,0.23674970865249634,0.26391369104385376,0.23916715383529663
few,0.3378944993019104,0.14327098429203033,0.34660017490386963,0.16689082980155945,0.34660017490386963,0.178742915391922,0.15968048572540283,0.2334265559911728
new,0.2378052920103073,0.1377270370721817,0.3845241069793701,0.18317215144634247,0.3845241069793701,0.18471454083919525,0.11954476684331894,0.14782847464084625
hits,0.15709705650806427,0.16377662122249603,0.2569194734096527,0.1895626038312912,0.2569194734096527,0.21662603318691254,0.18253222107887268,0.18031644821166992
during,0.30551859736442566,0.20210334658622742,0.4838213622570038,0.1910007745027542,0.4838213622570038,0.12572363018989563,0.24480409920215607,0.1325719803571701
1977,-0.026102975010871887,0.019715363159775734,0.06613131612539291,-0.027461154386401176,0.06613131612539291,-0.035814449191093445,-0.040400173515081406,-0.059247612953186035
:,-0.0025186005514115095,-0.1622886210680008,-0.03403344005346298,-0.07254265248775482,-0.03403344005346298,-0.06045963615179062,-0.04324568808078766,-0.07156077772378922
january,0.20979668200016022,0.12605778872966766,0.2467057853937149,0.26524972915649414,0.2467057853937149,0.1521570384502411,0.12090233713388443,0.28608936071395874
saw,0.3193628191947937,0.16085723042488098,0.318278044462204,0.21120797097682953,0.318278044462204,0.14433161914348602,0.15512575209140778,0.14690998196601868
the,0.3733934462070465,0.22045251727104187,1.0,0.249520942568779,1.0,0.19631516933441162,0.2424127608537674,0.22068053483963013
premiere,0.13220013678073883,0.3217206299304962,0.26663899421691895,0.37425652146339417,0.26663899421691895,0.20582754909992218,0.18220362067222595,0.1942042112350464
