,what,news,network,did,abc,launch,in,july,2004,?
abc,0.1317344456911087,0.40620431303977966,0.4295894205570221,0.13353709876537323,1.0000001192092896,0.21600057184696198,0.1697147786617279,0.15350030362606049,-0.04643192142248154,0.19065172970294952
would,0.45766422152519226,0.21870030462741852,0.15532255172729492,0.6268245577812195,0.13780725002288818,0.22639283537864685,0.30461156368255615,0.23180638253688812,-0.2801992893218994,0.37178951501846313
reattempt,0.3125036954879761,0.15484090149402618,0.15070132911205292,0.37626713514328003,0.17216040194034576,0.2697523236274719,0.22830045223236084,0.2808341383934021,-0.15460045635700226,0.2482253909111023
such,0.23989605903625488,0.1509624868631363,0.16911613941192627,0.24497397243976593,0.12735801935195923,0.13514332473278046,0.2704046070575714,0.07244385033845901,-0.1394106149673462,0.17851735651493073
a,0.3320399522781372,0.1799081563949585,0.17299489676952362,0.2552328109741211,0.21331243216991425,0.19873975217342377,0.539380669593811,0.23807190358638763,-0.21492190659046173,0.23916715383529663
concept,0.28724339604377747,0.06920856237411499,0.21172374486923218,0.2316831350326538,0.09359899908304214,0.16389194130897522,0.21857000887393951,0.13881155848503113,-0.07801178842782974,0.17160645127296448
in,0.30808621644973755,0.19753123819828033,0.19496823847293854,0.2593238651752472,0.1697147786617279,0.19686491787433624,1.0,0.26500701904296875,-0.20274123549461365,0.20430970191955566
july,0.22688010334968567,0.2131740003824234,0.1389499008655548,0.25485745072364807,0.15350030362606049,0.19462913274765015,0.26500701904296875,1.0,0.05719127133488655,0.2897891402244568
2004,-0.2636275589466095,-0.07455164939165115,-0.15936748683452606,-0.11159943789243698,-0.04643192142248154,-0.14791926741600037,-0.20274123549461365,0.05719127133488655,1.0000001192092896,-0.15923042595386505
with,0.2464839518070221,0.13750475645065308,0.2153671681880951,0.25472134351730347,0.17432008683681488,0.18849989771842957,0.4080928862094879,0.2002134472131729,-0.23114067316055298,0.2433311939239502
the,0.42745697498321533,0.2294066995382309,0.27187061309814453,0.34736719727516174,0.2068762183189392,0.2628649175167084,0.6662389636039734,0.2371699959039688,-0.2467794269323349,0.22068053483963013
launch,0.22967466711997986,0.2782232165336609,0.24389193952083588,0.19841566681861877,0.21600057184696198,0.9999999403953552,0.19686491787433624,0.19462913274765015,-0.14791926741600037,0.22009649872779846
of,0.33290785551071167,0.1894020140171051,0.21800683438777924,0.2513895630836487,0.14607268571853638,0.20697395503520966,0.5696388483047485,0.19723743200302124,-0.21980851888656616,0.1826142966747284
abc,0.1317344456911087,0.40620431303977966,0.4295894205570221,0.13353709876537323,1.0000001192092896,0.21600057184696198,0.1697147786617279,0.15350030362606049,-0.04643192142248154,0.19065172970294952
news,0.2584491968154907,0.9999999403953552,0.33810102939605713,0.18422135710716248,0.40620431303977966,0.2782232165336609,0.19753123819828033,0.2131740003824234,-0.07455164939165115,0.1899169683456421
now,0.4903225302696228,0.2230759710073471,0.1961226761341095,0.2646316885948181,0.16726352274417877,0.12570010125637054,0.3619694113731384,0.2607728838920593,-0.22217430174350739,0.29641881585121155
",",0.3087472915649414,0.25081464648246765,0.1932937651872635,0.3015086054801941,0.2097204476594925,0.19433410465717316,0.5201468467712402,0.4269406795501709,-0.17696323990821838,0.31091248989105225
a,0.3320399522781372,0.1799081563949585,0.17299489676952362,0.2552328109741211,0.21331243216991425,0.19873975217342377,0.539380669593811,0.23807190358638763,-0.21492190659046173,0.23916715383529663
24-hour,0.2732880413532257,0.2630164921283722,0.3429778516292572,0.24820846319198608,0.3326093852519989,0.24690775573253632,0.2176012247800827,0.24086058139801025,-0.15185546875,0.26562008261680603
news,0.2584491968154907,0.9999999403953552,0.33810102939605713,0.18422135710716248,0.40620431303977966,0.2782232165336609,0.19753123819828033,0.2131740003824234,-0.07455164939165115,0.1899169683456421
channel,0.20295917987823486,0.3886786997318268,0.4945397973060608,0.09007708728313446,0.4020179808139801,0.2769078314304352,0.210372194647789,0.15432333946228027,-0.1119985431432724,0.20176179707050323
distributed,0.12753748893737793,0.16388238966464996,0.32836079597473145,0.15478676557540894,0.23920878767967224,0.18857844173908234,0.2443390041589737,0.11833605915307999,-0.09221558272838593,0.08428370952606201
for,0.3017193675041199,0.181859090924263,0.253274142742157,0.318512886762619,0.22510288655757904,0.25149083137512207,0.4322226941585541,0.28973108530044556,-0.07952622324228287,0.264628142118454
viewing,0.3130396008491516,0.2284013032913208,0.24196495115756989,0.15396523475646973,0.23849520087242126,0.1689879298210144,0.212466761469841,0.1777982860803604,-0.2614230513572693,0.2183355838060379
on,0.34226128458976746,0.25893932580947876,0.30190837383270264,0.2670976221561432,0.2862928807735443,0.2868025302886963,0.46853652596473694,0.36770564317703247,-0.18105953931808472,0.2714994251728058
the,0.42745697498321533,0.2294066995382309,0.27187061309814453,0.34736719727516174,0.2068762183189392,0.2628649175167084,0.6662389636039734,0.2371699959039688,-0.2467794269323349,0.22068053483963013
internet,0.1770392656326294,0.25457438826560974,0.42063137888908386,0.15747137367725372,0.2031758427619934,0.22717301547527313,0.15279750525951385,0.17149117588996887,-0.09687361121177673,0.23314887285232544
and,0.31309178471565247,0.21898822486400604,0.27591994404792786,0.34479495882987976,0.16453155875205994,0.18879936635494232,0.4954058527946472,0.258785605430603,-0.1820128858089447,0.20544172823429108
