,what,language,is,used,in,chinese,secondary,schools,in,malaysia,?
while,0.35511791706085205,0.16193674504756927,0.2713196575641632,0.2704656422138214,0.3399278521537781,0.16795752942562103,0.20115569233894348,0.21855491399765015,0.3399278521537781,0.21087032556533813,0.21076419949531555
chinese,0.11643128097057343,0.27511316537857056,0.1841094046831131,0.2649657428264618,0.20821347832679749,1.0000001192092896,0.1482236087322235,0.19302847981452942,0.20821347832679749,0.3376021683216095,0.20843194425106049
primary,0.2113915979862213,0.18236173689365387,0.23824772238731384,0.2554009258747101,0.21150650084018707,0.14197303354740143,0.6853594779968262,0.38384848833084106,0.21150650084018707,0.1534065157175064,0.16286636888980865
schools,0.1820785105228424,0.2158348709344864,0.2022145688533783,0.2245682328939438,0.2632134258747101,0.19302847981452942,0.4608161151409149,1.0,0.2632134258747101,0.19509389996528625,0.18349280953407288
were,0.22298263013362885,0.1767657995223999,0.29386836290359497,0.27636459469795227,0.3815755248069763,0.22925853729248047,0.12436188012361526,0.2387605458498001,0.3815755248069763,0.1019052043557167,0.17890112102031708
allowed,0.2693612575531006,0.14596424996852875,0.14454121887683868,0.389469176530838,0.23683252930641174,0.1537310779094696,0.15762265026569366,0.2595996558666229,0.23683252930641174,0.14914444088935852,0.2309964895248413
to,0.455847829580307,0.2763397693634033,0.42745086550712585,0.40058770775794983,0.45010748505592346,0.17416036128997803,0.27947136759757996,0.2362271547317505,0.45010748505592346,0.20165152847766876,0.29463258385658264
retain,0.178955540060997,0.1758430302143097,0.2052660584449768,0.19553375244140625,0.2081013172864914,0.14156657457351685,0.16707074642181396,0.0964733436703682,0.2081013172864914,0.18670092523097992,0.10032857954502106
chinese,0.11643128097057343,0.27511316537857056,0.1841094046831131,0.2649657428264618,0.20821347832679749,1.0000001192092896,0.1482236087322235,0.19302847981452942,0.20821347832679749,0.3376021683216095,0.20843194425106049
as,0.31749409437179565,0.2037375271320343,0.43216490745544434,0.35160550475120544,0.3887844979763031,0.2490641176700592,0.2349337488412857,0.21233005821704865,0.3887844979763031,0.22003169357776642,0.27043893933296204
the,0.42745697498321533,0.30198320746421814,0.5823672413825989,0.3718377649784088,0.6662389636039734,0.2785343527793884,0.21037471294403076,0.22905772924423218,0.6662389636039734,0.2227647453546524,0.22068053483963013
medium,0.09298098087310791,0.16223110258579254,0.2135585993528366,0.28818070888519287,0.14635127782821655,0.1445043534040451,0.24312123656272888,0.19195465743541718,0.14635127782821655,0.18429838120937347,0.09342553466558456
of,0.33290785551071167,0.25272229313850403,0.4854315221309662,0.3075267970561981,0.5696388483047485,0.24275560677051544,0.219074085354805,0.265506386756897,0.5696388483047485,0.24504433572292328,0.1826142966747284
instruction,0.3581218719482422,0.29253265261650085,0.21809233725070953,0.2520888149738312,0.22511914372444153,0.18833553791046143,0.19116367399692535,0.2822161018848419,0.22511914372444153,0.10879098623991013,0.2353983372449875
",",0.3087472915649414,0.2694627344608307,0.4691906273365021,0.3120402991771698,0.5201468467712402,0.2697280943393707,0.2158004194498062,0.2760516405105591,0.5201468467712402,0.20304693281650543,0.31091248989105225
chinese,0.11643128097057343,0.27511316537857056,0.1841094046831131,0.2649657428264618,0.20821347832679749,1.0000001192092896,0.1482236087322235,0.19302847981452942,0.20821347832679749,0.3376021683216095,0.20843194425106049
secondary,0.20388361811637878,0.15734480321407318,0.19772830605506897,0.22066541016101837,0.2103116512298584,0.1482236087322235,1.0,0.4608161151409149,0.2103116512298584,0.2330472469329834,0.18118004500865936
schools,0.1820785105228424,0.2158348709344864,0.2022145688533783,0.2245682328939438,0.2632134258747101,0.19302847981452942,0.4608161151409149,1.0,0.2632134258747101,0.19509389996528625,0.18349280953407288
are,0.29724663496017456,0.26836323738098145,0.5330929756164551,0.3322218656539917,0.3841303884983063,0.18482933938503265,0.24611520767211914,0.30816179513931274,0.3841303884983063,0.1949750781059265,0.24591213464736938
required,0.2506856620311737,0.20633092522621155,0.21426478028297424,0.39368924498558044,0.20162324607372284,0.15329299867153168,0.2511563003063202,0.22676584124565125,0.20162324607372284,0.20625197887420654,0.24962718784809113
to,0.455847829580307,0.2763397693634033,0.42745086550712585,0.40058770775794983,0.45010748505592346,0.17416036128997803,0.27947136759757996,0.2362271547317505,0.45010748505592346,0.20165152847766876,0.29463258385658264
change,0.3690716028213501,0.18102265894412994,0.33028605580329895,0.2650039494037628,0.2510564923286438,0.14141768217086792,0.17937959730625153,0.09502150118350983,0.2510564923286438,0.15440744161605835,0.24115969240665436
into,0.2180619090795517,0.19812805950641632,0.2619607150554657,0.21789848804473877,0.38021373748779297,0.12096261978149414,0.10765903443098068,0.1375420093536377,0.38021373748779297,0.1405123919248581,0.15662476420402527
english-medium,0.23817738890647888,0.40761682391166687,0.312907338142395,0.32131195068359375,0.22800637781620026,0.24545159935951233,0.28188174962997437,0.27206236124038696,0.22800637781620026,0.16859577596187592,0.24098092317581177
schools,0.1820785105228424,0.2158348709344864,0.2022145688533783,0.2245682328939438,0.2632134258747101,0.19302847981452942,0.4608161151409149,1.0,0.2632134258747101,0.19509389996528625,0.18349280953407288
.,0.3567904531955719,0.2506868243217468,0.4569662809371948,0.33111312985420227,0.5591574311256409,0.25441038608551025,0.195527583360672,0.2752705216407776,0.5591574311256409,0.23207584023475647,0.4130953550338745
