,in,the,philippines,",",what,percentage,of,secondary,school,students,attend,private,schools,?
in,1.0,0.6662389636039734,0.23086273670196533,0.5201468467712402,0.30808621644973755,0.18874377012252808,0.5696388483047485,0.2103116512298584,0.26157811284065247,0.2676171064376831,0.2352246344089508,0.21135757863521576,0.2632134258747101,0.20430970191955566
the,0.6662389636039734,1.0,0.25927668809890747,0.4933079481124878,0.42745697498321533,0.2736506462097168,0.733189046382904,0.21037471294403076,0.22953221201896667,0.25268980860710144,0.23206810653209686,0.18291357159614563,0.22905772924423218,0.22068053483963013
philippines,0.23086273670196533,0.25927668809890747,1.0000001192092896,0.2203703373670578,0.07227330654859543,0.13570891320705414,0.2727682888507843,0.1186484843492508,0.14562532305717468,0.21647340059280396,0.12420002371072769,0.2399723082780838,0.170150488615036,0.09991075843572617
",",0.5201468467712402,0.4933079481124878,0.2203703373670578,1.0000001192092896,0.3087472915649414,0.21945469081401825,0.4946078956127167,0.2158004194498062,0.27141863107681274,0.26501646637916565,0.24214935302734375,0.1899166703224182,0.2760516405105591,0.31091248989105225
the,0.6662389636039734,1.0,0.25927668809890747,0.4933079481124878,0.42745697498321533,0.2736506462097168,0.733189046382904,0.21037471294403076,0.22953221201896667,0.25268980860710144,0.23206810653209686,0.18291357159614563,0.22905772924423218,0.22068053483963013
private,0.21135757863521576,0.18291357159614563,0.2399723082780838,0.1899166703224182,0.16778090596199036,0.13822926580905914,0.18706899881362915,0.2717200517654419,0.3584248125553131,0.35454505681991577,0.2815968096256256,1.0,0.4158569872379303,0.14389030635356903
sector,0.2731133699417114,0.27798449993133545,0.21257884800434113,0.23930709064006805,0.18244388699531555,0.27017900347709656,0.23412683606147766,0.3229568600654602,0.22030170261859894,0.2173517644405365,0.17346960306167603,0.3251519203186035,0.31846946477890015,0.06294605135917664
has,0.4173259735107422,0.4177538752555847,0.1638845056295395,0.3734780251979828,0.20338068902492523,0.21051472425460815,0.3909035325050354,0.19529269635677338,0.1724022775888443,0.1987207978963852,0.189713716506958,0.1315586119890213,0.2180989682674408,0.15994466841220856
been,0.3515113592147827,0.3563927710056305,0.21895205974578857,0.34873589873313904,0.2567804455757141,0.17744223773479462,0.31685134768486023,0.13841219246387482,0.15044459700584412,0.17813996970653534,0.23956649005413055,0.10474855452775955,0.22632038593292236,0.24354910850524902
a,0.539380669593811,0.5829201340675354,0.20635998249053955,0.427140474319458,0.3320399522781372,0.25336048007011414,0.5052502155303955,0.225028395652771,0.2245093584060669,0.2676560878753662,0.18028175830841064,0.20346391201019287,0.2118925303220749,0.23916715383529663
