,where,in,china,is,genghis,khan,most,favorably,viewed,today,?
there,0.5016061663627625,0.5361666083335876,0.21505112946033478,0.3904260993003845,0.17414520680904388,0.10096750408411026,0.34392625093460083,0.13344071805477142,0.2457764744758606,0.3810470998287201,0.29405656456947327
are,0.32389864325523376,0.3841303884983063,0.21174804866313934,0.5330929756164551,0.10714367032051086,0.10875514894723892,0.48698675632476807,0.1588178426027298,0.17731130123138428,0.39445018768310547,0.24591213464736938
conflicting,0.2010047882795334,0.2372972071170807,0.17883220314979553,0.14854225516319275,0.2031576782464981,0.11507908999919891,0.23108427226543427,0.275788277387619,0.2752065360546112,0.20719198882579803,0.3185083568096161
views,0.15770986676216125,0.18003326654434204,0.14572349190711975,0.1585468053817749,0.13426026701927185,0.09743243455886841,0.17655591666698456,0.24354729056358337,0.5189558267593384,0.21782727539539337,0.19388815760612488
of,0.38066378235816956,0.5696388483047485,0.27699828147888184,0.4854315221309662,0.2938849925994873,0.17124508321285248,0.4178851246833801,0.2066427767276764,0.27454227209091187,0.3291318118572235,0.1826142966747284
genghis,0.1839626133441925,0.224680557847023,0.41767415404319763,0.1866190880537033,1.0,0.5896923542022705,0.22644314169883728,0.1883765459060669,0.13851982355117798,0.14459799230098724,0.18813461065292358
khan,0.1568954735994339,0.1527150720357895,0.3775990903377533,0.20103248953819275,0.5896923542022705,1.0,0.15546606481075287,0.10510830581188202,0.1031876653432846,0.091111920773983,0.12862591445446014
in,0.5344807505607605,1.0,0.267821341753006,0.5394441485404968,0.224680557847023,0.1527150720357895,0.41416558623313904,0.19353020191192627,0.194101944565773,0.3300545811653137,0.20430970191955566
the,0.5003893971443176,0.6662389636039734,0.3110525608062744,0.5823672413825989,0.3448939025402069,0.21067845821380615,0.47635307908058167,0.2705189287662506,0.34172287583351135,0.35740926861763,0.22068053483963013
people,0.3212973177433014,0.39605680108070374,0.23917561769485474,0.34254953265190125,0.15720829367637634,0.08274290710687637,0.31049904227256775,0.12338440120220184,0.2203490436077118,0.3276101052761078,0.23739641904830933
's,0.0007701900321990252,-0.037580832839012146,0.023593749850988388,0.02396530658006668,0.031423866748809814,0.05307086929678917,0.024445664137601852,0.02637515775859356,-0.004221256822347641,-0.017862282693386078,-0.023395681753754616
republic,0.1493246704339981,0.2782426178455353,0.4665457606315613,0.17956054210662842,0.25160902738571167,0.17744669318199158,0.21318969130516052,0.1311291605234146,0.17252016067504883,0.2586766183376312,0.16880398988723755
of,0.38066378235816956,0.5696388483047485,0.27699828147888184,0.4854315221309662,0.2938849925994873,0.17124508321285248,0.4178851246833801,0.2066427767276764,0.27454227209091187,0.3291318118572235,0.1826142966747284
china,0.2026863694190979,0.267821341753006,1.0000001192092896,0.1968986988067627,0.41767415404319763,0.3775990903377533,0.2610761225223541,0.17605088651180267,0.11921887844800949,0.25451764464378357,0.18007943034172058
with,0.4142743945121765,0.4080928862094879,0.19833041727542877,0.3250955045223236,0.18149495124816895,0.12498863786458969,0.336320698261261,0.24804669618606567,0.1906999796628952,0.22647687792778015,0.2433311939239502
some,0.39480453729629517,0.4010399878025055,0.256110280752182,0.3038453459739685,0.19859196245670319,0.10166428983211517,0.6355911493301392,0.2695198059082031,0.24575519561767578,0.4624233841896057,0.2562315762042999
viewing,0.2625168263912201,0.212466761469841,0.15256530046463013,0.25350522994995117,0.042810626327991486,0.07957431674003601,0.22727350890636444,0.2255021631717682,0.5171616077423096,0.18319638073444366,0.2183355838060379
him,0.2840098738670349,0.2284061461687088,0.15222856402397156,0.21291719377040863,0.32669100165367126,0.23670253157615662,0.2179088294506073,0.20911143720149994,0.11573301255702972,0.17819839715957642,0.23943768441677094
