,who,is,usually,working,together,?
often,0.393799751996994,0.3856629431247711,0.7742448449134827,0.23722809553146362,0.3162117004394531,0.23748154938220978
",",0.3365725874900818,0.4691906273365021,0.21946179866790771,0.29007792472839355,0.2912277579307556,0.31091248989105225
it,0.2868398427963257,0.6328473687171936,0.34398654103279114,0.24055777490139008,0.22456704080104828,0.25732165575027466
is,0.24293622374534607,1.0,0.4230746626853943,0.20290212333202362,0.1995578110218048,0.22961433231830597
not,0.369414746761322,0.3776007890701294,0.43927186727523804,0.2550792098045349,0.1947679966688156,0.41942933201789856
just,0.357815682888031,0.369599312543869,0.36408063769340515,0.2841523289680481,0.22077061235904694,0.4144178032875061
one,0.40083858370780945,0.4544198513031006,0.38468751311302185,0.2526702582836151,0.32663747668266296,0.2673267424106598
contractor,0.2322247177362442,0.1496407836675644,0.1584496796131134,0.33786213397979736,0.19591796398162842,0.07686037570238113
",",0.3365725874900818,0.4691906273365021,0.21946179866790771,0.29007792472839355,0.2912277579307556,0.31091248989105225
but,0.4487357437610626,0.4106791317462921,0.4121614694595337,0.32553669810295105,0.23751555383205414,0.27921953797340393
a,0.36608949303627014,0.658733606338501,0.46690207719802856,0.2998538911342621,0.25249844789505005,0.23916715383529663
consortium,0.15539607405662537,0.19807057082653046,0.15689413249492645,0.287914514541626,0.1474708914756775,0.12730471789836884
of,0.2827862501144409,0.4854315221309662,0.33931583166122437,0.19986772537231445,0.26678720116615295,0.1826142966747284
several,0.30628830194473267,0.20361857116222382,0.35982275009155273,0.26033633947372437,0.2736014723777771,0.15595775842666626
contractors,0.2668176591396332,0.16008108854293823,0.2321658581495285,0.33146244287490845,0.22216103971004486,0.10574613511562347
working,0.32452359795570374,0.20290212333202362,0.22568723559379578,1.0,0.3319627046585083,0.17154020071029663
together,0.2309882491827011,0.1995578110218048,0.2847461700439453,0.3319627046585083,1.0000001192092896,0.1690303236246109
.,0.3541337847709656,0.4569662809371948,0.28580138087272644,0.28468647599220276,0.2842161953449249,0.4130953550338745
