,school,desegregation,in,the,united,states,led,to,an,increased,number,of,students,of,what,ethnicity,in,public,schools,?
in,0.26157811284065247,0.2808973491191864,1.0,0.6662389636039734,0.3938477039337158,0.3977442979812622,0.2990247309207916,0.45010748505592346,0.2605783939361572,0.244624063372612,0.3024539053440094,0.5696388483047485,0.2676171064376831,0.5696388483047485,0.30808621644973755,0.15258094668388367,1.0,0.29074716567993164,0.2632134258747101,0.20430970191955566
much,0.13289304077625275,0.19388437271118164,0.2725222110748291,0.35023224353790283,0.19398000836372375,0.21213924884796143,0.2003251314163208,0.40610215067863464,0.2866077721118927,0.38681474328041077,0.21815651655197144,0.2671096920967102,0.18897780776023865,0.2671096920967102,0.45316147804260254,0.17863716185092926,0.2725222110748291,0.1694699078798294,0.1318521499633789,0.23442231118679047
of,0.2391800880432129,0.26084643602371216,0.5696388483047485,0.733189046382904,0.3187655806541443,0.30884552001953125,0.32918456196784973,0.41548454761505127,0.32280945777893066,0.3371390700340271,0.2778518795967102,1.0,0.25513339042663574,1.0,0.33290785551071167,0.17001788318157196,0.5696388483047485,0.2391265481710434,0.265506386756897,0.1826142966747284
the,0.22953221201896667,0.2901201546192169,0.6662389636039734,1.0,0.34367692470550537,0.3463578522205353,0.3267505168914795,0.535392165184021,0.4207492768764496,0.3188653886318207,0.35145696997642517,0.733189046382904,0.25268980860710144,0.733189046382904,0.42745697498321533,0.1991092711687088,0.6662389636039734,0.22857438027858734,0.22905772924423218,0.22068053483963013
u.s.,0.014218876138329506,-0.03336251527070999,-0.003064807504415512,0.06592652946710587,-0.016844162717461586,-0.013163301162421703,0.05711875855922699,0.09732837975025177,-0.004288777709007263,-0.010427422821521759,0.03249349817633629,0.011562774889171124,0.04360873997211456,0.011562774889171124,0.11178889125585556,0.008038378320634365,-0.003064807504415512,-0.07408709079027176,-0.010360064916312695,0.07886100560426712
south,0.19953042268753052,0.24115855991840363,0.33642083406448364,0.3129390776157379,0.34461843967437744,0.30704712867736816,0.20228448510169983,0.25657615065574646,0.2024267613887787,0.18229371309280396,0.14315547049045563,0.33382371068000793,0.23090268671512604,0.33382371068000793,0.15388517081737518,0.18442730605602264,0.33642083406448364,0.21266449987888336,0.2044089287519455,0.12336621433496475
",",0.27141863107681274,0.2785925567150116,0.5201468467712402,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.22548827528953552,0.44245919585227966,0.3581022024154663,0.20936180651187897,0.2535701394081116,0.4946078956127167,0.26501646637916565,0.4946078956127167,0.3087472915649414,0.27809011936187744,0.5201468467712402,0.2588968276977539,0.2760516405105591,0.31091248989105225
many,0.20931920409202576,0.31931817531585693,0.41474202275276184,0.4335206151008606,0.2670816481113434,0.29976361989974976,0.2798413932323456,0.40243685245513916,0.2465583086013794,0.3378802537918091,0.41408368945121765,0.37253960967063904,0.2713872492313385,0.37253960967063904,0.36131182312965393,0.2345593124628067,0.41474202275276184,0.25114959478378296,0.3108086585998535,0.2124512493610382
white,0.10211361199617386,0.310563325881958,0.1821274310350418,0.25492873787879944,0.2279466986656189,0.2219121754169464,0.11132415384054184,0.23700939118862152,0.1365317702293396,0.18361730873584747,0.19688032567501068,0.23826628923416138,0.15040223300457,0.23826628923416138,0.1410645991563797,0.30503854155540466,0.1821274310350418,0.21070408821105957,0.10269851237535477,0.124679796397686
students,0.6345757842063904,0.330325722694397,0.2676171064376831,0.25268980860710144,0.2107360064983368,0.21916930377483368,0.18927901983261108,0.2905822694301605,0.15776841342449188,0.2069181650876999,0.18129347264766693,0.25513339042663574,1.0,0.25513339042663574,0.2380729615688324,0.2515973150730133,0.2676171064376831,0.3258378803730011,0.6169943809509277,0.18017297983169556
migrated,0.13536100089550018,0.2308913618326187,0.24539399147033691,0.2544929087162018,0.17634353041648865,0.2019219845533371,0.24775509536266327,0.2297086864709854,0.14013375341892242,0.2561388313770294,0.14880062639713287,0.22638455033302307,0.2158922702074051,0.22638455033302307,0.19371747970581055,0.3214755356311798,0.24539399147033691,-0.006272067781537771,0.17970669269561768,0.10196463763713837
to,0.24496325850486755,0.2734090983867645,0.45010748505592346,0.535392165184021,0.2715383470058441,0.2828785181045532,0.21815308928489685,1.0,0.3138085603713989,0.2690577805042267,0.2706126868724823,0.41548454761505127,0.2905822694301605,0.41548454761505127,0.455847829580307,0.19936048984527588,0.45010748505592346,0.2672370672225952,0.2362271547317505,0.29463258385658264
the,0.22953221201896667,0.2901201546192169,0.6662389636039734,1.0,0.34367692470550537,0.3463578522205353,0.3267505168914795,0.535392165184021,0.4207492768764496,0.3188653886318207,0.35145696997642517,0.733189046382904,0.25268980860710144,0.733189046382904,0.42745697498321533,0.1991092711687088,0.6662389636039734,0.22857438027858734,0.22905772924423218,0.22068053483963013
academies,0.4511764645576477,0.28508034348487854,0.2481706738471985,0.25615057349205017,0.2776084542274475,0.2802281379699707,0.19023464620113373,0.23163951933383942,0.18420062959194183,0.14906641840934753,0.13525927066802979,0.27202022075653076,0.5133576989173889,0.27202022075653076,0.14465993642807007,0.22739648818969727,0.2481706738471985,0.3276686370372772,0.4855159819126129,0.09729845076799393
",",0.27141863107681274,0.2785925567150116,0.5201468467712402,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.22548827528953552,0.44245919585227966,0.3581022024154663,0.20936180651187897,0.2535701394081116,0.4946078956127167,0.26501646637916565,0.4946078956127167,0.3087472915649414,0.27809011936187744,0.5201468467712402,0.2588968276977539,0.2760516405105591,0.31091248989105225
while,0.21811918914318085,0.22941309213638306,0.3399278521537781,0.39804592728614807,0.22924698889255524,0.21951094269752502,0.2681278884410858,0.43899232149124146,0.23181851208209991,0.28557461500167847,0.23913393914699554,0.3366928696632385,0.2701949179172516,0.3366928696632385,0.35511791706085205,0.12436026334762573,0.3399278521537781,0.1935804933309555,0.21855491399765015,0.21076419949531555
