,along,with,tuition,",",scholarships,",",vouchers,",",donations,and,grants,",",where,does,funding,for,private,schools,come,from,?
funding,0.251122385263443,0.23049691319465637,0.5400004386901855,0.23183828592300415,0.42791813611984253,0.23183828592300415,0.3563060760498047,0.23183828592300415,0.5419151782989502,0.30138206481933594,0.4994604289531708,0.23183828592300415,0.2175712287425995,0.24926534295082092,1.0,0.34661975502967834,0.27316173911094666,0.3070438504219055,0.24097782373428345,0.27866506576538086,0.1842934638261795
for,0.249526709318161,0.39140474796295166,0.3458143174648285,0.4464869201183319,0.3186017572879791,0.4464869201183319,0.28329145908355713,0.4464869201183319,0.34473711252212524,0.5064792633056641,0.37409108877182007,0.4464869201183319,0.38599511981010437,0.35159170627593994,0.34661975502967834,0.9999999403953552,0.22242696583271027,0.2320515662431717,0.2792086601257324,0.314039945602417,0.264628142118454
private,0.13822825253009796,0.20792533457279205,0.3631826937198639,0.1899166703224182,0.3393261134624481,0.1899166703224182,0.2781147360801697,0.1899166703224182,0.3747282922267914,0.2557651102542877,0.31541165709495544,0.1899166703224182,0.2538891136646271,0.1316513568162918,0.27316173911094666,0.22242696583271027,1.0,0.4158569872379303,0.07810476422309875,0.18150165677070618,0.14389030635356903
schools,0.19221381843090057,0.13740696012973785,0.4599091112613678,0.2760516405105591,0.4940621852874756,0.2760516405105591,0.3620889484882355,0.2760516405105591,0.3185579180717468,0.29319998621940613,0.3189310133457184,0.2760516405105591,0.18881578743457794,0.19430282711982727,0.3070438504219055,0.2320515662431717,0.4158569872379303,1.0,0.2323450893163681,0.1357884258031845,0.18349280953407288
is,0.23571021854877472,0.3250955045223236,0.20473599433898926,0.4691906273365021,0.14139814674854279,0.4691906273365021,0.1206408441066742,0.4691906273365021,0.21476563811302185,0.3859752118587494,0.16080595552921295,0.4691906273365021,0.3586711287498474,0.4403602182865143,0.17921492457389832,0.43268078565597534,0.1420905888080597,0.2022145688533783,0.25866594910621643,0.27355384826660156,0.22961433231830597
generally,0.24098333716392517,0.33641812205314636,0.28630518913269043,0.29679131507873535,0.2171315997838974,0.29679131507873535,0.3149557113647461,0.29679131507873535,0.2207518368959427,0.4087323546409607,0.21053119003772736,0.29679131507873535,0.3775900900363922,0.38465455174446106,0.27449095249176025,0.35338807106018066,0.20470187067985535,0.3060886263847351,0.2870422899723053,0.28208622336387634,0.23411904275417328
provided,0.18674929440021515,0.26677820086479187,0.2895163595676422,0.27036961913108826,0.27386972308158875,0.27036961913108826,0.24986858665943146,0.27036961913108826,0.2706924080848694,0.35591721534729004,0.38371720910072327,0.27036961913108826,0.2402752935886383,0.2749255895614624,0.3034200072288513,0.38938868045806885,0.18674366176128387,0.19493789970874786,0.234719380736351,0.22916625440120697,0.16893617808818817
through,0.4089634418487549,0.26801666617393494,0.1773800402879715,0.3060276508331299,0.12610693275928497,0.3060276508331299,0.23993465304374695,0.3060276508331299,0.21738824248313904,0.3666759729385376,0.22180962562561035,0.3060276508331299,0.331196665763855,0.21495459973812103,0.24212586879730225,0.3172857463359833,0.19509479403495789,0.19748453795909882,0.265237957239151,0.4291878044605255,0.16913433372974396
student,0.11090494692325592,0.1580762416124344,0.46946144104003906,0.2261858433485031,0.3697413504123688,0.2261858433485031,0.26744282245635986,0.2261858433485031,0.23164543509483337,0.2391568422317505,0.19560231268405914,0.2261858433485031,0.2537801265716553,0.17782871425151825,0.2983607053756714,0.20500831305980682,0.3240567743778229,0.41530340909957886,0.14772099256515503,0.14416815340518951,0.13282090425491333
tuition,0.10351625084877014,0.21156993508338928,1.0000001192092896,0.2515327036380768,0.539117157459259,0.2515327036380768,0.4742680490016937,0.2515327036380768,0.46467503905296326,0.28055885434150696,0.45262983441352844,0.2515327036380768,0.2328883856534958,0.23281142115592957,0.5400004386901855,0.3458143174648285,0.3631826937198639,0.4599091112613678,0.1593513935804367,0.19907967746257782,0.2023361474275589
",",0.29824912548065186,0.4120737314224243,0.2515327036380768,1.0000001192092896,0.20460161566734314,1.0000001192092896,0.20251376926898956,1.0000001192092896,0.2618967294692993,0.6633074283599854,0.30463892221450806,1.0000001192092896,0.3149496018886566,0.28617382049560547,0.23183828592300415,0.4464869201183319,0.1899166703224182,0.2760516405105591,0.350309282541275,0.39760664105415344,0.31091248989105225
