,what,amendment,to,the,united,states,constitution,governs,government,funding,of,religious,schools,?
government,0.28074538707733154,0.36200934648513794,0.28343796730041504,0.31798112392425537,0.33881843090057373,0.3665940761566162,0.5527611374855042,0.564007043838501,1.0000001192092896,0.44323596358299255,0.3475167155265808,0.3646554946899414,0.3405122756958008,0.18851417303085327
funding,0.2725590467453003,0.2550041079521179,0.3602164685726166,0.3006567358970642,0.27778688073158264,0.2520464062690735,0.27084997296333313,0.3157758116722107,0.44323596358299255,1.0,0.27515512704849243,0.17955684661865234,0.3070438504219055,0.1842934638261795
for,0.3017193675041199,0.19555509090423584,0.4451248347759247,0.4739971458911896,0.30487096309661865,0.2496437132358551,0.193412184715271,0.21193081140518188,0.23902073502540588,0.34661975502967834,0.4185989499092102,0.21258823573589325,0.2320515662431717,0.264628142118454
religious,0.26794421672821045,0.2273373156785965,0.24161745607852936,0.22950971126556396,0.189944326877594,0.18013706803321838,0.3208719491958618,0.2596268653869629,0.3646554946899414,0.17955684661865234,0.2958606779575348,0.9999998807907104,0.3179125487804413,0.15727058053016663
schools,0.1820785105228424,0.21923314034938812,0.2362271547317505,0.22905772924423218,0.30707988142967224,0.2958741784095764,0.262220561504364,0.2906997501850128,0.3405122756958008,0.3070438504219055,0.265506386756897,0.3179125487804413,1.0,0.18349280953407288
is,0.28837618231773376,0.14728549122810364,0.42745086550712585,0.5823672413825989,0.22408509254455566,0.21939043700695038,0.20281566679477692,0.230056032538414,0.20343491435050964,0.17921492457389832,0.4854315221309662,0.1584658920764923,0.2022145688533783,0.22961433231830597
either,0.3851809501647949,0.21257315576076508,0.4178585708141327,0.3795609474182129,0.1992424726486206,0.21161645650863647,0.16202761232852936,0.19265194237232208,0.1607063263654709,0.1766541302204132,0.24225673079490662,0.15330900251865387,0.16752998530864716,0.31498292088508606
subject,0.3828662037849426,0.33172234892845154,0.3198980987071991,0.2387523651123047,0.1897282749414444,0.25257158279418945,0.301602840423584,0.2546595335006714,0.2287435382604599,0.2974731922149658,0.21533280611038208,0.2526249885559082,0.18936215341091156,0.33952999114990234
to,0.455847829580307,0.2683636546134949,1.0,0.535392165184021,0.2715383470058441,0.2828785181045532,0.25991612672805786,0.22205349802970886,0.28343796730041504,0.3602164685726166,0.41548454761505127,0.24161745607852936,0.2362271547317505,0.29463258385658264
restrictions,0.32496413588523865,0.406970739364624,0.36881786584854126,0.2840818166732788,0.25154468417167664,0.26824164390563965,0.34227225184440613,0.23760205507278442,0.28521573543548584,0.40446388721466064,0.23272474110126495,0.3139805793762207,0.2973245084285736,0.28638559579849243
or,0.33867141604423523,0.2088976800441742,0.38921234011650085,0.4174870550632477,0.21771858632564545,0.21771061420440674,0.2208905816078186,0.2425871640443802,0.2456667572259903,0.22443437576293945,0.3792596757411957,0.2404305636882782,0.23524631559848785,0.32389625906944275
possibly,0.30713677406311035,0.2205105870962143,0.3809284269809723,0.3130749762058258,0.13039928674697876,0.1311562955379486,0.21275070309638977,0.16038550436496735,0.18309316039085388,0.1412220448255539,0.35685303807258606,0.2391875833272934,0.15632764995098114,0.3334614038467407
forbidden,0.2433793544769287,0.2804452180862427,0.2843497693538666,0.2504795491695404,0.19871924817562103,0.18499775230884552,0.30264097452163696,0.21198444068431854,0.23015126585960388,0.272660493850708,0.2461228221654892,0.3513162136077881,0.22487185895442963,0.2192402482032776
",",0.3087472915649414,0.17331579327583313,0.44245919585227966,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.2582484483718872,0.25806698203086853,0.27344048023223877,0.23183828592300415,0.4946078956127167,0.2753547728061676,0.2760516405105591,0.31091248989105225
according,0.2776208221912384,0.21512073278427124,0.28520727157592773,0.3202974498271942,0.2191866785287857,0.2622531056404114,0.239333838224411,0.27407926321029663,0.2511996626853943,0.24470362067222595,0.3307822346687317,0.21419638395309448,0.2182181030511856,0.21173474192619324
to,0.455847829580307,0.2683636546134949,1.0,0.535392165184021,0.2715383470058441,0.2828785181045532,0.25991612672805786,0.22205349802970886,0.28343796730041504,0.3602164685726166,0.41548454761505127,0.24161745607852936,0.2362271547317505,0.29463258385658264
the,0.42745697498321533,0.276956170797348,0.535392165184021,1.0,0.34367692470550537,0.3463578522205353,0.3381718397140503,0.3000285029411316,0.31798112392425537,0.3006567358970642,0.733189046382904,0.22950971126556396,0.22905772924423218,0.22068053483963013
courts,0.22651629149913788,0.3841535151004791,0.2114926129579544,0.2453746348619461,0.24154697358608246,0.309557169675827,0.4476916193962097,0.38724690675735474,0.41262519359588623,0.28013038635253906,0.24972429871559143,0.28137069940567017,0.3717796504497528,0.17759139835834503
',0.3245812654495239,0.1365518867969513,0.34544456005096436,0.474788099527359,0.23774786293506622,0.21096393465995789,0.1328631192445755,0.22304019331932068,0.1762593388557434,0.12663331627845764,0.39136970043182373,0.16208131611347198,0.18575283885002136,0.330942302942276
interpretation,0.37054285407066345,0.4021296203136444,0.2720033824443817,0.2766321003437042,0.19332027435302734,0.2504718005657196,0.3652634024620056,0.2704631984233856,0.2540024220943451,0.22570955753326416,0.25918829441070557,0.3384384512901306,0.24146921932697296,0.2162649929523468
of,0.33290785551071167,0.2148750275373459,0.41548454761505127,0.733189046382904,0.3187655806541443,0.30884552001953125,0.3222753703594208,0.337303102016449,0.3475167155265808,0.27515512704849243,1.0,0.2958606779575348,0.265506386756897,0.1826142966747284
the,0.42745697498321533,0.276956170797348,0.535392165184021,1.0,0.34367692470550537,0.3463578522205353,0.3381718397140503,0.3000285029411316,0.31798112392425537,0.3006567358970642,0.733189046382904,0.22950971126556396,0.22905772924423218,0.22068053483963013
establishment,0.1702135056257248,0.3740638792514801,0.17847758531570435,0.344906210899353,0.3343847393989563,0.32828861474990845,0.3993169069290161,0.27750080823898315,0.35467851161956787,0.3361092805862427,0.27824047207832336,0.2515700161457062,0.2776942253112793,0.1661023646593094
clause,0.31306445598602295,0.5515681505203247,0.28380995988845825,0.262990802526474,0.2444920390844345,0.2996661365032196,0.5009841918945312,0.22427622973918915,0.22388489544391632,0.26365864276885986,0.197149857878685,0.2147824466228485,0.2283705621957779,0.24973826110363007
of,0.33290785551071167,0.2148750275373459,0.41548454761505127,0.733189046382904,0.3187655806541443,0.30884552001953125,0.3222753703594208,0.337303102016449,0.3475167155265808,0.27515512704849243,1.0,0.2958606779575348,0.265506386756897,0.1826142966747284
the,0.42745697498321533,0.276956170797348,0.535392165184021,1.0,0.34367692470550537,0.3463578522205353,0.3381718397140503,0.3000285029411316,0.31798112392425537,0.3006567358970642,0.733189046382904,0.22950971126556396,0.22905772924423218,0.22068053483963013
first,0.28086137771606445,0.22819440066814423,0.3792489171028137,0.49448907375335693,0.37439173460006714,0.3145790100097656,0.2606458365917206,0.19266970455646515,0.20990468561649323,0.23557113111019135,0.3536086082458496,0.1508103311061859,0.1705777496099472,0.18701928853988647
amendment,0.20758824050426483,1.0,0.2683636546134949,0.276956170797348,0.33289629220962524,0.409184068441391,0.6790041327476501,0.23244047164916992,0.36200934648513794,0.2550041079521179,0.2148750275373459,0.2273373156785965,0.21923314034938812,0.24295969307422638
or,0.33867141604423523,0.2088976800441742,0.38921234011650085,0.4174870550632477,0.21771858632564545,0.21771061420440674,0.2208905816078186,0.2425871640443802,0.2456667572259903,0.22443437576293945,0.3792596757411957,0.2404305636882782,0.23524631559848785,0.32389625906944275
individual,0.34021541476249695,0.28161197900772095,0.3278317153453827,0.3706541955471039,0.19032660126686096,0.2516733705997467,0.22461092472076416,0.30215945839881897,0.21475544571876526,0.3008078932762146,0.3372420072555542,0.2591302990913391,0.16759173572063446,0.2058374285697937
state,0.24273863434791565,0.3325086236000061,0.25557461380958557,0.3097178041934967,0.3713562488555908,0.5370627045631409,0.40086472034454346,0.3916269838809967,0.44211944937705994,0.2420961707830429,0.34253445267677307,0.18839411437511444,0.2832874357700348,0.1160883978009224
blaine,0.1665533483028412,0.18186922371387482,0.12972714006900787,0.23407667875289917,0.27551546692848206,0.2821274399757385,0.18480685353279114,0.12356127798557281,0.21053391695022583,0.10562042146921158,0.17097707092761993,0.09659936279058456,0.11013245582580566,0.19509877264499664
amendments,0.2351139485836029,0.9481536149978638,0.31400617957115173,0.30301690101623535,0.355452299118042,0.42304477095603943,0.671059250831604,0.28318652510643005,0.37581881880760193,0.29815515875816345,0.22983944416046143,0.25252777338027954,0.28201285004615784,0.2547150254249573
.,0.3567904531955719,0.20782972872257233,0.4645031690597534,0.5934505462646484,0.3406063914299011,0.33941102027893066,0.2279142290353775,0.27742794156074524,0.2521961033344269,0.24722786247730255,0.5352458953857422,0.23880675435066223,0.2752705216407776,0.4130953550338745
