,in,2013-14,",",nbc,finished,behind,what,network,in,the,ratings,?
nbc,0.19303210079669952,0.1262032836675644,0.17508727312088013,0.9999999403953552,0.13532233238220215,0.1312233805656433,0.1638578325510025,0.4656192362308502,0.19303210079669952,0.20618264377117157,0.30408090353012085,0.1680917739868164
",",0.5201468467712402,0.305375874042511,1.0000001192092896,0.17508727312088013,0.2894314229488373,0.27367478609085083,0.3087472915649414,0.1932937651872635,0.5201468467712402,0.4933079481124878,0.21650241315364838,0.31091248989105225
which,0.4840516746044159,0.15831446647644043,0.3658004403114319,0.17917364835739136,0.2314423769712448,0.2764022946357727,0.5261979103088379,0.27261900901794434,0.4840516746044159,0.6521818041801453,0.2222868949174881,0.25814583897590637
had,0.385026752948761,0.17283006012439728,0.35487717390060425,0.1882561594247818,0.2945052683353424,0.2895805537700653,0.23849567770957947,0.13757506012916565,0.385026752948761,0.3875846862792969,0.1862778514623642,0.20728366076946259
lagged,0.185776948928833,0.19062690436840057,0.2969141900539398,0.1871502548456192,0.18528008460998535,0.237404927611351,0.30236244201660156,0.16109108924865723,0.185776948928833,0.23073099553585052,0.2547328472137451,0.37116748094558716
behind,0.3174246549606323,0.061664484441280365,0.27367478609085083,0.1312233805656433,0.2652738690376282,0.9999999403953552,0.1959938108921051,0.12354302406311035,0.3174246549606323,0.38928431272506714,0.11307032406330109,0.19274599850177765
abc,0.1697147786617279,0.10942843556404114,0.2097204476594925,0.63486248254776,0.10601553320884705,0.13531123101711273,0.1317344456911087,0.4295894205570221,0.1697147786617279,0.2068762183189392,0.2876999080181122,0.19065172970294952
for,0.4322226941585541,0.1273878514766693,0.4464869201183319,0.22503440082073212,0.261849045753479,0.24390444159507751,0.3017193675041199,0.253274142742157,0.4322226941585541,0.4739971458911896,0.2655225098133087,0.264628142118454
eight,0.3002670109272003,0.12271586060523987,0.28017938137054443,0.150722473859787,0.16275539994239807,0.12058310210704803,0.15383057296276093,0.18263043463230133,0.3002670109272003,0.34254369139671326,0.1497660130262375,0.11634626984596252
years,0.33554986119270325,0.17801550030708313,0.2589467465877533,0.22012026607990265,0.20527507364749908,0.22299571335315704,0.1981470286846161,0.11687681078910828,0.33554986119270325,0.2912273406982422,0.1587083339691162,0.1914375126361847
",",0.5201468467712402,0.305375874042511,1.0000001192092896,0.17508727312088013,0.2894314229488373,0.27367478609085083,0.3087472915649414,0.1932937651872635,0.5201468467712402,0.4933079481124878,0.21650241315364838,0.31091248989105225
finished,0.2933714687824249,0.0986187756061554,0.2894314229488373,0.13532233238220215,1.0,0.2652738690376282,0.2113480567932129,0.12824995815753937,0.2933714687824249,0.2754973769187927,0.20783491432666779,0.14789283275604248
the,0.6662389636039734,0.13526301085948944,0.4933079481124878,0.20618264377117157,0.2754973769187927,0.38928431272506714,0.42745697498321533,0.27187061309814453,0.6662389636039734,1.0,0.23356813192367554,0.22068053483963013
season,0.2184021919965744,0.11628139764070511,0.2232367992401123,0.3059408962726593,0.30780723690986633,0.2594139873981476,0.12117787450551987,0.27325206995010376,0.2184021919965744,0.2507155239582062,0.37128010392189026,0.16793298721313477
in,1.0,0.2407332807779312,0.5201468467712402,0.19303210079669952,0.2933714687824249,0.3174246549606323,0.30808621644973755,0.19496823847293854,1.0,0.6662389636039734,0.17289267480373383,0.20430970191955566
first,0.4127444326877594,0.11844072490930557,0.34503069519996643,0.2653513252735138,0.3807419240474701,0.1930677592754364,0.28086137771606445,0.2069581300020218,0.4127444326877594,0.49448907375335693,0.1831122785806656,0.18701928853988647
place,0.38128477334976196,0.1019025668501854,0.34068408608436584,0.10189764946699142,0.32091301679611206,0.3226894736289978,0.2689766585826874,0.15428373217582703,0.38128477334976196,0.4179787337779999,0.18893598020076752,0.2455766350030899
in,1.0,0.2407332807779312,0.5201468467712402,0.19303210079669952,0.2933714687824249,0.3174246549606323,0.30808621644973755,0.19496823847293854,1.0,0.6662389636039734,0.17289267480373383,0.20430970191955566
the,0.6662389636039734,0.13526301085948944,0.4933079481124878,0.20618264377117157,0.2754973769187927,0.38928431272506714,0.42745697498321533,0.27187061309814453,0.6662389636039734,1.0,0.23356813192367554,0.22068053483963013
18–49,-0.13635894656181335,-0.055701665580272675,-0.039624638855457306,-0.017950711771845818,-0.06391085684299469,0.009851883165538311,-0.1910046637058258,-0.1949077546596527,-0.13635894656181335,-0.15718744695186615,-0.15444400906562805,-0.1341245323419571
demographic,0.21722672879695892,0.18491598963737488,0.2287134826183319,0.15661309659481049,0.1147376149892807,0.13416419923305511,0.12276367843151093,0.2147487848997116,0.21722672879695892,0.2588324248790741,0.32979661226272583,0.17883411049842834
for,0.4322226941585541,0.1273878514766693,0.4464869201183319,0.22503440082073212,0.261849045753479,0.24390444159507751,0.3017193675041199,0.253274142742157,0.4322226941585541,0.4739971458911896,0.2655225098133087,0.264628142118454
the,0.6662389636039734,0.13526301085948944,0.4933079481124878,0.20618264377117157,0.2754973769187927,0.38928431272506714,0.42745697498321533,0.27187061309814453,0.6662389636039734,1.0,0.23356813192367554,0.22068053483963013
first,0.4127444326877594,0.11844072490930557,0.34503069519996643,0.2653513252735138,0.3807419240474701,0.1930677592754364,0.28086137771606445,0.2069581300020218,0.4127444326877594,0.49448907375335693,0.1831122785806656,0.18701928853988647
time,0.3431483507156372,0.0859200656414032,0.3029961884021759,0.22240734100341797,0.29479286074638367,0.23013393580913544,0.36319252848625183,0.21207119524478912,0.3431483507156372,0.43061500787734985,0.259071409702301,0.27391523122787476
since,0.4325680434703827,0.21019774675369263,0.3991432189941406,0.22406591475009918,0.209612175822258,0.17265550792217255,0.29783400893211365,0.19915233552455902,0.4325680434703827,0.4054957628250122,0.1888987123966217,0.2876587212085724
2004,-0.20274123549461365,-0.027875281870365143,-0.17696323990821838,-0.03456881642341614,-0.04378156363964081,-0.17941631376743317,-0.2636275589466095,-0.15936748683452606,-0.20274123549461365,-0.2467794269323349,-0.13931378722190857,-0.15923042595386505
",",0.5201468467712402,0.305375874042511,1.0000001192092896,0.17508727312088013,0.2894314229488373,0.27367478609085083,0.3087472915649414,0.1932937651872635,0.5201468467712402,0.4933079481124878,0.21650241315364838,0.31091248989105225
