,what,was,the,corporate,entity,american,broadcasting-paramount,theatres,renamed,in,1965,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.15762972831726074,0.22507517039775848,0.22871561348438263,0.29766979813575745,0.3121017515659332,0.22127023339271545,1.0,0.006827604491263628,0.20430970191955566
1965,0.15314841270446777,0.07673795521259308,0.09033208340406418,-0.0804223120212555,-0.0365104079246521,0.022592764347791672,-0.027344757691025734,-0.07330305874347687,0.11464733630418777,0.006827604491263628,0.9999998807907104,0.26302391290664673
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2203957736492157,0.19129666686058044,0.3048616647720337,0.3104262948036194,0.30420786142349243,0.2471216917037964,0.5201468467712402,0.14418171346187592,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.22066551446914673,0.2403784692287445,0.24562937021255493,0.32053688168525696,0.2874569296836853,0.2855224609375,0.6662389636039734,0.09033208340406418,0.22068053483963013
corporate,0.17591306567192078,0.1517176479101181,0.22066551446914673,1.0000001192092896,0.2835843563079834,0.21168671548366547,0.40710797905921936,0.2565281093120575,0.2322724461555481,0.15762972831726074,-0.0804223120212555,0.17430047690868378
entity,0.2787628769874573,0.1461799293756485,0.2403784692287445,0.2835843563079834,1.0,0.0805336982011795,0.26991647481918335,0.13249017298221588,0.16435176134109497,0.22507517039775848,-0.0365104079246521,0.16303928196430206
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2203957736492157,0.19129666686058044,0.3048616647720337,0.3104262948036194,0.30420786142349243,0.2471216917037964,0.5201468467712402,0.14418171346187592,0.31091248989105225
american,0.1909721940755844,0.31632548570632935,0.24562937021255493,0.21168671548366547,0.0805336982011795,1.0000001192092896,0.36038076877593994,0.2023952305316925,0.14177967607975006,0.22871561348438263,0.022592764347791672,0.18877598643302917
broadcasting-paramount,0.18984642624855042,0.302132248878479,0.32053688168525696,0.40710797905921936,0.26991647481918335,0.36038076877593994,1.0,0.4133210778236389,0.29332998394966125,0.29766979813575745,-0.027344757691025734,0.1604955494403839
theatres,0.13976961374282837,0.3262985050678253,0.2874569296836853,0.2565281093120575,0.13249017298221588,0.2023952305316925,0.4133210778236389,1.0,0.18850912153720856,0.3121017515659332,-0.07330305874347687,0.10397201776504517
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2203957736492157,0.19129666686058044,0.3048616647720337,0.3104262948036194,0.30420786142349243,0.2471216917037964,0.5201468467712402,0.14418171346187592,0.31091248989105225
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.1517176479101181,0.1461799293756485,0.31632548570632935,0.302132248878479,0.3262985050678253,0.36580079793930054,0.45514053106307983,0.07673795521259308,0.18412111699581146
renamed,0.16309694945812225,0.36580079793930054,0.2855224609375,0.2322724461555481,0.16435176134109497,0.14177967607975006,0.29332998394966125,0.18850912153720856,1.0000001192092896,0.22127023339271545,0.11464733630418777,0.13648955523967743
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.23532292246818542,0.26742884516716003,0.2994234561920166,0.23403654992580414,0.22800196707248688,0.2141297161579132,0.3887844979763031,0.10019949078559875,0.27043893933296204
the,0.42745697498321533,0.48711544275283813,1.0,0.22066551446914673,0.2403784692287445,0.24562937021255493,0.32053688168525696,0.2874569296836853,0.2855224609375,0.6662389636039734,0.09033208340406418,0.22068053483963013
american,0.1909721940755844,0.31632548570632935,0.24562937021255493,0.21168671548366547,0.0805336982011795,1.0000001192092896,0.36038076877593994,0.2023952305316925,0.14177967607975006,0.22871561348438263,0.022592764347791672,0.18877598643302917
