,what,was,the,programming,philosophy,pioneered,by,abc,and,goldenson,?
these,0.4164220690727234,0.19784674048423767,0.49086877703666687,0.19766095280647278,0.18622823059558868,0.24870632588863373,0.33332425355911255,0.11797529458999634,0.5314885973930359,0.21891029179096222,0.2571668326854706
kinds,0.27455681562423706,0.07296273112297058,0.24529235064983368,0.17801201343536377,0.21422410011291504,0.20632560551166534,0.15013055503368378,0.09659362584352493,0.32501107454299927,0.21848450601100922,0.18617171049118042
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.14286333322525024,0.2520225942134857,0.2517913281917572,0.3646814823150635,0.14607268571853638,0.5116966962814331,0.21861588954925537,0.1826142966747284
programs,0.23178155720233917,0.16294841468334198,0.21757709980010986,0.5994382500648499,0.21294285356998444,0.18834002315998077,0.2369476854801178,0.3454950749874115,0.334749311208725,0.25039541721343994,0.16452431678771973
presented,0.23381416499614716,0.2883085608482361,0.3251480758190155,0.3080541789531708,0.22687436640262604,0.29880690574645996,0.3042648136615753,0.2885449528694153,0.26139622926712036,0.23398849368095398,0.17025142908096313
abc,0.1317344456911087,0.21565799415111542,0.2068762183189392,0.3165910840034485,0.17322014272212982,0.09888507425785065,0.17600902915000916,1.0000001192092896,0.16453155875205994,0.29072654247283936,0.19065172970294952
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.17035330832004547,0.21273137629032135,0.17655128240585327,0.39731505513191223,0.17432008683681488,0.5477725267410278,0.22288626432418823,0.2433311939239502
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.21554845571517944,0.13978278636932373,0.18844476342201233,0.2719563841819763,0.16561369597911835,0.2838519215583801,0.21420323848724365,0.19793890416622162
image,0.13311375677585602,0.15568946301937103,0.24039390683174133,0.08164012432098389,0.08988644182682037,0.1872835010290146,0.13177452981472015,0.0679241418838501,0.143681138753891,0.2004380226135254,0.14968013763427734
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.14286333322525024,0.2520225942134857,0.2517913281917572,0.3646814823150635,0.14607268571853638,0.5116966962814331,0.21861588954925537,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.17869283258914948,0.19357287883758545,0.260772168636322,0.4408751428127289,0.2068762183189392,0.5171257257461548,0.28907305002212524,0.22068053483963013
``,0.008517155423760414,-0.012679691426455975,0.029072100296616554,-0.03942643105983734,0.07389389723539352,-0.08994846791028976,-0.030704375356435776,-0.04806871339678764,0.036644238978624344,-0.11276380717754364,0.0685480609536171
philosophy,0.3238759934902191,0.18397994339466095,0.19357287883758545,0.24418744444847107,1.0,0.2322990447282791,0.1663963794708252,0.17322014272212982,0.23960337042808533,0.1549127846956253,0.17949430644512177
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.14286333322525024,0.2520225942134857,0.2517913281917572,0.3646814823150635,0.14607268571853638,0.5116966962814331,0.21861588954925537,0.1826142966747284
counterprogramming,0.3276073932647705,0.2118902951478958,0.2565805912017822,0.8731303811073303,0.29924455285072327,0.2372601479291916,0.24346570670604706,0.2841138541698456,0.2930668294429779,0.22223763167858124,0.26708662509918213
against,0.24561616778373718,0.22972732782363892,0.3090755045413971,0.07640860229730606,0.19299785792827606,0.1133405938744545,0.24816733598709106,0.10121753811836243,0.3292689621448517,0.1798286736011505,0.18095137178897858
its,0.30393704771995544,0.3518870174884796,0.559237003326416,0.22158177196979523,0.16505995392799377,0.1678004413843155,0.24398943781852722,0.19045390188694,0.3841775357723236,0.19882462918758392,0.15103481709957123
competitors,0.21241851150989532,0.24050508439540863,0.25828930735588074,0.2034817636013031,0.11790141463279724,0.18699514865875244,0.21831953525543213,0.09631531685590744,0.2248513102531433,0.19580905139446259,0.16859129071235657
'',0.08143015950918198,0.04456103965640068,0.041273195296525955,-0.024113938212394714,0.011623409576714039,0.017309414222836494,-0.010275691747665405,-0.05768610164523125,0.021612688899040222,0.08447376638650894,0.018684765323996544
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.255766898393631,0.2626064419746399,0.21469512581825256,0.3680937886238098,0.2097204476594925,0.6633074283599854,0.3194567561149597,0.31091248989105225
offering,0.24005436897277832,0.19612376391887665,0.2296384871006012,0.216722771525383,0.2212800681591034,0.1609193980693817,0.16626206040382385,0.1060570478439331,0.3040096163749695,0.19797159731388092,0.15441901981830597
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.20890353620052338,0.1980830729007721,0.2567351460456848,0.32094135880470276,0.21331243216991425,0.3739250600337982,0.29056107997894287,0.23916715383529663
strong,0.19839218258857727,0.21312883496284485,0.22482411563396454,0.09784570336341858,0.1899196207523346,0.14361202716827393,0.18415158987045288,0.12823276221752167,0.3578340411186218,0.1641741245985031,0.11990999430418015
lineup,0.2057647854089737,0.289968341588974,0.32800373435020447,0.2976103127002716,0.020957013592123985,0.17803527414798737,0.179256871342659,0.31382066011428833,0.22190429270267487,0.24172724783420563,0.19030295312404633
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.14286333322525024,0.2520225942134857,0.2517913281917572,0.3646814823150635,0.14607268571853638,0.5116966962814331,0.21861588954925537,0.1826142966747284
programs,0.23178155720233917,0.16294841468334198,0.21757709980010986,0.5994382500648499,0.21294285356998444,0.18834002315998077,0.2369476854801178,0.3454950749874115,0.334749311208725,0.25039541721343994,0.16452431678771973
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.2970433831214905,0.2611423432826996,0.2298203408718109,0.37496164441108704,0.17440107464790344,0.4731321930885315,0.273436039686203,0.32716336846351624
contrasted,0.2975025177001953,0.1966162770986557,0.2767565846443176,0.2573964595794678,0.2611427307128906,0.32967105507850647,0.24810168147087097,0.1826942265033722,0.277742862701416,0.16146641969680786,0.17815569043159485
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.17035330832004547,0.21273137629032135,0.17655128240585327,0.39731505513191223,0.17432008683681488,0.5477725267410278,0.22288626432418823,0.2433311939239502
those,0.44466671347618103,0.21886132657527924,0.42861196398735046,0.20718009769916534,0.2461484968662262,0.19469234347343445,0.32841911911964417,0.05659491941332817,0.43169310688972473,0.22271542251110077,0.3328189253807068
seen,0.3087027072906494,0.2286430299282074,0.3442007005214691,0.18401725590229034,0.12865036725997925,0.202456995844841,0.22616511583328247,0.14403046667575836,0.2522655725479126,0.23425056040287018,0.2567344307899475
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.2441612184047699,0.16593976318836212,0.17245841026306152,0.33887791633605957,0.2862928807735443,0.4077630043029785,0.2385363131761551,0.2714994251728058
its,0.30393704771995544,0.3518870174884796,0.559237003326416,0.22158177196979523,0.16505995392799377,0.1678004413843155,0.24398943781852722,0.19045390188694,0.3841775357723236,0.19882462918758392,0.15103481709957123
rival,0.13831420242786407,0.2730695903301239,0.2149961143732071,0.11323165893554688,0.2132873237133026,0.11885519325733185,0.20744259655475616,0.09486591815948486,0.18646307289600372,0.13487714529037476,0.08066411316394806
networks,0.18279550969600677,0.169170543551445,0.24705806374549866,0.3551848232746124,0.16086319088935852,0.20375944674015045,0.24484656751155853,0.350273072719574,0.27532249689102173,0.1906329095363617,0.17815114557743073
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.255766898393631,0.2626064419746399,0.21469512581825256,0.3680937886238098,0.2097204476594925,0.6633074283599854,0.3194567561149597,0.31091248989105225
which,0.5261979103088379,0.2830964922904968,0.6521818041801453,0.317421019077301,0.22734615206718445,0.2874644100666046,0.40543368458747864,0.1991286277770996,0.506277859210968,0.2724771499633789,0.25814583897590637
helped,0.1926339715719223,0.384408563375473,0.3108886480331421,0.08377043902873993,0.14912965893745422,0.30022311210632324,0.24260085821151733,0.0955943837761879,0.318156898021698,0.1595458984375,0.16572049260139465
goldenson,0.24370093643665314,0.2537340223789215,0.28907305002212524,0.20921871066093445,0.1549127846956253,0.2332487404346466,0.22953177988529205,0.29072654247283936,0.2949160933494568,1.0,0.2495560646057129
give,0.32935357093811035,0.16511452198028564,0.29086416959762573,0.1507728397846222,0.11977634578943253,0.0476609542965889,0.1874368041753769,0.15358096361160278,0.3040338158607483,0.2152702659368515,0.2985610067844391
the,0.42745697498321533,0.48711544275283813,1.0,0.17869283258914948,0.19357287883758545,0.260772168636322,0.4408751428127289,0.2068762183189392,0.5171257257461548,0.28907305002212524,0.22068053483963013
network,0.16917307674884796,0.1994880586862564,0.27187061309814453,0.38232916593551636,0.12298034876585007,0.17751897871494293,0.214903324842453,0.4295894205570221,0.27591994404792786,0.17995120584964752,0.17853789031505585
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.20890353620052338,0.1980830729007721,0.2567351460456848,0.32094135880470276,0.21331243216991425,0.3739250600337982,0.29056107997894287,0.23916715383529663
continuum,0.33713969588279724,0.18931107223033905,0.32961103320121765,0.2968878746032715,0.3592519462108612,0.2895374596118927,0.25777217745780945,0.1807442456483841,0.28007903695106506,0.2135217934846878,0.1975129097700119
between,0.2462156116962433,0.24048170447349548,0.39067012071609497,0.1469167172908783,0.12489105761051178,0.16444049775600433,0.28115302324295044,0.07610002905130386,0.40645647048950195,0.11991280317306519,0.12887074053287506
film,0.17437689006328583,0.25235438346862793,0.2824619710445404,0.1834486573934555,0.17370209097862244,0.11643680930137634,0.17890147864818573,0.19744548201560974,0.23832054436206818,0.39640575647354126,0.16369038820266724
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.23146864771842957,0.23960337042808533,0.2230825126171112,0.4289871156215668,0.16453155875205994,1.0,0.2949160933494568,0.20544172823429108
television,0.19838058948516846,0.2516675293445587,0.24569597840309143,0.34514227509498596,0.1731521338224411,0.18405722081661224,0.23368048667907715,0.46871840953826904,0.29514092206954956,0.3507816791534424,0.16825827956199646
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.1874377578496933,0.21662621200084686,0.1764475405216217,0.3936232924461365,0.2567209303379059,0.588965117931366,0.2818927466869354,0.4130953550338745
