,how,far,is,jacksonville,from,miami,?
jacksonville,0.165566086769104,0.10075341910123825,0.1726600080728531,1.0000001192092896,0.20407649874687195,0.5639681220054626,0.1359667330980301
is,0.22544461488723755,0.30568554997444153,1.0,0.1726600080728531,0.27355384826660156,0.15470117330551147,0.22961433231830597
in,0.2601168751716614,0.2599720060825348,0.5394441485404968,0.22147351503372192,0.4274188280105591,0.17197883129119873,0.20430970191955566
the,0.33890387415885925,0.38564538955688477,0.5823672413825989,0.2176690250635147,0.40150508284568787,0.19180938601493835,0.22068053483963013
first,0.27731001377105713,0.194528266787529,0.30889374017715454,0.2168712168931961,0.23348960280418396,0.24843059480190277,0.18701928853988647
coast,0.19866614043712616,0.2536550760269165,0.25204822421073914,0.24648600816726685,0.2436395138502121,0.2677783668041229,0.15869849920272827
region,0.15155482292175293,0.2094416618347168,0.3317503035068512,0.1469353437423706,0.2132602334022522,0.05762992799282074,0.13441751897335052
of,0.2480744868516922,0.3005201518535614,0.4854315221309662,0.23084138333797455,0.4249346852302551,0.15650133788585663,0.1826142966747284
northeast,0.14956440031528473,0.25632643699645996,0.26471805572509766,0.27616459131240845,0.22608040273189545,0.18785861134529114,0.07426474988460541
florida,0.12716838717460632,0.12821342051029205,0.1775415539741516,0.568950355052948,0.18690060079097748,0.6058956980705261,0.13469882309436798
and,0.33647966384887695,0.3353408873081207,0.3859752118587494,0.2603762745857239,0.3601827025413513,0.21090377867221832,0.20544172823429108
is,0.22544461488723755,0.30568554997444153,1.0,0.1726600080728531,0.27355384826660156,0.15470117330551147,0.22961433231830597
centered,0.18371514976024628,0.2514490485191345,0.2504463791847229,0.20717866718769073,0.21805159747600555,0.12448207288980484,0.17524833977222443
on,0.32655060291290283,0.30512481927871704,0.3635730445384979,0.23172973096370697,0.36926645040512085,0.19175945222377777,0.2714994251728058
the,0.33890387415885925,0.38564538955688477,0.5823672413825989,0.2176690250635147,0.40150508284568787,0.19180938601493835,0.22068053483963013
banks,0.1086173728108406,0.15961043536663055,0.18453240394592285,0.16995206475257874,0.11466758698225021,0.15801569819450378,0.11048095673322678
of,0.2480744868516922,0.3005201518535614,0.4854315221309662,0.23084138333797455,0.4249346852302551,0.15650133788585663,0.1826142966747284
the,0.33890387415885925,0.38564538955688477,0.5823672413825989,0.2176690250635147,0.40150508284568787,0.19180938601493835,0.22068053483963013
st.,0.14827053248882294,0.140518456697464,0.16120703518390656,0.1262202113866806,0.1564422845840454,0.06835673004388809,0.13592876493930817
johns,0.17627975344657898,0.1708574891090393,0.18497872352600098,0.325653076171875,0.2096773087978363,0.3173729479312897,0.20295952260494232
river,0.09142279624938965,0.2465064525604248,0.20670881867408752,0.1921202689409256,0.20433256030082703,0.1303035169839859,0.15390869975090027
",",0.22659391164779663,0.346853643655777,0.4691906273365021,0.2837527096271515,0.39760664105415344,0.2643101215362549,0.31091248989105225
about,0.44264400005340576,0.30195173621177673,0.3532065451145172,0.22591634094715118,0.3421173691749573,0.08607431501150131,0.302409827709198
25,0.07429084926843643,0.05224651098251343,-0.0007095441687852144,0.1328730434179306,0.10107950866222382,0.05829056724905968,0.09614268690347672
miles,0.13798850774765015,0.31905147433280945,0.22951029241085052,0.32191842794418335,0.21209825575351715,0.18011847138404846,0.09363767504692078
(,0.1676948219537735,0.20085982978343964,0.35393038392066956,0.1611778438091278,0.25806233286857605,0.1883707493543625,0.40561532974243164
40,0.03806556016206741,0.039144378155469894,0.020139267668128014,-0.046435415744781494,-0.09996475279331207,-0.049307867884635925,0.010195288807153702
km,0.10687907040119171,0.2795490324497223,0.24258680641651154,0.20656368136405945,0.21550244092941284,0.11255783587694168,0.08180338144302368
),0.17939934134483337,0.20805810391902924,0.37732169032096863,0.16729915142059326,0.2672361731529236,0.18169249594211578,0.42300865054130554
south,0.11786635220050812,0.29976871609687805,0.27680471539497375,0.24695053696632385,0.308648020029068,0.16922584176063538,0.12336621433496475
of,0.2480744868516922,0.3005201518535614,0.4854315221309662,0.23084138333797455,0.4249346852302551,0.15650133788585663,0.1826142966747284
the,0.33890387415885925,0.38564538955688477,0.5823672413825989,0.2176690250635147,0.40150508284568787,0.19180938601493835,0.22068053483963013
georgia,0.12767115235328674,0.12092886120080948,0.12904848158359528,0.44280776381492615,0.1593514233827591,0.35668718814849854,0.14345775544643402
state,0.15028610825538635,0.181650772690773,0.2627358138561249,0.279419481754303,0.29024070501327515,0.21848493814468384,0.1160883978009224
line,0.15736231207847595,0.2108851969242096,0.19879867136478424,0.17702578008174896,0.2599041163921356,0.029832137748599052,0.16271452605724335
and,0.33647966384887695,0.3353408873081207,0.3859752118587494,0.2603762745857239,0.3601827025413513,0.21090377867221832,0.20544172823429108
about,0.44264400005340576,0.30195173621177673,0.3532065451145172,0.22591634094715118,0.3421173691749573,0.08607431501150131,0.302409827709198
340,0.06604573875665665,0.08878247439861298,0.008081101812422276,-0.041330333799123764,-0.041941553354263306,-0.038076627999544144,0.036757875233888626
miles,0.13798850774765015,0.31905147433280945,0.22951029241085052,0.32191842794418335,0.21209825575351715,0.18011847138404846,0.09363767504692078
(,0.1676948219537735,0.20085982978343964,0.35393038392066956,0.1611778438091278,0.25806233286857605,0.1883707493543625,0.40561532974243164
550,0.02282155677676201,-0.07310476899147034,-0.05343681201338768,0.055167846381664276,0.0423550121486187,0.04786932095885277,-0.027806062251329422
km,0.10687907040119171,0.2795490324497223,0.24258680641651154,0.20656368136405945,0.21550244092941284,0.11255783587694168,0.08180338144302368
),0.17939934134483337,0.20805810391902924,0.37732169032096863,0.16729915142059326,0.2672361731529236,0.18169249594211578,0.42300865054130554
north,0.12114071100950241,0.3164401054382324,0.2993389368057251,0.2838444411754608,0.3180590271949768,0.2022542655467987,0.11829731613397598
of,0.2480744868516922,0.3005201518535614,0.4854315221309662,0.23084138333797455,0.4249346852302551,0.15650133788585663,0.1826142966747284
miami,0.09905285388231277,0.11121085286140442,0.15470117330551147,0.5639681220054626,0.17107132077217102,1.0000001192092896,0.14054250717163086
.,0.3287222981452942,0.3168189823627472,0.4569662809371948,0.2843366861343384,0.41536515951156616,0.2522616982460022,0.4130953550338745
