,how,many,courses,must,undergraduates,maintain,for,full,time,status,?
undergraduates,0.1748385727405548,0.2715155780315399,0.5339269042015076,0.22372135519981384,1.0000001192092896,0.201539546251297,0.27106237411499023,0.26657867431640625,0.23655341565608978,0.21706083416938782,0.14489197731018066
typically,0.2931802272796631,0.3612805902957916,0.3012476861476898,0.39482608437538147,0.29745304584503174,0.3668025732040405,0.3479194939136505,0.28681057691574097,0.25760766863822937,0.1882857233285904,0.14485043287277222
take,0.32433539628982544,0.24711354076862335,0.266382098197937,0.32282590866088867,0.21770650148391724,0.2767728567123413,0.33445194363594055,0.29229071736335754,0.30334821343421936,0.13271526992321014,0.21897350251674652
four,0.1955733299255371,0.4139232039451599,0.2824799120426178,0.21178440749645233,0.2722867429256439,0.16090935468673706,0.27783235907554626,0.20367823541164398,0.24939590692520142,0.10400288552045822,0.14532537758350372
half-courses,0.2714451849460602,0.3228156268596649,0.8742579817771912,0.31411054730415344,0.5268369913101196,0.23322230577468872,0.2728543281555176,0.24512678384780884,0.28130459785461426,0.15192966163158417,0.22430361807346344
per,0.2243444174528122,0.16423305869102478,0.14450708031654358,0.22910112142562866,0.17571961879730225,0.1942179948091507,0.22882020473480225,0.12200850993394852,0.21258844435214996,0.09588481485843658,0.22323818504810333
term,0.23617766797542572,0.22119450569152832,0.16312703490257263,0.14101308584213257,0.19175957143306732,0.23560243844985962,0.2766548991203308,0.16971586644649506,0.3132232129573822,0.10329493135213852,0.1901002675294876
and,0.33647966384887695,0.5296266674995422,0.32115012407302856,0.33253467082977295,0.28725674748420715,0.3192116916179657,0.5064792633056641,0.2361413836479187,0.3025408685207367,0.24375928938388824,0.20544172823429108
must,0.3341856896877289,0.25259166955947876,0.26611971855163574,1.0,0.22372135519981384,0.2594047784805298,0.31100544333457947,0.2749640643596649,0.2522428035736084,0.21946103870868683,0.23707495629787445
maintain,0.2746436893939972,0.27376964688301086,0.22764375805854797,0.2594047784805298,0.201539546251297,1.0,0.2950793504714966,0.19923022389411926,0.2789851725101471,0.3015742003917694,0.20568779110908508
a,0.29312583804130554,0.2872205972671509,0.220642551779747,0.3016769587993622,0.2201312631368637,0.23409044742584229,0.44038116931915283,0.2751905620098114,0.3292340338230133,0.28739041090011597,0.23916715383529663
four-course,0.27181559801101685,0.29497426748275757,0.6305586099624634,0.31075626611709595,0.4178130030632019,0.264654278755188,0.266374409198761,0.21843981742858887,0.31814008951187134,0.23100057244300842,0.2858237624168396
rate,0.2722127139568329,0.1828048676252365,0.16138394176959991,0.21535974740982056,0.18624234199523926,0.2934705913066864,0.2299952208995819,0.11471433937549591,0.24661368131637573,0.18235893547534943,0.1308269053697586
average,0.2824462950229645,0.212912455201149,0.19617852568626404,0.2147899866104126,0.2271571308374405,0.22048011422157288,0.20724235475063324,0.15813517570495605,0.2243948131799698,0.16834452748298645,0.21764592826366425
to,0.44169697165489197,0.40243685245513916,0.22126372158527374,0.43356871604919434,0.21940335631370544,0.34628623723983765,0.4451248347759247,0.2671089768409729,0.3679993152618408,0.268886923789978,0.29463258385658264
be,0.4158933162689209,0.3961109519004822,0.2430805265903473,0.4737209677696228,0.17157725989818573,0.33968743681907654,0.3801851272583008,0.24610210955142975,0.3473503291606903,0.2826627492904663,0.3324260413646698
considered,0.1960998773574829,0.32872581481933594,0.15516379475593567,0.26855698227882385,0.20333698391914368,0.3394615352153778,0.3214476406574249,0.14811615645885468,0.2660984396934509,0.2315473109483719,0.19909770786762238
full-time,0.32950559258461,0.2747269570827484,0.3007260262966156,0.3469160497188568,0.3379904329776764,0.3285681903362274,0.4070794880390167,0.5236124992370605,0.4931235909461975,0.2585494816303253,0.2854166030883789
.,0.3287222981452942,0.3974229395389557,0.19853031635284424,0.27722811698913574,0.20834945142269135,0.2648400664329529,0.4726039469242096,0.23337839543819427,0.371569961309433,0.21120375394821167,0.4130953550338745
