,what,is,the,center,library,in,the,harvard,library,system,?
the,0.42745697498321533,0.5823672413825989,1.0,0.29064592719078064,0.19920319318771362,0.6662389636039734,1.0,0.24496200680732727,0.19920319318771362,0.3233085572719574,0.22068053483963013
harvard,0.2177114188671112,0.15387701988220215,0.24496200680732727,0.26084861159324646,0.28255677223205566,0.26072487235069275,0.24496200680732727,1.0,0.28255677223205566,0.19500991702079773,0.11685016006231308
university,0.20256435871124268,0.20346471667289734,0.263973206281662,0.2763576805591583,0.3760603964328766,0.3201795518398285,0.263973206281662,0.6089406609535217,0.3760603964328766,0.16972410678863525,0.11887256056070328
library,0.19149379432201385,0.16916222870349884,0.19920319318771362,0.2779480814933777,0.9999999403953552,0.2101847380399704,0.19920319318771362,0.28255677223205566,0.9999999403953552,0.19369082152843475,0.18938742578029633
system,0.23557309806346893,0.2282046526670456,0.3233085572719574,0.20806053280830383,0.19369082152843475,0.21978288888931274,0.3233085572719574,0.19500991702079773,0.19369082152843475,1.0000001192092896,0.15556083619594574
is,0.28837618231773376,1.0,0.5823672413825989,0.24782158434391022,0.16916222870349884,0.5394441485404968,0.5823672413825989,0.15387701988220215,0.16916222870349884,0.2282046526670456,0.22961433231830597
centered,0.24975672364234924,0.2504463791847229,0.346942275762558,0.6377881169319153,0.16820105910301208,0.33326560258865356,0.346942275762558,0.19449491798877716,0.16820105910301208,0.2101660519838333,0.17524833977222443
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.27253323793411255,0.2101847380399704,1.0,0.6662389636039734,0.26072487235069275,0.2101847380399704,0.21978288888931274,0.20430970191955566
widener,0.2370852679014206,0.1926448792219162,0.324981153011322,0.16582635045051575,0.18616098165512085,0.21723969280719757,0.324981153011322,0.3282196819782257,0.18616098165512085,0.1584167331457138,0.09369790554046631
library,0.19149379432201385,0.16916222870349884,0.19920319318771362,0.2779480814933777,0.9999999403953552,0.2101847380399704,0.19920319318771362,0.28255677223205566,0.9999999403953552,0.19369082152843475,0.18938742578029633
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.27253323793411255,0.2101847380399704,1.0,0.6662389636039734,0.26072487235069275,0.2101847380399704,0.21978288888931274,0.20430970191955566
harvard,0.2177114188671112,0.15387701988220215,0.24496200680732727,0.26084861159324646,0.28255677223205566,0.26072487235069275,0.24496200680732727,1.0,0.28255677223205566,0.19500991702079773,0.11685016006231308
yard,0.15177296102046967,0.15102696418762207,0.22634266316890717,0.21209418773651123,0.14636021852493286,0.16734865307807922,0.22634266316890717,0.2091870754957199,0.14636021852493286,0.1444348841905594,0.06376948207616806
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.28670641779899597,0.18451033532619476,0.4954058527946472,0.5171257257461548,0.2453373372554779,0.18451033532619476,0.231138214468956,0.20544172823429108
comprises,0.12282794713973999,0.34238201379776,0.30223149061203003,0.1776244342327118,0.20336681604385376,0.2665193974971771,0.30223149061203003,0.1422589272260666,0.20336681604385376,0.17856067419052124,0.037654489278793335
nearly,0.21304303407669067,0.268917441368103,0.3409946858882904,0.18817541003227234,0.12534837424755096,0.3414846360683441,0.3409946858882904,0.1593310385942459,0.12534837424755096,0.2554430663585663,0.11670064926147461
80,0.04945533350110054,0.022314833477139473,0.003630283521488309,-0.07188868522644043,-0.08448943495750427,-0.03062376379966736,0.003630283521488309,-0.07138834148645401,-0.08448943495750427,0.07781290262937546,0.04445207491517067
individual,0.34021541476249695,0.21069909632205963,0.3706541955471039,0.12381087988615036,0.0871775820851326,0.27755051851272583,0.3706541955471039,0.1592215597629547,0.0871775820851326,0.237809956073761,0.2058374285697937
libraries,0.17814436554908752,0.17780977487564087,0.2134861946105957,0.21376562118530273,0.7666171193122864,0.2760562300682068,0.2134861946105957,0.3088573217391968,0.7666171193122864,0.2806265354156494,0.20525334775447845
holding,0.2065298706293106,0.22655069828033447,0.31092849373817444,0.16827361285686493,0.16051776707172394,0.23142732679843903,0.31092849373817444,0.10444304347038269,0.16051776707172394,0.14113688468933105,0.17956523597240448
over,0.28007611632347107,0.2159561663866043,0.39856547117233276,0.19540642201900482,0.15256260335445404,0.3605569899082184,0.39856547117233276,0.12776897847652435,0.15256260335445404,0.20886710286140442,0.25742942094802856
18,-0.09284763038158417,-0.09313851594924927,-0.07796193659305573,-0.04333478957414627,-0.02788235992193222,-0.061147160828113556,-0.07796193659305573,-0.0969080701470375,-0.02788235992193222,-0.08916128426790237,-0.04919438064098358
million,0.22197039425373077,0.19962359964847565,0.277012437582016,0.13305892050266266,0.11873524636030197,0.2596224844455719,0.277012437582016,0.13634052872657776,0.11873524636030197,0.1672525405883789,0.23092924058437347
volumes,0.1425984501838684,0.12830698490142822,0.21537050604820251,0.13712260127067566,0.29893770813941956,0.23068252205848694,0.21537050604820251,0.24615439772605896,0.29893770813941956,0.13934233784675598,0.11960393190383911
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.29649654030799866,0.23675528168678284,0.5591574311256409,0.5934505462646484,0.254516065120697,0.23675528168678284,0.2277725487947464,0.4130953550338745
