,in,what,year,was,a,set,of,significant,rule,changes,introduced,including,the,forward,pass,?
camp,0.22828038036823273,0.17394784092903137,0.18948541581630707,0.22106777131557465,0.1808789074420929,0.15374520421028137,0.1889391541481018,0.058102741837501526,0.16554562747478485,0.11053603887557983,0.07308362424373627,0.20221517980098724,0.22520290315151215,0.07709019631147385,0.12441655248403549,0.13359582424163818
would,0.30461156368255615,0.45766422152519226,0.259968101978302,0.41663143038749695,0.398599237203598,0.2767912447452545,0.3353942930698395,0.22028829157352448,0.26018860936164856,0.30861663818359375,0.2076328545808792,0.18949532508850098,0.4133751392364502,0.2671477496623993,0.23765841126441956,0.37178951501846313
instead,0.28091272711753845,0.4104403555393219,0.206660196185112,0.23083001375198364,0.3737732470035553,0.24278852343559265,0.31208282709121704,0.1176464706659317,0.25453847646713257,0.25108298659324646,0.18246038258075714,0.2555312216281891,0.3940567970275879,0.21227064728736877,0.12041198462247849,0.2942638397216797
support,0.17618270218372345,0.2797985076904297,0.154371976852417,0.2208256870508194,0.2484646886587143,0.15916766226291656,0.2307697981595993,0.28586068749427795,0.21395111083984375,0.20264051854610443,0.15568844974040985,0.19957958161830902,0.22984638810157776,0.251709520816803,0.22424693405628204,0.22626608610153198
revolutionary,0.22016291320323944,0.15823614597320557,0.14265091717243195,0.3165914714336395,0.2602968215942383,0.10693757981061935,0.29118266701698303,0.23148195445537567,0.22577022016048431,0.1543419063091278,0.1869126409292221,0.12463551014661789,0.24521014094352722,0.22643885016441345,0.08470021933317184,0.1343436986207962
new,0.3758552670478821,0.2130378633737564,0.25045546889305115,0.2748313844203949,0.3214259147644043,0.238132506608963,0.343457967042923,0.19498293101787567,0.15386514365673065,0.25531503558158875,0.285953551530838,0.21702982485294342,0.3845241069793701,0.18227064609527588,0.14091691374778748,0.14782847464084625
rules,0.2252369076013565,0.3341682255268097,0.20772826671600342,0.1710437685251236,0.20817093551158905,0.30112457275390625,0.18197891116142273,0.12911270558834076,0.5216301679611206,0.24080806970596313,0.21155524253845215,0.18829701840877533,0.27022838592529297,0.14741745591163635,0.10789957642555237,0.22111085057258606
for,0.4322226941585541,0.3017193675041199,0.29294124245643616,0.3863949179649353,0.44038116931915283,0.30194196105003357,0.4185989499092102,0.2912706434726715,0.19033655524253845,0.25747987627983093,0.2018822282552719,0.42507120966911316,0.4739971458911896,0.31517520546913147,0.2026006579399109,0.264628142118454
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,0.5829201340675354,0.2927955985069275,0.733189046382904,0.35524800419807434,0.29894936084747314,0.3427845537662506,0.242969810962677,0.3738902807235718,1.0,0.2383665293455124,0.25961899757385254,0.22068053483963013
1906,0.01741693913936615,0.023754507303237915,0.23157210648059845,0.059802208095788956,-0.042818617075681686,0.004899011924862862,-0.02834460511803627,0.09130004793405533,0.026874372735619545,0.07149606198072433,-0.017327139154076576,-0.07459661364555359,0.0538046732544899,0.021020380780100822,0.0049055651761591434,0.010789075866341591
season,0.2184021919965744,0.12117787450551987,0.3561827838420868,0.24797968566417694,0.1855505406856537,0.15798667073249817,0.1598338931798935,0.16916413605213165,0.14932793378829956,0.12810510396957397,0.18178248405456543,0.12765170633792877,0.2507155239582062,0.14698326587677002,0.15114079415798187,0.16793298721313477
.,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.40146201848983765,0.50484299659729,0.2928885817527771,0.5352458953857422,0.28046533465385437,0.2436654418706894,0.29733169078826904,0.2799728810787201,0.32645219564437866,0.5934505462646484,0.23715119063854218,0.1901644617319107,0.4130953550338745
