,what,year,did,doctor,who,first,show,on,tv,?
doctor,0.20870667695999146,0.16282056272029877,0.18673314154148102,0.9999999403953552,0.3504868149757385,0.27244147658348083,0.2094513326883316,0.1636410653591156,0.23672568798065186,0.1462511420249939
who,0.40942975878715515,0.2851492762565613,0.34038686752319336,0.3504868149757385,0.9999998807907104,0.39065709710121155,0.2095358669757843,0.2340552806854248,0.20096197724342346,0.26220351457595825
is,0.28837618231773376,0.2402215600013733,0.19247472286224365,0.19875872135162354,0.24293622374534607,0.30889374017715454,0.2144283652305603,0.3635730445384979,0.1617223173379898,0.22961433231830597
a,0.3320399522781372,0.29350247979164124,0.2552328109741211,0.22883038222789764,0.36608949303627014,0.4287874400615692,0.24886544048786163,0.3848365545272827,0.2169625610113144,0.23916715383529663
british,0.19255435466766357,0.16501371562480927,0.2039594054222107,0.19140693545341492,0.2666113078594208,0.23959001898765564,0.23710712790489197,0.19917237758636475,0.1965799331665039,0.09711728990077972
science-fiction,0.2796027362346649,0.25568029284477234,0.19991514086723328,0.39818131923675537,0.24990907311439514,0.2433888167142868,0.2517901062965393,0.2614285945892334,0.3027689456939697,0.22927473485469818
television,0.19838058948516846,0.19048495590686798,0.17055591940879822,0.31410008668899536,0.2515988349914551,0.2787016034126282,0.5277389287948608,0.2825660705566406,0.7039412260055542,0.16825827956199646
programme,0.1876801699399948,0.22998730838298798,0.1542370468378067,0.2561369240283966,0.2317163497209549,0.3004976212978363,0.3225559890270233,0.27731919288635254,0.372183233499527,0.139840766787529
produced,0.1393624097108841,0.16949312388896942,0.16971632838249207,0.12545296549797058,0.12907662987709045,0.2504335343837738,0.2940535843372345,0.18712371587753296,0.19085600972175598,0.1623450517654419
by,0.2455483376979828,0.28805047273635864,0.18574509024620056,0.13681447505950928,0.39727845788002014,0.3877052962779999,0.2779667377471924,0.33887791633605957,0.11470241099596024,0.17966607213020325
the,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.2820442318916321,0.3733934462070465,0.49448907375335693,0.319829523563385,0.5107308030128479,0.20034731924533844,0.22068053483963013
bbc,0.20634698867797852,0.2157873958349228,0.1677953153848648,0.32370132207870483,0.2086644321680069,0.25469130277633667,0.33555880188941956,0.2646632492542267,0.45615512132644653,0.20556949079036713
since,0.29783400893211365,0.31512683629989624,0.27613121271133423,0.10913390666246414,0.27765995264053345,0.42581459879875183,0.2719241678714752,0.32446393370628357,0.16888470947742462,0.2876587212085724
1963,-0.01284969411790371,0.005792893934994936,0.022874606773257256,0.008513279259204865,-0.045281361788511276,-0.007132149767130613,-0.014388238079845905,0.07868470996618271,-0.009961158968508244,0.03411978855729103
.,0.3567904531955719,0.32538118958473206,0.35288307070732117,0.22361043095588684,0.3541337847709656,0.4345304071903229,0.3016606271266937,0.49257001280784607,0.27196308970451355,0.4130953550338745
