,why,was,the,dalek,script,rejected,at,first,?
when,0.46319615840911865,0.37326499819755554,0.5091903209686279,0.16074472665786743,0.17319661378860474,0.2661008834838867,0.38876327872276306,0.4282494783401489,0.22841128706932068
the,0.30742117762565613,0.48711544275283813,1.0,0.2987383306026459,0.21384064853191376,0.2610994279384613,0.457212895154953,0.49448907375335693,0.22068053483963013
script,0.15589557588100433,0.18141986429691315,0.21384064853191376,0.2786896526813507,1.0,0.1394844800233841,0.11004895716905594,0.18706099689006805,0.24144527316093445
was,0.23341619968414307,1.0000001192092896,0.48711544275283813,0.24016672372817993,0.18141986429691315,0.2789621353149414,0.36707764863967896,0.5022147297859192,0.18412111699581146
presented,0.18318670988082886,0.2883085608482361,0.3251480758190155,0.16327358782291412,0.10163535177707672,0.3415106236934662,0.25958916544914246,0.28706470131874084,0.17025142908096313
to,0.4100138247013092,0.3636345863342285,0.535392165184021,0.27658018469810486,0.20386800169944763,0.24757765233516693,0.36524343490600586,0.3792489171028137,0.29463258385658264
newman,0.19868570566177368,0.2582080364227295,0.223349928855896,0.24853304028511047,0.14505644142627716,0.12885278463363647,0.19788211584091187,0.25587525963783264,0.18158376216888428
and,0.27806392312049866,0.3740963041782379,0.5171257257461548,0.19318579137325287,0.2026875913143158,0.2457340955734253,0.3571503460407257,0.3167642652988434,0.20544172823429108
wilson,0.17490170896053314,0.1931360512971878,0.20745839178562164,0.2359858602285385,0.038727130740880966,0.1528317928314209,0.22263136506080627,0.2807305157184601,0.1055358424782753
it,0.376611590385437,0.4577186405658722,0.6251175999641418,0.15662623941898346,0.22510987520217896,0.19337807595729828,0.36473900079727173,0.3491429388523102,0.25732165575027466
was,0.23341619968414307,1.0000001192092896,0.48711544275283813,0.24016672372817993,0.18141986429691315,0.2789621353149414,0.36707764863967896,0.5022147297859192,0.18412111699581146
immediately,0.30613815784454346,0.28622254729270935,0.39876270294189453,0.1879865676164627,0.16044074296951294,0.31692004203796387,0.2816741466522217,0.3052530288696289,0.21004259586334229
rejected,0.23983003199100494,0.2789621353149414,0.2610994279384613,0.2168215960264206,0.1394844800233841,1.0000001192092896,0.1733590066432953,0.26293912529945374,0.20434792339801788
as,0.3103298544883728,0.3677520453929901,0.48381632566452026,0.22712108492851257,0.15708927810192108,0.28110456466674805,0.28092536330223083,0.33842000365257263,0.27043893933296204
the,0.30742117762565613,0.48711544275283813,1.0,0.2987383306026459,0.21384064853191376,0.2610994279384613,0.457212895154953,0.49448907375335693,0.22068053483963013
programme,0.2083050161600113,0.23988407850265503,0.23601844906806946,0.313734233379364,0.16534127295017242,0.1788707822561264,0.23556490242481232,0.3004976212978363,0.139840766787529
was,0.23341619968414307,1.0000001192092896,0.48711544275283813,0.24016672372817993,0.18141986429691315,0.2789621353149414,0.36707764863967896,0.5022147297859192,0.18412111699581146
not,0.5504072904586792,0.2888734042644501,0.4310511648654938,0.2322838008403778,0.18343485891819,0.344637006521225,0.22025953233242035,0.2955942749977112,0.41942933201789856
permitted,0.2553618550300598,0.19134479761123657,0.26192259788513184,0.16717401146888733,0.1700735092163086,0.36821067333221436,0.22188147902488708,0.24527686834335327,0.21977035701274872
to,0.4100138247013092,0.3636345863342285,0.535392165184021,0.27658018469810486,0.20386800169944763,0.24757765233516693,0.36524343490600586,0.3792489171028137,0.29463258385658264
contain,0.25737279653549194,0.0908108651638031,0.26383090019226074,0.09509482979774475,0.14018137753009796,0.12516188621520996,0.17059701681137085,0.14689846336841583,0.18853069841861725
any,0.4423638582229614,0.22746296226978302,0.4525727927684784,0.20118342339992523,0.17146733403205872,0.21304482221603394,0.2206675112247467,0.32448044419288635,0.4113408327102661
``,0.05334433168172836,-0.012679691426455975,0.029072100296616554,0.025683721527457237,0.14754736423492432,-0.03870769962668419,-0.07642947137355804,0.006519378628581762,0.0685480609536171
bug-eyed,0.2946115732192993,0.3562983572483063,0.3366476893424988,0.2373102605342865,0.26136213541030884,0.3206220269203186,0.2247350811958313,0.3112727105617523,0.2872583270072937
monsters,0.18504710495471954,0.1857239156961441,0.23224876821041107,0.28237709403038025,0.1642683446407318,0.15503303706645966,0.1909448653459549,0.21680812537670135,0.24649909138679504
'',-0.038651224225759506,0.04456103965640068,0.041273195296525955,0.01797647401690483,0.030773967504501343,0.017040926963090897,0.04379578307271004,-0.03874251991510391,0.018684765323996544
.,0.32909876108169556,0.40146201848983765,0.5934505462646484,0.2473905086517334,0.19065852463245392,0.2487819641828537,0.4549728035926819,0.4345304071903229,0.4130953550338745
,why,was,the,dalek,script,rejected,at,first,?
according,0.1806025505065918,0.31116798520088196,0.3202974498271942,0.23706427216529846,0.14670705795288086,0.25241199135780334,0.25376394391059875,0.1620355099439621,0.21173474192619324
to,0.4100138247013092,0.3636345863342285,0.535392165184021,0.27658018469810486,0.20386800169944763,0.24757765233516693,0.36524343490600586,0.3792489171028137,0.29463258385658264
producer,0.16314634680747986,0.2683317959308624,0.20962586998939514,0.1578141301870346,0.28992801904678345,0.0632084533572197,0.14449942111968994,0.19925335049629211,0.17015865445137024
verity,0.1952180564403534,0.16007639467716217,0.203782320022583,0.19888152182102203,0.15051265060901642,0.1640998274087906,0.1264406144618988,0.12301385402679443,0.2505951523780823
lambert,0.21981202065944672,0.33028218150138855,0.2647415101528168,0.15835805237293243,0.10782036930322647,0.21193307638168335,0.17528581619262695,0.22743627429008484,0.18541882932186127
