,who,approached,the,bbc,in,1989,about,relaunching,the,show,?
while,0.4068111777305603,0.4332665503025055,0.39804592728614807,0.09729070961475372,0.3399278521537781,-0.026623178273439407,0.3552052080631256,0.3341716229915619,0.39804592728614807,0.2061866968870163,0.21076419949531555
in-house,0.26785269379615784,0.14698666334152222,0.28147611021995544,0.23989088833332062,0.23458699882030487,0.03655257448554039,0.22334860265254974,0.2546607553958893,0.28147611021995544,0.2510198950767517,0.28404587507247925
production,0.11406747996807098,0.16834622621536255,0.2657334506511688,0.263007253408432,0.22079120576381683,0.024319276213645935,0.15599068999290466,0.2525940537452698,0.2657334506511688,0.2746350169181824,0.19318072497844696
had,0.36173108220100403,0.3165243864059448,0.3875846862792969,0.2117813676595688,0.385026752948761,0.008399119600653648,0.3307687044143677,0.24862520396709442,0.3875846862792969,0.2552371621131897,0.20728366076946259
ceased,0.15080536901950836,0.3006250858306885,0.30325502157211304,0.17916838824748993,0.2472708523273468,-0.014529472216963768,0.12506578862667084,0.217720165848732,0.30325502157211304,0.18338772654533386,0.17789196968078613
",",0.3365725874900818,0.3284536898136139,0.4933079481124878,0.14724469184875488,0.5201468467712402,0.16465967893600464,0.3877100944519043,0.27364760637283325,0.4933079481124878,0.31928569078445435,0.31091248989105225
the,0.3733934462070465,0.24724338948726654,1.0,0.2735401690006256,0.6662389636039734,-0.009533590637147427,0.37995871901512146,0.30520007014274597,1.0,0.319829523563385,0.22068053483963013
bbc,0.2086644321680069,0.10319902002811432,0.2735401690006256,1.0000001192092896,0.22430340945720673,0.045454833656549454,0.21976140141487122,0.27735769748687744,0.2735401690006256,0.33555880188941956,0.20556949079036713
hoped,0.2771318554878235,0.3382534384727478,0.2776607275009155,0.1150725707411766,0.24433453381061554,-0.04091380909085274,0.20999477803707123,0.25265371799468994,0.2776607275009155,0.16751739382743835,0.15560154616832733
to,0.42656609416007996,0.3242489993572235,0.535392165184021,0.19421324133872986,0.45010748505592346,-0.14794839918613434,0.391953706741333,0.3399069309234619,0.535392165184021,0.29833272099494934,0.29463258385658264
find,0.3115674555301666,0.23382778465747833,0.2696352005004883,0.1256454885005951,0.2040027230978012,-0.02382880076766014,0.26128220558166504,0.2930603325366974,0.2696352005004883,0.310973584651947,0.30313602089881897
an,0.2848317325115204,0.1732490211725235,0.4207492768764496,0.16644445061683655,0.2605783939361572,-0.008190672844648361,0.2700941264629364,0.22758015990257263,0.4207492768764496,0.23366062343120575,0.19793890416622162
independent,0.19686606526374817,0.1338612586259842,0.2927691638469696,0.18437053263187408,0.2794609069824219,-0.04031014442443848,0.13912127912044525,0.22577866911888123,0.2927691638469696,0.2196422666311264,0.11902587860822678
production,0.11406747996807098,0.16834622621536255,0.2657334506511688,0.263007253408432,0.22079120576381683,0.024319276213645935,0.15599068999290466,0.2525940537452698,0.2657334506511688,0.2746350169181824,0.19318072497844696
company,0.2383776307106018,0.16994045674800873,0.26591673493385315,0.14817993342876434,0.22141718864440918,0.04859708622097969,0.19463609158992767,0.15659445524215698,0.26591673493385315,0.1808433085680008,0.12195809185504913
to,0.42656609416007996,0.3242489993572235,0.535392165184021,0.19421324133872986,0.45010748505592346,-0.14794839918613434,0.391953706741333,0.3399069309234619,0.535392165184021,0.29833272099494934,0.29463258385658264
relaunch,0.15366442501544952,0.20593269169330597,0.25685226917266846,0.3253963589668274,0.20123592019081116,0.031218750402331352,0.22178395092487335,0.8152270913124084,0.25685226917266846,0.31645268201828003,0.260050892829895
the,0.3733934462070465,0.24724338948726654,1.0,0.2735401690006256,0.6662389636039734,-0.009533590637147427,0.37995871901512146,0.30520007014274597,1.0,0.319829523563385,0.22068053483963013
show,0.2095358669757843,0.1458560675382614,0.319829523563385,0.33555880188941956,0.27595704793930054,-0.01176610216498375,0.21301472187042236,0.30758365988731384,0.319829523563385,0.9999999403953552,0.2520138621330261
.,0.3541337847709656,0.25997188687324524,0.5934505462646484,0.20265105366706848,0.5591574311256409,0.0880250409245491,0.42038556933403015,0.2680904269218445,0.5934505462646484,0.3016606271266937,0.4130953550338745
